"検出 右"
"DATA No","DATE","TIME","検出情報 右 撮像回数","検出情報 右 株番号","検出情報 右 撮像数","検出情報 右 処理時間[s]","検出情報 右 判定値","検出情報 右 スコア","検出情報 右 サイズＸ[mm]","検出情報 右 サイズＹ[mm]","検出情報 右 縦横比","検出情報 右 中心Ｘ[mm]","検出情報 右 中心Ｙ[mm]","検出情報 右 分解能","検出情報 右 積算位置[mm]","検出情報 右 車体昇降[mm]","検出情報 右 外葉押え[mm]","検出情報 右 スコア閾値","検出情報 右 サイズ閾値(小)[mm]","検出情報 右 サイズ閾値(大)[mm]","検出情報 右 縦横比閾値"
0,2025/12/17,11:15:54,4,1,1,1.340000E+02,6,995,8.881000E+03,7.478000E+03,1.100000E+01,6.420100E+04,1.191900E+04,3.338800E+04,1.191900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:15:55,5,1,2,1.270000E+02,6,994,8.213000E+03,8.547000E+03,1.000000E+01,6.393400E+04,1.188600E+04,3.338800E+04,1.241900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:15:55,6,1,3,1.250000E+02,6,995,8.580000E+03,7.645000E+03,1.100000E+01,6.420100E+04,1.191900E+04,3.338800E+04,1.554100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:15:55,7,1,4,1.330000E+02,6,999,9.014000E+03,8.380000E+03,1.000000E+01,6.420100E+04,1.081700E+04,3.338800E+04,1.867500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:15:56,8,1,5,1.380000E+02,6,987,8.113000E+03,8.513000E+03,1.000000E+01,6.420100E+04,7.478000E+03,3.338800E+04,1.945100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:15:56,9,2,1,1.320000E+02,6,995,9.248000E+03,9.148000E+03,1.000000E+01,6.393400E+04,3.873000E+03,3.338800E+04,1.998600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:15:56,10,2,2,1.090000E+02,6,999,8.413000E+03,9.715000E+03,1.100000E+01,6.390000E+04,4.670000E+02,3.338800E+04,2.042000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:15:57,11,2,3,1.140000E+02,6,999,9.114000E+03,9.548000E+03,1.000000E+01,6.373400E+04,6.249800E+04,3.338800E+04,2.076700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:15:57,12,2,4,1.040000E+02,6,1000,9.315000E+03,9.382000E+03,1.000000E+01,6.319900E+04,5.899200E+04,3.338800E+04,2.112400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:15:57,13,2,5,1.100000E+02,6,997,1.048300E+04,8.947000E+03,1.100000E+01,6.319900E+04,5.592100E+04,3.338800E+04,2.189400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:15:58,14,2,6,1.020000E+02,6,981,7.846000E+03,9.482000E+03,1.200000E+01,6.363300E+04,5.251500E+04,3.338800E+04,2.231500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:15:58,15,2,7,1.090000E+02,6,949,8.814000E+03,9.782000E+03,1.100000E+01,6.353300E+04,4.944300E+04,3.338800E+04,2.303600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:15:58,16,2,8,1.100000E+02,6,990,7.311000E+03,8.814000E+03,1.200000E+01,6.193100E+04,1.058300E+04,3.338800E+04,5.355200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,11:15:59,17,3,1,1.130000E+02,6,991,8.747000E+03,9.882000E+03,1.100000E+01,6.223100E+04,7.111000E+03,3.338800E+04,5.390800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:15:59,18,3,2,1.170000E+02,6,998,8.914000E+03,9.148000E+03,1.000000E+01,6.256500E+04,3.038000E+03,3.338800E+04,5.368500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:15:59,19,3,3,1.030000E+02,6,979,9.348000E+03,9.582000E+03,1.000000E+01,6.239800E+04,6.543600E+04,3.338800E+04,5.437600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:16:00,20,3,4,1.050000E+02,6,995,9.248000E+03,9.749000E+03,1.000000E+01,6.259800E+04,6.193100E+04,3.338800E+04,5.477100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:16:00,21,3,5,1.080000E+02,6,995,9.548000E+03,9.515000E+03,1.000000E+01,6.259800E+04,5.845800E+04,3.338800E+04,5.513900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:16:00,22,3,6,1.120000E+02,6,989,1.068400E+04,9.548000E+03,1.100000E+01,6.279900E+04,5.522000E+04,3.338800E+04,5.573100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:16:00,23,3,7,1.150000E+02,6,830,9.816000E+03,9.148000E+03,1.000000E+01,6.303200E+04,5.124600E+04,3.338800E+04,5.562000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:16:01,24,4,1,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.200500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:16:01,25,4,2,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.581900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:16:02,26,4,3,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.975700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:16:02,27,4,4,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.357100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:16:02,28,4,5,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.743600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:16:03,29,4,6,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.125400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:16:03,30,4,7,1.190000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.509200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,11:16:04,31,5,1,9.700000E+01,4,403,4.006000E+03,5.241000E+03,1.300000E+01,2.330000E+02,1.342100E+04,3.338800E+04,5.513500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
28,2025/12/17,11:16:04,32,5,2,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.300000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.555600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
29,2025/12/17,11:16:04,33,5,3,1.250000E+02,4,410,6.243000E+03,5.876000E+03,1.000000E+01,1.746100E+04,5.148000E+04,3.338800E+04,3.539100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
30,2025/12/17,11:16:05,34,5,4,1.030000E+02,4,335,5.509000E+03,5.475000E+03,1.000000E+01,6.483500E+04,2.871000E+03,3.338800E+04,5.615300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
31,2025/12/17,11:16:05,35,5,5,1.140000E+02,4,723,8.781000E+03,7.946000E+03,1.100000E+01,6.353300E+04,6.480200E+04,3.338800E+04,5.639000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
32,2025/12/17,11:16:05,36,5,6,1.020000E+02,4,652,6.043000E+03,7.011000E+03,1.100000E+01,6.486900E+04,6.126300E+04,3.338800E+04,5.663300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
33,2025/12/17,11:16:05,37,5,7,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.475500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
34,2025/12/17,11:16:06,38,6,1,1.000000E+02,6,801,7.979000E+03,7.912000E+03,1.000000E+01,5.545300E+04,1.999900E+04,3.338800E+04,2.594000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
35,2025/12/17,11:16:06,39,6,2,1.170000E+02,8,992,1.338800E+04,1.335500E+04,1.000000E+01,5.441800E+04,1.452300E+04,3.338800E+04,2.430500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
36,2025/12/17,11:16:07,40,6,3,1.040000E+02,8,1000,1.352200E+04,1.408900E+04,1.000000E+01,5.455200E+04,1.088400E+04,3.338800E+04,2.451700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
37,2025/12/17,11:16:07,41,6,4,1.090000E+02,8,993,1.151800E+04,1.225300E+04,1.000000E+01,5.485200E+04,7.612000E+03,3.338800E+04,2.502400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
38,2025/12/17,11:16:07,42,6,5,1.100000E+02,8,990,1.302100E+04,1.445700E+04,1.100000E+01,5.471900E+04,4.640000E+03,3.338800E+04,2.589500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
39,2025/12/17,11:16:08,43,6,6,1.170000E+02,8,1000,1.352200E+04,1.222000E+04,1.100000E+01,5.495300E+04,9.340000E+02,3.338800E+04,2.600100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
40,2025/12/17,11:16:08,44,6,7,1.010000E+02,8,991,1.105100E+04,1.312100E+04,1.100000E+01,5.491900E+04,6.316600E+04,3.338800E+04,2.651300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
41,2025/12/17,11:16:09,45,7,1,1.130000E+02,8,1000,1.255300E+04,1.312100E+04,1.000000E+01,5.495300E+04,5.638800E+04,3.338800E+04,2.745100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
42,2025/12/17,11:16:09,46,7,2,1.010000E+02,8,996,1.268700E+04,1.305400E+04,1.000000E+01,5.498600E+04,5.304900E+04,3.338800E+04,2.785800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
43,2025/12/17,11:16:09,47,7,3,1.130000E+02,8,999,1.252000E+04,1.165200E+04,1.000000E+01,5.505300E+04,4.974400E+04,3.338800E+04,2.835700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
44,2025/12/17,11:16:10,48,7,4,1.130000E+02,8,999,1.195200E+04,1.355500E+04,1.100000E+01,5.508600E+04,4.633800E+04,3.338800E+04,2.887300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
45,2025/12/17,11:16:10,49,7,5,1.150000E+02,8,885,1.118400E+04,1.368900E+04,1.200000E+01,5.495300E+04,4.316700E+04,3.338800E+04,2.953100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
46,2025/12/17,11:16:10,50,7,6,1.040000E+02,8,968,9.749000E+03,1.188600E+04,1.200000E+01,5.508600E+04,3.979400E+04,3.338800E+04,2.997400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
47,2025/12/17,11:16:11,51,7,7,1.080000E+02,6,1000,8.981000E+03,9.582000E+03,1.000000E+01,6.460200E+04,4.340000E+02,3.338800E+04,5.999100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
