"検出 右"
"DATA No","DATE","TIME","検出情報 右 撮像回数","検出情報 右 株番号","検出情報 右 撮像数","検出情報 右 処理時間[s]","検出情報 右 判定値","検出情報 右 スコア","検出情報 右 サイズＸ[mm]","検出情報 右 サイズＹ[mm]","検出情報 右 縦横比","検出情報 右 中心Ｘ[mm]","検出情報 右 中心Ｙ[mm]","検出情報 右 分解能","検出情報 右 積算位置[mm]","検出情報 右 車体昇降[mm]","検出情報 右 外葉押え[mm]","検出情報 右 スコア閾値","検出情報 右 サイズ閾値(小)[mm]","検出情報 右 サイズ閾値(大)[mm]","検出情報 右 縦横比閾値"
21,2025/12/17,11:18:49,237,4,2,1.070000E+02,1,994,1.078400E+04,1.185200E+04,1.000000E+01,3.605000E+03,1.198600E+04,3.338800E+04,2.720600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:18:51,238,5,1,1.270000E+02,5,983,8.981000E+03,1.185200E+04,1.300000E+01,3.539000E+03,5.582100E+04,3.338800E+04,3.001000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:18:52,239,5,2,1.240000E+02,6,970,9.148000E+03,9.782000E+03,1.000000E+01,3.706000E+03,5.338300E+04,3.338800E+04,3.181900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:18:52,240,5,3,1.180000E+02,6,994,8.380000E+03,1.081700E+04,1.200000E+01,3.939000E+03,4.954400E+04,3.338800E+04,3.227500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:18:52,241,5,4,1.220000E+02,6,951,8.981000E+03,1.021600E+04,1.100000E+01,3.906000E+03,4.540400E+04,3.338800E+04,3.239700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:18:53,242,5,5,1.180000E+02,6,869,9.348000E+03,1.021600E+04,1.000000E+01,3.973000E+03,4.163100E+04,3.338800E+04,3.263100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,11:18:53,243,5,6,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.041200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
28,2025/12/17,11:18:53,244,5,7,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.431400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
29,2025/12/17,11:18:54,245,6,1,1.030000E+02,5,970,1.392200E+04,8.480000E+03,1.600000E+01,6.493600E+04,1.919800E+04,3.338800E+04,2.567800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
30,2025/12/17,11:18:54,246,6,2,1.150000E+02,4,686,1.412300E+04,8.747000E+03,1.600000E+01,6.496900E+04,1.519100E+04,3.338800E+04,2.553600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
31,2025/12/17,11:18:55,247,6,3,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.600000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.419500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
32,2025/12/17,11:18:55,248,6,4,1.170000E+02,1,999,1.232000E+04,1.018300E+04,1.200000E+01,6.523600E+04,9.548000E+03,3.338800E+04,2.758400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
