"検出 右"
"DATA No","DATE","TIME","検出情報 右 撮像回数","検出情報 右 株番号","検出情報 右 撮像数","検出情報 右 処理時間[s]","検出情報 右 判定値","検出情報 右 スコア","検出情報 右 サイズＸ[mm]","検出情報 右 サイズＹ[mm]","検出情報 右 縦横比","検出情報 右 中心Ｘ[mm]","検出情報 右 中心Ｙ[mm]","検出情報 右 分解能","検出情報 右 積算位置[mm]","検出情報 右 車体昇降[mm]","検出情報 右 外葉押え[mm]","検出情報 右 スコア閾値","検出情報 右 サイズ閾値(小)[mm]","検出情報 右 サイズ閾値(大)[mm]","検出情報 右 縦横比閾値"
0,2025/12/17,11:40:57,1168,1,1,1.400000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:40:57,1169,1,2,1.330000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.490000E+02,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:40:58,1170,1,3,1.260000E+02,4,318,4.707000E+03,8.781000E+03,1.800000E+01,1.786200E+04,5.208100E+04,3.338800E+04,5.592400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:40:58,1171,1,4,1.240000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,8.145000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:40:58,1172,1,5,1.360000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.250000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:40:59,1173,2,1,1.300000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.641300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:40:59,1174,2,2,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.024100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:40:59,1175,2,3,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.414100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:41:00,1176,2,4,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.800400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:41:00,1177,2,5,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.186600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:41:00,1178,2,6,9.900000E+01,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.568600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:41:01,1179,2,7,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.949700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:41:01,1180,2,8,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.332900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,11:41:01,1181,3,1,1.170000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.714700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:41:02,1182,3,2,1.030000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.098300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:41:02,1183,3,3,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.485100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:41:02,1184,3,4,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.867800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:41:03,1185,3,5,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.251600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:41:03,1186,3,6,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,8.220000E+02,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:41:03,1187,3,7,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.671000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:41:04,1188,4,1,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.133200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:41:04,1189,4,2,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.523100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:41:04,1190,4,3,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.912200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:41:05,1191,4,4,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.294700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:41:05,1192,4,5,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.676400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:41:05,1193,4,6,1.090000E+02,4,488,1.061700E+04,9.582000E+03,1.100000E+01,6.483500E+04,2.580800E+04,3.338800E+04,5.640100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:41:06,1194,4,7,1.140000E+02,9,950,1.181900E+04,1.185200E+04,1.000000E+01,6.336600E+04,2.297000E+04,3.338800E+04,5.739000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,11:41:06,1195,5,1,1.160000E+02,1,997,1.195200E+04,1.118400E+04,1.000000E+01,6.316600E+04,1.499100E+04,3.338800E+04,5.710400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
