一括変更
                  モジュール名,    デバイス,             現在値,          表示形式,コメント
ｸﾞﾛｰﾊﾞﾙ,DM11568,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11569,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11570,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11571,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11572,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11573,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11574,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11575,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11576,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11577,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11578,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11579,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11580,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11581,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11582,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11583,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11584,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11585,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11586,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11587,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11588,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11589,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11590,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11591,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11592,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11593,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11594,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11595,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11596,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11597,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11598,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11599,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11600,35161,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ 減速比 L
ｸﾞﾛｰﾊﾞﾙ,DM11601,15479,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ 減速比 H
ｸﾞﾛｰﾊﾞﾙ,DM11602,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11603,16256,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11604,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11605,16256,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11606,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11607,16256,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11608,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11609,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11610,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｸﾛｰﾗｰ幅 [mm] L
ｸﾞﾛｰﾊﾞﾙ,DM11611,17573,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｸﾛｰﾗｰ幅 [mm] H
ｸﾞﾛｰﾊﾞﾙ,DM11612,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｸﾛｰﾗｰ 動力軸直径 [mm] L
ｸﾞﾛｰﾊﾞﾙ,DM11613,17228,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｸﾛｰﾗｰ 動力軸直径 [mm] H
ｸﾞﾛｰﾊﾞﾙ,DM11614,49152,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗR取付位置x [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11615,17546,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗR取付位置x [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11616,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗR取付位置y [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11617,50085,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗR取付位置y [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11618,49152,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗL取付位置x [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11619,17546,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗL取付位置x [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11620,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗL取付位置y [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11621,17317,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ ｶﾒﾗL取付位置y [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11622,44564,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11623,16199,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ すべり H
ｸﾞﾛｰﾊﾞﾙ,DM11624,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ 並進すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11625,16256,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ 並進すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11626,2621,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ 旋回すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11627,16087,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ 旋回すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11628,761,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11629,0,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11630,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正最大値[±%] L
ｸﾞﾛｰﾊﾞﾙ,DM11631,16512,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正最大値[±%] H
ｸﾞﾛｰﾊﾞﾙ,DM11632,55050,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正ｹﾞｲﾝ L
ｸﾞﾛｰﾊﾞﾙ,DM11633,15395,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正ｹﾞｲﾝ H
ｸﾞﾛｰﾊﾞﾙ,DM11634,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正量 傾きｹﾞｲﾝ L
ｸﾞﾛｰﾊﾞﾙ,DM11635,16512,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正量 傾きｹﾞｲﾝ H
ｸﾞﾛｰﾊﾞﾙ,DM11636,39322,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正量 距離ｹﾞｲﾝ L
ｸﾞﾛｰﾊﾞﾙ,DM11637,16025,10進数16BIT,ｿﾌﾄﾊﾟﾗ 補正量 距離ｹﾞｲﾝ H
ｸﾞﾛｰﾊﾞﾙ,DM11638,3,10進数16BIT,ｿﾌﾄﾊﾟﾗ 車体近似 最低ﾃﾞｰﾀ数
ｸﾞﾛｰﾊﾞﾙ,DM11639,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 車体近似 使用ﾃﾞｰﾀ数(直近)
ｸﾞﾛｰﾊﾞﾙ,DM11640,20,10進数16BIT,ｿﾌﾄﾊﾟﾗ ﾌﾞﾛｯｺﾘｰ近似 最低ﾃﾞｰﾀ数
ｸﾞﾛｰﾊﾞﾙ,DM11641,40,10進数16BIT,ｿﾌﾄﾊﾟﾗ ﾌﾞﾛｯｺﾘｰ近似 使用ﾃﾞｰﾀ数(直近)
ｸﾞﾛｰﾊﾞﾙ,DM11642,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 傾き重み 最大値 L
ｸﾞﾛｰﾊﾞﾙ,DM11643,16968,10進数16BIT,ｿﾌﾄﾊﾟﾗ 傾き重み 最大値 H
ｸﾞﾛｰﾊﾞﾙ,DM11644,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 傾き重み 増幅値 L
ｸﾞﾛｰﾊﾞﾙ,DM11645,16256,10進数16BIT,ｿﾌﾄﾊﾟﾗ 傾き重み 増幅値 H
ｸﾞﾛｰﾊﾞﾙ,DM11646,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 傾き重み 有効範囲 上限値 L
ｸﾞﾛｰﾊﾞﾙ,DM11647,16968,10進数16BIT,ｿﾌﾄﾊﾟﾗ 傾き重み 有効範囲 上限値 H
ｸﾞﾛｰﾊﾞﾙ,DM11648,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 距離重み 最大値 L
ｸﾞﾛｰﾊﾞﾙ,DM11649,17096,10進数16BIT,ｿﾌﾄﾊﾟﾗ 距離重み 最大値 H
ｸﾞﾛｰﾊﾞﾙ,DM11650,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 距離重み 増幅値 L
ｸﾞﾛｰﾊﾞﾙ,DM11651,16384,10進数16BIT,ｿﾌﾄﾊﾟﾗ 距離重み 増幅値 H
ｸﾞﾛｰﾊﾞﾙ,DM11652,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 距離重み 有効範囲 下限値 L
ｸﾞﾛｰﾊﾞﾙ,DM11653,17302,10進数16BIT,ｿﾌﾄﾊﾟﾗ 距離重み 有効範囲 下限値 H
ｸﾞﾛｰﾊﾞﾙ,DM11654,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11655,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11656,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11657,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11658,1,10進数16BIT,ｿﾌﾄﾊﾟﾗ ｽｷｬﾝﾓｰﾄﾞNo.
ｸﾞﾛｰﾊﾞﾙ,DM11659,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ (予約)
ｸﾞﾛｰﾊﾞﾙ,DM11660,51163,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11661,18149,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11662,54900,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11663,16613,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11664,18068,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11665,958,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11666,16835,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11667,49264,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11668,28174,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11669,16251,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11670,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11671,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11672,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11673,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11674,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11675,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11676,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11677,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11678,584,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11679,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11680,2,10進数16BIT,ｿﾌﾄﾊﾟﾗ ｵﾌﾟｼｮﾝ
ｸﾞﾛｰﾊﾞﾙ,DM11681,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11682,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 係数選択ﾓｰﾄﾞ 設定値
ｸﾞﾛｰﾊﾞﾙ,DM11683,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 係数選択ﾓｰﾄﾞ 適用値
ｸﾞﾛｰﾊﾞﾙ,DM11684,5000,10進数16BIT,ｿﾌﾄﾊﾟﾗ 帰還速度 除外値 [±0.01rpm] L
ｸﾞﾛｰﾊﾞﾙ,DM11685,0,10進数16BIT,ｿﾌﾄﾊﾟﾗ 帰還速度 除外値 [±0.01rpm] H
ｸﾞﾛｰﾊﾞﾙ,DM11686,1,10進数16BIT,画像速度 jetson 取付位置
ｸﾞﾛｰﾊﾞﾙ,DM11687,15716,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11688,0,10進数16BIT,画像速度 jetson 取付角度 ｵﾌｾｯﾄ [deg] L
ｸﾞﾛｰﾊﾞﾙ,DM11689,0,10進数16BIT,画像速度 jetson 取付角度 ｵﾌｾｯﾄ [deg] H
ｸﾞﾛｰﾊﾞﾙ,DM11690,40632,10進数16BIT,画像速度 jetson 進行方向 ｵﾌｾｯﾄ [deg] L
ｸﾞﾛｰﾊﾞﾙ,DM11691,17072,10進数16BIT,ﾊｰﾄﾞﾊﾟﾗﾒｰﾀ 先頭ﾃﾞﾊﾞｲｽｱﾄﾞﾚｽ H
ｸﾞﾛｰﾊﾞﾙ,DM11692,11796,10進数16BIT,画像速度 jetson 進行方向 ｵﾌｾｯﾄ 前回値 [deg] L
ｸﾞﾛｰﾊﾞﾙ,DM11693,17073,10進数16BIT,ﾊﾞｯﾌｧ出力 先頭ｱﾄﾞﾚｽ H
ｸﾞﾛｰﾊﾞﾙ,DM11694,0,10進数16BIT,画像速度 jetson 進行方向 安定度ｶｳﾝﾀ L
ｸﾞﾛｰﾊﾞﾙ,DM11695,0,10進数16BIT,画像速度 jetson 進行方向 安定度ｶｳﾝﾀ H
ｸﾞﾛｰﾊﾞﾙ,DM11696,39977,10進数16BIT,画像速度 jetson 進行速度 [mm/s] L
ｸﾞﾛｰﾊﾞﾙ,DM11697,17343,10進数16BIT,画像速度 jetson 進行速度 [mm/s] H
ｸﾞﾛｰﾊﾞﾙ,DM11698,39977,10進数16BIT,画像速度 jetson 進行速度 前回値 [mm/s] L
ｸﾞﾛｰﾊﾞﾙ,DM11699,17330,10進数16BIT,画像速度 jetson 進行速度 前回値 [mm/s] H
ｸﾞﾛｰﾊﾞﾙ,DM11700,44973,10進数16BIT,車体位置x [mm] LL
ｸﾞﾛｰﾊﾞﾙ,DM11701,29723,10進数16BIT,車体位置x [mm] LH
