"採用 左"
"DATA No","DATE","TIME","採用情報 左 撮像回数","採用情報 左 株番号","採用情報 左 撮像数","採用情報 左 処理時間[s]","採用情報 左 判定値","採用情報 左 スコア","採用情報 左 サイズＸ[mm]","採用情報 左 サイズＹ[mm]","採用情報 左 縦横比","採用情報 左 中心Ｘ[mm]","採用情報 左 中心Ｙ[mm]","採用情報 左 分解能","採用情報 左 積算位置[mm]","採用情報 左 車体昇降[mm]","採用情報 左 外葉押え[mm]","採用情報 左 スコア閾値","採用情報 左 サイズ閾値(小)[mm]","採用情報 左 サイズ閾値(大)[mm]","採用情報 左 縦横比閾値"
0,2025/12/17,11:18:44,226,2,5,1.280000E+02,4,409,5.709000E+03,7.311000E+03,1.200000E+01,8.680000E+02,6.002700E+04,3.338800E+04,5.983000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:18:46,230,3,4,1.020000E+02,6,824,7.211000E+03,6.377000E+03,1.100000E+01,6.340000E+02,4.643900E+04,3.338800E+04,7.972000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:18:49,242,4,8,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.755000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:18:51,249,5,7,1.000000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.474400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:18:54,256,6,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.455300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:18:56,263,7,7,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.907500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:18:59,270,8,7,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.906600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:19:01,273,9,3,1.040000E+02,1,995,1.055000E+04,1.101800E+04,1.000000E+01,4.774000E+03,7.946000E+03,3.338800E+04,1.608100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:19:04,280,10,7,1.000000E+02,6,812,8.580000E+03,8.647000E+03,1.000000E+01,8.313000E+03,6.430100E+04,3.338800E+04,5.253300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:19:06,285,11,5,1.010000E+02,4,572,8.614000E+03,8.947000E+03,1.000000E+01,7.111000E+03,4.623800E+04,3.338800E+04,5.662300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:19:09,294,12,7,1.050000E+02,4,321,6.009000E+03,5.943000E+03,1.000000E+01,7.670000E+02,8.340000E+02,3.338800E+04,4.884900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:19:11,295,13,1,1.060000E+02,4,438,5.375000E+03,6.877000E+03,1.200000E+01,7.670000E+02,6.146300E+04,3.338800E+04,5.068500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:19:14,302,14,1,1.030000E+02,1,997,1.272000E+04,9.816000E+03,1.200000E+01,6.490200E+04,6.466800E+04,3.338800E+04,1.902800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,11:19:16,304,15,2,1.190000E+02,3,328,1.345500E+04,8.814000E+03,1.500000E+01,6.490200E+04,3.752400E+04,3.338800E+04,2.408000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:19:19,317,16,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.725500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:19:21,324,17,7,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.733000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:19:24,331,18,7,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.144400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:19:26,335,19,4,1.160000E+02,6,992,9.014000E+03,8.280000E+03,1.000000E+01,5.962700E+04,5.385100E+04,3.338800E+04,3.804700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:19:29,345,20,7,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.659300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:19:31,347,21,2,1.020000E+02,4,369,4.507000E+03,5.475000E+03,1.200000E+01,4.784100E+04,4.961000E+04,3.338800E+04,2.135700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:19:34,359,22,7,1.130000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.086500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:19:36,366,23,7,1.140000E+02,4,523,5.876000E+03,6.744000E+03,1.100000E+01,3.670000E+02,1.305400E+04,3.338800E+04,6.384700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:19:39,373,24,7,1.050000E+02,6,992,7.178000E+03,8.580000E+03,1.100000E+01,6.516900E+04,5.375100E+04,3.338800E+04,3.316000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:19:41,375,25,2,1.140000E+02,4,415,6.577000E+03,4.173000E+03,1.500000E+01,6.493600E+04,3.772000E+03,3.338800E+04,2.948000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:19:44,386,26,6,1.000000E+02,4,520,4.006000E+03,4.006000E+03,1.000000E+01,5.692200E+04,6.243100E+04,3.338800E+04,2.535000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:19:46,394,27,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.942000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:19:49,401,28,7,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.848000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,11:19:51,408,29,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.378800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
