"採用 左"
"DATA No","DATE","TIME","採用情報 左 撮像回数","採用情報 左 株番号","採用情報 左 撮像数","採用情報 左 処理時間[s]","採用情報 左 判定値","採用情報 左 スコア","採用情報 左 サイズＸ[mm]","採用情報 左 サイズＹ[mm]","採用情報 左 縦横比","採用情報 左 中心Ｘ[mm]","採用情報 左 中心Ｙ[mm]","採用情報 左 分解能","採用情報 左 積算位置[mm]","採用情報 左 車体昇降[mm]","採用情報 左 外葉押え[mm]","採用情報 左 スコア閾値","採用情報 左 サイズ閾値(小)[mm]","採用情報 左 サイズ閾値(大)[mm]","採用情報 左 縦横比閾値"
0,2025/12/17,11:53:34,2102,2,5,1.270000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.203300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:53:36,2109,3,7,1.080000E+02,8,969,9.983000E+03,1.165200E+04,1.100000E+01,5.001100E+04,1.762800E+04,3.338800E+04,5.686700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:53:39,2117,4,7,1.180000E+02,8,996,1.148500E+04,1.158500E+04,1.000000E+01,5.138000E+04,5.485200E+04,3.338800E+04,5.945400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:53:41,2118,5,1,1.090000E+02,8,990,1.245300E+04,1.095100E+04,1.100000E+01,5.124600E+04,4.981100E+04,3.338800E+04,6.117800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:53:44,2131,6,7,1.000000E+02,2,0,0.000000E+00,0.000000E+00,1.600000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.526000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:53:46,2137,7,6,1.170000E+02,1,982,1.111800E+04,1.175200E+04,1.000000E+01,5.769000E+04,1.509100E+04,3.338800E+04,4.095200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:53:49,2145,8,8,1.000000E+02,3,996,1.629300E+04,1.348800E+04,1.200000E+01,5.962700E+04,4.767400E+04,3.338800E+04,4.391500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:53:51,2152,9,7,1.060000E+02,4,329,6.877000E+03,4.774000E+03,1.400000E+01,6.193100E+04,2.871300E+04,3.338800E+04,5.195100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:53:54,2159,10,7,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.415100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:53:56,2162,11,3,1.110000E+02,4,333,5.876000E+03,4.841000E+03,1.200000E+01,6.193100E+04,2.871300E+04,3.338800E+04,3.198300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:53:59,2173,12,7,1.160000E+02,4,414,7.378000E+03,4.540000E+03,1.600000E+01,6.183000E+04,2.874700E+04,3.338800E+04,1.176600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:54:01,2180,13,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.600000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.298200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:54:04,2186,14,6,1.040000E+02,6,993,7.245000E+03,9.081000E+03,1.200000E+01,6.069500E+04,7.712000E+03,3.338800E+04,4.677200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,11:54:06,2193,15,6,1.030000E+02,6,992,8.513000E+03,9.916000E+03,1.100000E+01,6.219800E+04,4.774100E+04,3.338800E+04,5.129900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:54:09,2195,16,1,1.030000E+02,6,864,9.816000E+03,8.914000E+03,1.100000E+01,6.273200E+04,4.016200E+04,3.338800E+04,5.426800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:54:11,2208,17,7,1.150000E+02,4,370,4.373000E+03,9.682000E+03,2.200000E+01,4.787400E+04,6.426800E+04,3.338800E+04,1.780000E+02,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:54:14,2215,18,7,1.050000E+02,6,1000,1.055000E+04,1.001600E+04,1.000000E+01,6.336600E+04,1.255300E+04,3.338800E+04,4.394900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:54:16,2216,19,1,1.020000E+02,1,1000,1.198600E+04,1.004900E+04,1.100000E+01,6.343300E+04,7.712000E+03,3.338800E+04,4.588800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:54:19,2220,20,4,1.260000E+02,3,969,1.175200E+04,6.377000E+03,1.800000E+01,6.443500E+04,3.668900E+04,3.338800E+04,5.155800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:54:21,2230,21,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.666500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:54:24,2237,22,7,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.103200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:54:26,2244,23,7,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.103200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:54:29,2251,24,7,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.529200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:54:31,2257,25,6,1.090000E+02,4,311,6.577000E+03,4.373000E+03,1.500000E+01,6.193100E+04,2.868000E+04,3.338800E+04,4.573000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:54:34,2265,26,7,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,9.661000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:54:36,2272,27,7,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.945800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:54:39,2279,28,7,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.958000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,11:54:41,2286,29,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.386000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
28,2025/12/17,11:54:44,2293,30,7,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.379900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
29,2025/12/17,11:54:46,2300,31,7,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.500000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.803400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
30,2025/12/17,11:54:49,2307,32,7,1.110000E+02,6,956,6.877000E+03,6.844000E+03,1.000000E+01,6.446800E+04,6.286500E+04,3.338800E+04,5.621700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
31,2025/12/17,11:54:51,2310,33,3,1.030000E+02,6,921,6.877000E+03,7.478000E+03,1.000000E+01,6.460200E+04,5.011100E+04,3.338800E+04,5.799700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
32,2025/12/17,11:54:54,2321,34,7,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.300500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
