"採用 左"
"DATA No","DATE","TIME","採用情報 左 撮像回数","採用情報 左 株番号","採用情報 左 撮像数","採用情報 左 処理時間[s]","採用情報 左 判定値","採用情報 左 スコア","採用情報 左 サイズＸ[mm]","採用情報 左 サイズＹ[mm]","採用情報 左 縦横比","採用情報 左 中心Ｘ[mm]","採用情報 左 中心Ｙ[mm]","採用情報 左 分解能","採用情報 左 積算位置[mm]","採用情報 左 車体昇降[mm]","採用情報 左 外葉押え[mm]","採用情報 左 スコア閾値","採用情報 左 サイズ閾値(小)[mm]","採用情報 左 サイズ閾値(大)[mm]","採用情報 左 縦横比閾値"
0,2025/12/17,11:15:56,35,2,5,1.270000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.266900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:15:58,42,3,7,1.180000E+02,6,928,7.145000E+03,8.313000E+03,1.100000E+01,4.841000E+03,4.633800E+04,3.338800E+04,2.065000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:16:01,49,4,7,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.165000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:16:03,56,5,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.503200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:16:06,59,6,3,1.060000E+02,6,914,6.610000E+03,7.545000E+03,1.100000E+01,2.737000E+03,7.011000E+03,3.338800E+04,5.654200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:16:08,64,7,1,1.020000E+02,4,441,8.747000E+03,7.979000E+03,1.000000E+01,2.337000E+03,5.438500E+04,3.338800E+04,6.047000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:16:11,77,8,7,1.030000E+02,6,992,9.816000E+03,8.180000E+03,1.200000E+01,3.238000E+03,6.423400E+04,3.338800E+04,5.775100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:16:13,80,9,3,1.070000E+02,6,982,8.714000E+03,7.145000E+03,1.200000E+01,3.438000E+03,5.128000E+04,3.338800E+04,5.931500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:16:16,91,10,7,1.110000E+02,1,1000,1.004900E+04,1.108400E+04,1.100000E+01,5.408000E+03,3.438000E+03,3.338800E+04,5.667700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:16:18,97,11,6,1.150000E+02,4,589,1.088400E+04,1.021600E+04,1.000000E+01,9.340000E+02,6.544000E+03,3.338800E+04,1.985500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:16:21,106,12,7,1.020000E+02,6,1000,9.749000E+03,1.041700E+04,1.000000E+01,6.166300E+04,3.205000E+03,3.338800E+04,5.132700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:16:23,108,13,2,1.090000E+02,1,999,1.111800E+04,9.482000E+03,1.100000E+01,6.163000E+04,5.992700E+04,3.338800E+04,5.306400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:16:26,116,14,8,1.090000E+02,6,991,6.844000E+03,8.847000E+03,1.200000E+01,6.343000E+03,5.288200E+04,3.338800E+04,3.301800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
