"採用 左"
"DATA No","DATE","TIME","採用情報 左 撮像回数","採用情報 左 株番号","採用情報 左 撮像数","採用情報 左 処理時間[s]","採用情報 左 判定値","採用情報 左 スコア","採用情報 左 サイズＸ[mm]","採用情報 左 サイズＹ[mm]","採用情報 左 縦横比","採用情報 左 中心Ｘ[mm]","採用情報 左 中心Ｙ[mm]","採用情報 左 分解能","採用情報 左 積算位置[mm]","採用情報 左 車体昇降[mm]","採用情報 左 外葉押え[mm]","採用情報 左 スコア閾値","採用情報 左 サイズ閾値(小)[mm]","採用情報 左 サイズ閾値(大)[mm]","採用情報 左 縦横比閾値"
0,2025/12/17,13:31:51,128,2,5,1.280000E+02,4,630,1.355500E+04,1.081700E+04,1.200000E+01,6.333300E+04,4.934300E+04,3.338800E+04,6.172400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,13:31:53,131,3,3,1.050000E+02,4,520,1.439000E+04,8.647000E+03,1.600000E+01,6.453500E+04,3.906000E+04,3.338800E+04,6.326000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,13:31:56,142,4,7,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.600000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.888000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,13:31:58,145,5,3,1.050000E+02,1,840,1.215300E+04,1.011600E+04,1.200000E+01,6.009400E+04,9.248000E+03,3.338800E+04,2.858500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,13:32:01,152,6,7,1.080000E+02,5,959,1.559200E+04,2.240300E+04,1.400000E+01,5.936000E+04,8.380000E+03,3.338800E+04,7.431000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,13:32:03,153,7,1,1.070000E+02,1,978,1.839600E+04,2.160200E+04,1.100000E+01,5.845800E+04,1.802000E+03,3.338800E+04,7.479000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,13:32:06,156,8,3,1.170000E+02,1,803,1.208600E+04,1.452300E+04,1.200000E+01,6.249800E+04,7.044000E+03,3.338800E+04,5.048600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,13:32:08,159,9,3,1.160000E+02,3,466,8.747000E+03,1.068400E+04,1.200000E+01,5.889200E+04,4.390100E+04,3.338800E+04,5.159000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,13:32:11,168,10,4,1.090000E+02,1,880,1.425600E+04,1.442300E+04,1.000000E+01,6.216400E+04,5.932600E+04,3.338800E+04,3.626700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,13:32:13,170,11,2,1.220000E+02,3,716,1.045000E+04,8.814000E+03,1.100000E+01,6.480200E+04,3.779100E+04,3.338800E+04,3.622300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,13:32:16,182,12,7,1.110000E+02,1,930,1.392200E+04,1.312100E+04,1.000000E+01,6.166300E+04,1.365500E+04,3.338800E+04,6.126500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,13:32:18,186,13,4,1.070000E+02,3,977,1.889700E+04,1.168500E+04,1.600000E+01,6.239800E+04,6.256500E+04,3.338800E+04,6.243300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,13:32:21,186,14,4,1.070000E+02,0,977,1.889700E+04,1.168500E+04,1.600000E+01,6.239800E+04,6.256500E+04,3.338800E+04,6.243300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,13:32:23,186,15,4,1.070000E+02,0,977,1.889700E+04,1.168500E+04,1.600000E+01,6.239800E+04,6.256500E+04,3.338800E+04,6.243300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
