"採用 左"
"DATA No","DATE","TIME","採用情報 左 撮像回数","採用情報 左 株番号","採用情報 左 撮像数","採用情報 左 処理時間[s]","採用情報 左 判定値","採用情報 左 スコア","採用情報 左 サイズＸ[mm]","採用情報 左 サイズＹ[mm]","採用情報 左 縦横比","採用情報 左 中心Ｘ[mm]","採用情報 左 中心Ｙ[mm]","採用情報 左 分解能","採用情報 左 積算位置[mm]","採用情報 左 車体昇降[mm]","採用情報 左 外葉押え[mm]","採用情報 左 スコア閾値","採用情報 左 サイズ閾値(小)[mm]","採用情報 左 サイズ閾値(大)[mm]","採用情報 左 縦横比閾値"
0,2025/12/17,11:40:58,1219,2,5,1.180000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.266800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:41:01,1221,3,2,1.280000E+02,1,997,1.529100E+04,1.462300E+04,1.000000E+01,7.044000E+03,1.201900E+04,3.338800E+04,3.266700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:41:03,1225,4,4,1.150000E+02,3,951,1.208600E+04,1.412300E+04,1.100000E+01,6.443000E+03,4.042900E+04,3.338800E+04,3.294400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:41:06,1235,5,7,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.518900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:41:08,1242,6,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.520000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:41:11,1249,7,7,1.070000E+02,8,997,1.045000E+04,1.222000E+04,1.100000E+01,5.501900E+04,4.607000E+03,3.338800E+04,3.418700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:41:13,1254,8,5,1.080000E+02,8,954,1.118400E+04,1.055000E+04,1.000000E+01,5.548700E+04,4.847500E+04,3.338800E+04,3.471800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:41:16,1257,9,1,1.030000E+02,4,347,8.814000E+03,3.605000E+03,2.400000E+01,5.698900E+04,3.505300E+04,3.338800E+04,3.580600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:41:18,1270,10,7,1.120000E+02,2,0,0.000000E+00,0.000000E+00,2.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.380400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:41:21,1277,11,7,1.110000E+02,2,0,0.000000E+00,0.000000E+00,2.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.813700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
