"採用 右"
"DATA No","DATE","TIME","採用情報 右 撮像回数","採用情報 右 株番号","採用情報 右 撮像数","採用情報 右 処理時間[s]","採用情報 右 判定値","採用情報 右 スコア","採用情報 右 サイズＸ[mm]","採用情報 右 サイズＹ[mm]","採用情報 右 縦横比","採用情報 右 中心Ｘ[mm]","採用情報 右 中心Ｙ[mm]","採用情報 右 分解能","採用情報 右 積算位置[mm]","採用情報 右 車体昇降[mm]","採用情報 右 外葉押え[mm]","採用情報 右 スコア閾値","採用情報 右 サイズ閾値(小)[mm]","採用情報 右 サイズ閾値(大)[mm]","採用情報 右 縦横比閾値"
0,2025/12/17,13:26:43,6,2,4,1.350000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.509000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,13:26:45,6,3,4,1.350000E+02,0,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.509000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,13:26:48,6,4,4,1.350000E+02,0,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.509000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,13:26:50,6,5,4,1.350000E+02,0,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.509000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,13:26:53,6,6,4,1.350000E+02,0,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.509000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,13:26:55,11,7,5,1.240000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.039700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,13:26:58,12,8,1,1.260000E+02,4,387,1.392200E+04,1.171900E+04,1.100000E+01,5.107900E+04,3.939000E+03,3.338800E+04,3.844000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,13:27:00,26,9,7,1.090000E+02,5,899,1.512400E+04,1.048300E+04,1.400000E+01,5.509000E+03,2.557500E+04,3.338800E+04,4.818100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,13:27:03,30,10,3,1.040000E+02,1,826,1.866300E+04,1.559200E+04,1.100000E+01,5.442000E+03,1.352200E+04,3.338800E+04,5.154600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,13:27:05,33,11,3,1.190000E+02,1,987,1.615900E+04,1.375500E+04,1.100000E+01,6.076000E+03,5.288200E+04,3.338800E+04,5.474500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,13:27:08,37,12,4,1.230000E+02,1,967,1.956500E+04,2.140100E+04,1.000000E+01,6.079500E+04,1.181900E+04,3.338800E+04,4.844700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,13:27:10,43,13,6,1.030000E+02,9,956,2.060000E+04,1.625900E+04,1.200000E+01,6.026100E+04,4.263200E+04,3.338800E+04,5.130700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,13:27:13,51,14,7,1.140000E+02,8,991,1.408900E+04,1.542500E+04,1.000000E+01,5.351700E+04,5.595400E+04,3.338800E+04,3.281300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,13:27:15,56,15,5,1.010000E+02,1,930,1.282000E+04,1.519100E+04,1.100000E+01,6.373400E+04,1.118400E+04,3.338800E+04,1.114300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,13:27:18,64,16,8,1.050000E+02,9,989,1.849600E+04,1.612600E+04,1.100000E+01,6.109600E+04,1.622600E+04,3.338800E+04,5.573900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,13:27:21,65,17,1,1.100000E+02,1,978,1.716100E+04,1.595900E+04,1.000000E+01,6.119600E+04,1.208600E+04,3.338800E+04,5.545000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,13:27:23,69,18,4,1.210000E+02,9,932,1.292100E+04,1.018300E+04,1.200000E+01,6.052800E+04,3.892600E+04,3.338800E+04,5.882600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,13:27:26,73,19,1,1.020000E+02,1,867,1.445700E+04,1.262000E+04,1.100000E+01,6.390000E+04,6.513600E+04,3.338800E+04,3.802800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,13:27:28,76,20,3,1.270000E+02,1,1000,1.372200E+04,1.208600E+04,1.100000E+01,6.189700E+04,5.175000E+03,3.338800E+04,1.483600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,13:27:31,78,21,2,1.270000E+02,9,996,1.191900E+04,1.171900E+04,1.000000E+01,6.199700E+04,4.553700E+04,3.338800E+04,1.635000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,13:27:33,86,22,3,1.060000E+02,1,996,1.028300E+04,1.195200E+04,1.100000E+01,1.869000E+03,5.962700E+04,3.338800E+04,6.519200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,13:27:36,91,23,5,1.290000E+02,4,326,5.609000E+03,5.742000E+03,1.000000E+01,6.052800E+04,1.068000E+03,3.338800E+04,4.388200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,13:27:38,98,24,5,1.150000E+02,1,818,1.171900E+04,1.305400E+04,1.100000E+01,6.283200E+04,1.285400E+04,3.338800E+04,2.019100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,13:27:41,106,25,8,1.090000E+02,9,996,1.579200E+04,1.923100E+04,1.200000E+01,5.618800E+04,1.662700E+04,3.338800E+04,6.471500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,13:27:43,109,26,3,1.020000E+02,1,995,1.459000E+04,1.799600E+04,1.200000E+01,5.632100E+04,4.473000E+03,3.338800E+04,6.408200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
