"採用 右"
"DATA No","DATE","TIME","採用情報 右 撮像回数","採用情報 右 株番号","採用情報 右 撮像数","採用情報 右 処理時間[s]","採用情報 右 判定値","採用情報 右 スコア","採用情報 右 サイズＸ[mm]","採用情報 右 サイズＹ[mm]","採用情報 右 縦横比","採用情報 右 中心Ｘ[mm]","採用情報 右 中心Ｙ[mm]","採用情報 右 分解能","採用情報 右 積算位置[mm]","採用情報 右 車体昇降[mm]","採用情報 右 外葉押え[mm]","採用情報 右 スコア閾値","採用情報 右 サイズ閾値(小)[mm]","採用情報 右 サイズ閾値(大)[mm]","採用情報 右 縦横比閾値"
0,2025/12/17,11:31:56,542,2,5,1.370000E+02,8,1000,1.315400E+04,1.191900E+04,1.100000E+01,1.128500E+04,8.680000E+02,3.338800E+04,1.338100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:31:59,547,3,5,1.020000E+02,8,955,1.008300E+04,1.145200E+04,1.100000E+01,9.949000E+03,4.994400E+04,3.338800E+04,1.612000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:32:01,557,4,7,9.800000E+01,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.516000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:32:04,564,5,7,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.422900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:32:06,571,6,7,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.486200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:32:09,575,7,4,1.080000E+02,4,454,6.210000E+03,6.210000E+03,1.000000E+01,4.774100E+04,2.574200E+04,3.338800E+04,4.331100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:32:11,585,8,7,1.030000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.879900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:32:14,592,9,7,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.402200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:32:16,599,10,7,1.130000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.374500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:32:19,606,11,7,1.040000E+02,4,377,1.255300E+04,9.048000E+03,1.300000E+01,2.637000E+03,1.792900E+04,3.338800E+04,3.606600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:32:21,610,12,4,1.110000E+02,1,997,1.051700E+04,1.275400E+04,1.200000E+01,2.871000E+03,2.671000E+03,3.338800E+04,3.902600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:32:24,612,13,2,1.180000E+02,6,924,9.882000E+03,1.081700E+04,1.000000E+01,3.839000E+03,4.971100E+04,3.338800E+04,4.193500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:32:26,625,14,7,1.020000E+02,2,0,0.000000E+00,0.000000E+00,2.300000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.256800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,11:32:29,632,15,7,1.030000E+02,2,0,0.000000E+00,0.000000E+00,2.300000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.860000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:32:31,635,16,3,1.130000E+02,6,940,5.108000E+03,5.008000E+03,1.000000E+01,7.670000E+02,6.490200E+04,3.338800E+04,2.151200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:32:34,640,17,1,1.040000E+02,1,989,1.051700E+04,1.131800E+04,1.000000E+01,2.670000E+02,1.542500E+04,3.338800E+04,5.982300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:32:36,641,18,1,1.370000E+02,1,1000,1.232000E+04,1.262000E+04,1.000000E+01,1.201000E+03,5.461900E+04,3.338800E+04,6.163000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:32:39,648,19,7,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.109600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:32:41,655,20,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.638700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:32:44,662,21,7,1.140000E+02,5,801,5.809000E+03,4.240000E+03,1.300000E+01,6.173000E+04,5.675000E+03,3.338800E+04,6.204000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:32:46,666,22,4,1.030000E+02,6,824,9.882000E+03,9.048000E+03,1.000000E+01,6.283200E+04,5.668900E+04,3.338800E+04,1.620000E+02,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:32:49,675,23,6,1.140000E+02,6,893,8.714000E+03,9.916000E+03,1.100000E+01,5.986100E+04,1.028300E+04,3.338800E+04,5.692200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:32:51,677,24,1,1.170000E+02,1,973,1.285400E+04,1.298700E+04,1.000000E+01,6.082900E+04,2.170000E+03,3.338800E+04,5.934700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:32:54,685,25,8,1.130000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.812300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:32:56,690,26,5,1.100000E+02,6,877,8.614000E+03,7.946000E+03,1.000000E+01,6.350000E+04,9.415000E+03,3.338800E+04,1.134600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
