"採用 右"
"DATA No","DATE","TIME","採用情報 右 撮像回数","採用情報 右 株番号","採用情報 右 撮像数","採用情報 右 処理時間[s]","採用情報 右 判定値","採用情報 右 スコア","採用情報 右 サイズＸ[mm]","採用情報 右 サイズＹ[mm]","採用情報 右 縦横比","採用情報 右 中心Ｘ[mm]","採用情報 右 中心Ｙ[mm]","採用情報 右 分解能","採用情報 右 積算位置[mm]","採用情報 右 車体昇降[mm]","採用情報 右 外葉押え[mm]","採用情報 右 スコア閾値","採用情報 右 サイズ閾値(小)[mm]","採用情報 右 サイズ閾値(大)[mm]","採用情報 右 縦横比閾値"
0,2025/12/17,11:48:17,1816,2,5,1.220000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.277600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:48:20,1823,3,7,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.005300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:48:22,1831,4,8,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.996000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:48:25,1838,5,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.503300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:48:28,1845,6,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.480700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:48:30,1852,7,7,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.897900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:48:33,1859,8,7,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.906300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:48:35,1866,9,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.325100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:48:38,1873,10,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.399700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:48:40,1880,11,7,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.819700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:48:43,1887,12,7,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.799300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:48:45,1894,13,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.226500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:48:48,1901,14,7,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.400000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.315200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
