"採用 右"
"DATA No","DATE","TIME","採用情報 右 撮像回数","採用情報 右 株番号","採用情報 右 撮像数","採用情報 右 処理時間[s]","採用情報 右 判定値","採用情報 右 スコア","採用情報 右 サイズＸ[mm]","採用情報 右 サイズＹ[mm]","採用情報 右 縦横比","採用情報 右 中心Ｘ[mm]","採用情報 右 中心Ｙ[mm]","採用情報 右 分解能","採用情報 右 積算位置[mm]","採用情報 右 車体昇降[mm]","採用情報 右 外葉押え[mm]","採用情報 右 スコア閾値","採用情報 右 サイズ閾値(小)[mm]","採用情報 右 サイズ閾値(大)[mm]","採用情報 右 縦横比閾値"
0,2025/12/17,11:18:44,218,2,3,1.190000E+02,4,693,9.448000E+03,8.580000E+03,1.100000E+01,2.070000E+03,3.926000E+04,3.338800E+04,4.289100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:18:46,225,3,5,1.150000E+02,9,985,1.118400E+04,9.816000E+03,1.100000E+01,6.279900E+04,2.307100E+04,3.338800E+04,5.481900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:18:49,235,4,7,1.070000E+02,6,998,8.747000E+03,9.515000E+03,1.000000E+01,6.206400E+04,5.802400E+04,3.338800E+04,6.267200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:18:51,237,5,2,1.070000E+02,1,994,1.078400E+04,1.185200E+04,1.000000E+01,3.605000E+03,1.198600E+04,3.338800E+04,2.720600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:18:54,242,6,5,1.180000E+02,6,869,9.348000E+03,1.021600E+04,1.000000E+01,3.973000E+03,4.163100E+04,3.338800E+04,3.263100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:18:56,248,7,4,1.170000E+02,1,999,1.232000E+04,1.018300E+04,1.200000E+01,6.523600E+04,9.548000E+03,3.338800E+04,2.758400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:18:59,249,8,1,1.290000E+02,1,1000,1.181900E+04,9.582000E+03,1.200000E+01,6.490200E+04,5.942600E+04,3.338800E+04,2.911100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:19:01,250,9,1,1.330000E+02,5,905,8.747000E+03,5.175000E+03,1.600000E+01,6.470200E+04,3.662200E+04,3.338800E+04,3.609000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:19:04,263,10,7,1.080000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.327500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:19:06,266,11,3,1.010000E+02,4,693,5.008000E+03,5.809000E+03,1.100000E+01,5.999400E+04,1.809600E+04,3.338800E+04,2.119800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:19:09,277,12,7,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.835100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:19:11,284,13,7,9.900000E+01,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.268400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:19:14,291,14,7,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.242000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,11:19:16,298,15,7,1.060000E+02,6,996,7.545000E+03,8.113000E+03,1.000000E+01,6.426800E+04,6.496900E+04,3.338800E+04,6.282000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:19:19,302,16,4,1.040000E+02,6,895,7.278000E+03,9.348000E+03,1.200000E+01,6.443500E+04,4.884200E+04,3.338800E+04,9.163000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:19:21,312,17,7,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.625000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:19:24,319,18,7,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.151700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:19:26,326,19,7,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.126300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:19:29,333,20,7,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.644800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:19:31,340,21,7,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.611100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:19:34,347,22,7,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.057800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:19:36,354,23,7,1.000000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.009700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:19:39,361,24,7,9.700000E+01,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.525700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:19:41,368,25,7,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.505300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:19:44,374,26,6,1.090000E+02,4,346,1.088400E+04,9.949000E+03,1.000000E+01,1.595900E+04,2.824600E+04,3.338800E+04,3.336900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:19:46,382,27,7,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.977900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:19:49,390,28,8,1.040000E+02,1,1000,9.014000E+03,1.118400E+04,1.200000E+01,6.072900E+04,7.946000E+03,3.338800E+04,1.471100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
