"採用 右"
"DATA No","DATE","TIME","採用情報 右 撮像回数","採用情報 右 株番号","採用情報 右 撮像数","採用情報 右 処理時間[s]","採用情報 右 判定値","採用情報 右 スコア","採用情報 右 サイズＸ[mm]","採用情報 右 サイズＹ[mm]","採用情報 右 縦横比","採用情報 右 中心Ｘ[mm]","採用情報 右 中心Ｙ[mm]","採用情報 右 分解能","採用情報 右 積算位置[mm]","採用情報 右 車体昇降[mm]","採用情報 右 外葉押え[mm]","採用情報 右 スコア閾値","採用情報 右 サイズ閾値(小)[mm]","採用情報 右 サイズ閾値(大)[mm]","採用情報 右 縦横比閾値"
0,2025/12/17,11:15:56,8,2,5,1.380000E+02,6,987,8.113000E+03,8.513000E+03,1.000000E+01,6.420100E+04,7.478000E+03,3.338800E+04,1.945100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:15:58,16,3,8,1.100000E+02,6,990,7.311000E+03,8.814000E+03,1.200000E+01,6.193100E+04,1.058300E+04,3.338800E+04,5.355200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:16:01,23,4,7,1.150000E+02,6,830,9.816000E+03,9.148000E+03,1.000000E+01,6.303200E+04,5.124600E+04,3.338800E+04,5.562000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:16:03,30,5,7,1.190000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.509200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:16:06,36,6,6,1.020000E+02,4,652,6.043000E+03,7.011000E+03,1.100000E+01,6.486900E+04,6.126300E+04,3.338800E+04,5.663300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:16:08,44,7,7,1.010000E+02,8,991,1.105100E+04,1.312100E+04,1.100000E+01,5.491900E+04,6.316600E+04,3.338800E+04,2.651300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:16:11,50,8,6,1.040000E+02,8,968,9.749000E+03,1.188600E+04,1.200000E+01,5.508600E+04,3.979400E+04,3.338800E+04,2.997400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:16:13,56,9,5,1.040000E+02,6,968,9.615000E+03,8.947000E+03,1.000000E+01,6.476900E+04,4.653900E+04,3.338800E+04,6.268900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:16:16,65,10,7,1.040000E+02,4,508,7.011000E+03,6.009000E+03,1.100000E+01,6.473500E+04,5.342000E+03,3.338800E+04,5.878600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:16:18,72,11,7,1.060000E+02,6,970,8.146000E+03,7.011000E+03,1.100000E+01,6.173000E+04,4.607000E+03,3.338800E+04,2.333200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
