"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,10:58:42,5845,1,3,"0.086",5,992,"94.85","125.57","1.3","-141.56","+258.08",33388,"368.73","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,10:58:44,5851,2,6,"0.086",8,997,"109.21","140.93","1.2","-144.90","+18.02",33388,"382.13","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,10:58:47,5858,3,6,"0.086",1,985,"129.24","136.92","1.0","-99.16","+153.91",33388,"817.33","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,10:58:49,5861,4,3,"0.094",8,990,"103.86","129.91","1.2","-111.18","-132.55",33388,"786.03","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,10:58:52,5862,5,1,"0.093",4,674,"117.55","105.53","1.1","+65.10","+198.65",33388,"1382.06","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,10:58:55,5863,6,1,"0.094",1,982,"132.58","136.58","1.0","+38.06","-30.04",33388,"1378.37","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,10:58:58,5868,7,5,"0.082",1,996,"127.90","115.22","1.1","+30.38","+188.97",33388,"2091.41","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,10:59:00,5870,8,2,"0.086",1,994,"137.25","136.25","1.0","+28.37","+114.18",33388,"2121.81","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,10:59:03,5873,9,3,"0.085",6,905,"75.48","61.46","1.2","+40.06","+276.78",33388,"2815.61","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,10:59:06,5874,10,1,"0.093",1,949,"107.54","116.55","1.0","+6.00","+176.95",33388,"2827.35","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,10:59:08,5880,11,6,"0.086",9,854,"101.86","94.85","1.0","-20.70","-218.35",33388,"2854.36","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,10:59:11,5888,12,7,"0.086",1,972,"113.55","146.60","1.2","-20.36","+134.55",33388,"3552.59","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,10:59:13,5895,13,7,"0.086",3,394,"142.93","178.99","1.2","-27.71","-151.91",33388,"3556.05","0.00","50.00",700,"1.2","100.00","300.00"
13,2025/11/12,10:59:16,5903,14,7,"0.085",4,475,"122.56","57.12","2.1","+68.44","+185.30",33388,"4212.67","0.00","50.00",700,"1.2","100.00","300.00"
14,2025/11/12,10:59:18,5904,15,1,"0.093",1,998,"142.26","130.57","1.0","+78.46","+103.83",33388,"4182.61","0.00","50.00",700,"1.2","100.00","300.00"
15,2025/11/12,10:59:21,5912,16,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4644.83","0.00","50.00",700,"1.2","100.00","300.00"
16,2025/11/12,10:59:23,5913,17,1,"0.087",1,999,"97.85","107.20","1.0","-18.36","+194.65",33388,"4881.00","0.00","50.00",700,"1.2","100.00","300.00"
17,2025/11/12,10:59:26,5921,18,8,"0.086",5,998,"99.52","72.81","1.3","+49.74","+276.78",33388,"5522.43","0.00","50.00",700,"1.2","100.00","300.00"
18,2025/11/12,10:59:28,5924,19,3,"0.086",1,924,"112.55","138.25","1.2","+49.41","+193.31",33388,"5556.70","0.00","50.00",700,"1.2","100.00","300.00"
19,2025/11/12,10:59:31,5925,20,1,"0.093",1,959,"144.60","116.89","1.2","+39.06","-45.74",33388,"5530.87","0.00","50.00",700,"1.2","100.00","300.00"
20,2025/11/12,10:59:33,5933,21,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6153.04","0.00","50.00",700,"1.2","100.00","300.00"
21,2025/11/12,10:59:36,5940,22,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6429.85","0.00","50.00",700,"1.2","100.00","300.00"
22,2025/11/12,10:59:38,5947,23,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6732.55","0.00","50.00",700,"1.2","100.00","300.00"
23,2025/11/12,10:59:41,5952,24,5,"0.089",1,728,"139.59","134.92","1.0","-70.44","+180.96",33388,"7123.54","0.00","50.00",700,"1.2","100.00","300.00"
24,2025/11/12,10:59:43,5954,25,2,"0.085",1,754,"99.19","101.19","1.0","-81.46","-15.69",33388,"7106.39","0.00","50.00",700,"1.2","100.00","300.00"
25,2025/11/12,10:59:46,5955,26,1,"0.085",1,898,"154.61","129.91","1.1","-18.02","+54.08",33388,"7435.60","0.00","50.00",700,"1.2","100.00","300.00"
26,2025/11/12,10:59:48,5962,27,7,"0.087",9,970,"129.91","122.90","1.0","-78.79","+224.36",33388,"8145.28","0.00","50.00",700,"1.2","100.00","300.00"
27,2025/11/12,10:59:51,5963,28,1,"0.086",1,998,"131.58","109.87","1.1","-79.12","+148.24",33388,"8138.32","0.00","50.00",700,"1.2","100.00","300.00"
28,2025/11/12,10:59:53,5971,29,8,"0.086",5,994,"90.84","59.46","1.5","-100.83","+277.45",33388,"8831.38","0.00","50.00",700,"1.2","100.00","300.00"
29,2025/11/12,10:59:56,5974,30,3,"0.086",1,998,"87.50","103.53","1.1","-96.15","+168.94",33388,"8840.59","0.00","50.00",700,"1.2","100.00","300.00"
30,2025/11/12,10:59:58,5982,31,8,"0.087",6,999,"80.49","62.13","1.2","-105.50","+36.05",33388,"9198.59","0.00","50.00",700,"1.2","100.00","300.00"
31,2025/11/12,11:00:01,5988,32,6,"0.086",1,992,"116.55","113.88","1.0","-101.16","+146.23",33388,"9544.53","0.00","50.00",700,"1.2","100.00","300.00"
32,2025/11/12,11:00:03,5989,33,1,"0.093",1,999,"125.90","118.56","1.0","-101.16","+29.71",33388,"9519.12","0.00","50.00",700,"1.2","100.00","300.00"
33,2025/11/12,11:00:06,5997,34,8,"0.087",1,893,"101.19","127.24","1.2","-26.37","+173.95",33388,"10240.15","0.00","50.00",700,"1.2","100.00","300.00"
34,2025/11/12,11:00:08,6001,35,4,"0.086",1,998,"113.55","116.89","1.0","-27.04","-2.67",33388,"10223.23","0.00","50.00",700,"1.2","100.00","300.00"
35,2025/11/12,11:00:11,6008,36,7,"0.087",9,892,"124.57","110.21","1.1","+4.00","+258.75",33388,"10888.52","0.00","50.00",700,"1.2","100.00","300.00"
36,2025/11/12,11:00:13,6009,37,1,"0.084",1,998,"111.54","113.88","1.0","+3.67","+191.64",33388,"10901.39","0.00","50.00",700,"1.2","100.00","300.00"
37,2025/11/12,11:00:16,6010,38,1,"0.093",1,919,"131.58","118.89","1.1","+24.37","-128.20",33388,"10865.16","0.00","50.00",700,"1.2","100.00","300.00"
38,2025/11/12,11:00:18,6017,39,7,"0.086",1,928,"113.55","133.58","1.1","-49.74","+194.31",33388,"11728.74","0.00","50.00",700,"1.2","100.00","300.00"
39,2025/11/12,11:00:21,6018,40,1,"0.085",1,961,"132.91","133.91","1.0","-50.08","+114.18",33388,"11703.04","0.00","50.00",700,"1.2","100.00","300.00"
40,2025/11/12,11:00:23,6025,41,7,"0.101",6,811,"82.16","68.47","1.1","-129.54","+262.42",33388,"12385.65","0.00","50.00",700,"1.2","100.00","300.00"
41,2025/11/12,11:00:26,6030,42,4,"0.086",4,614,"90.84","106.54","1.1","-146.57","+69.11",33388,"12390.68","0.00","50.00",700,"1.2","100.00","300.00"
42,2025/11/12,11:00:28,6038,43,5,"0.085",1,997,"95.18","100.19","1.0","-78.79","+45.40",33388,"12709.31","0.00","50.00",700,"1.2","100.00","300.00"
43,2025/11/12,11:00:31,6041,44,3,"0.086",1,997,"93.51","108.20","1.1","-32.05","+193.31",33388,"13064.85","0.00","50.00",700,"1.2","100.00","300.00"
44,2025/11/12,11:00:33,6042,45,1,"0.086",6,969,"79.49","89.84","1.1","-29.71","-45.07",33388,"13048.13","0.00","50.00",700,"1.2","100.00","300.00"
45,2025/11/12,11:00:36,6056,46,7,"0.106",1,999,"117.22","93.85","1.2","-79.79","+189.64",33388,"13837.02","0.00","50.00",700,"1.2","100.00","300.00"
46,2025/11/12,11:00:38,6064,47,8,"0.081",4,561,"68.47","88.51","1.2","-68.11","-154.58",33388,"13816.66","0.00","50.00",700,"1.2","100.00","300.00"
47,2025/11/12,11:00:41,6066,48,2,"0.085",1,999,"117.55","104.87","1.1","-28.04","+136.89",33388,"14188.88","0.00","50.00",700,"1.2","100.00","300.00"
48,2025/11/12,11:00:44,6074,49,8,"0.086",5,967,"145.27","43.77","3.3","+12.35","+289.80",33388,"14869.09","0.00","50.00",700,"1.2","100.00","300.00"
49,2025/11/12,11:00:46,6078,50,4,"0.086",1,997,"114.21","110.88","1.0","+4.00","+164.93",33388,"14902.55","0.00","50.00",700,"1.2","100.00","300.00"
