"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,13:41:46,1145,1,2,"0.087",1,990,"108.21","92.85","1.1","-19.36","+25.70",33388,"102.09","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,13:41:48,1146,2,1,"0.105",9,985,"116.89","90.85","1.2","+75.12","+215.01",33388,"465.16","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,13:41:51,1155,3,3,"0.086",1,999,"112.22","91.85","1.2","+69.78","-155.92",33388,"462.17","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,13:41:53,1159,4,4,"0.085",1,778,"124.24","126.24","1.0","+62.10","+168.60",33388,"1116.85","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,13:41:56,1166,5,7,"0.085",1,866,"130.92","126.91","1.0","-19.36","+125.20",33388,"1491.17","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,13:41:58,1169,6,3,"0.085",1,995,"106.54","128.25","1.2","-21.36","-46.07",33388,"1465.93","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,13:42:01,1172,7,3,"0.086",1,988,"112.89","100.53","1.1","+43.40","+12.35",33388,"1830.00","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,13:42:03,1174,8,2,"0.085",6,892,"75.49","65.81","1.1","+50.74","-220.36",33388,"1848.68","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,13:42:06,1187,9,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2589.37","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,13:42:08,1195,10,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2861.11","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,13:42:11,1200,11,5,"0.086",6,986,"84.84","90.85","1.0","-49.08","+176.62",33388,"3210.71","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,13:42:13,1208,12,6,"0.101",9,850,"120.23","93.19","1.2","-51.41","+249.07",33388,"3634.52","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,13:42:16,1211,13,2,"0.086",1,936,"115.89","99.53","1.1","-56.75","+124.53",33388,"3629.14","0.00","50.00",700,"1.2","100.00","300.00"
13,2025/11/12,13:42:18,1212,14,1,"0.093",1,816,"103.20","88.18","1.1","-65.10","-162.93",33388,"3603.87","0.00","50.00",700,"1.2","100.00","300.00"
14,2025/11/12,13:42:21,1219,15,7,"0.086",1,1000,"106.54","114.56","1.0","-68.11","+186.63",33388,"4478.27","0.00","50.00",700,"1.2","100.00","300.00"
15,2025/11/12,13:42:23,1223,16,4,"0.092",4,655,"112.89","99.53","1.1","-125.53","-104.50",33388,"4460.86","0.00","50.00",700,"1.2","100.00","300.00"
16,2025/11/12,13:42:26,1231,17,7,"0.086",4,410,"121.90","51.45","2.3","+5.00","+285.13",33388,"5209.89","0.00","50.00",700,"1.2","100.00","300.00"
17,2025/11/12,13:42:28,1237,18,6,"0.085",1,991,"85.51","109.21","1.2","+12.35","+182.96",33388,"5347.13","0.00","50.00",700,"1.2","100.00","300.00"
18,2025/11/12,13:42:31,1243,19,6,"0.085",1,999,"86.18","100.87","1.1","+57.09","+198.65",33388,"5662.34","0.00","50.00",700,"1.2","100.00","300.00"
19,2025/11/12,13:42:33,1244,20,1,"0.108",1,997,"105.88","93.86","1.1","+62.76","+82.46",33388,"5647.06","0.00","50.00",700,"1.2","100.00","300.00"
20,2025/11/12,13:42:36,1252,21,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"6144.09","0.00","50.00",700,"1.2","100.00","300.00"
21,2025/11/12,13:42:38,1259,22,7,"0.086",6,999,"83.84","98.86","1.1","-72.11","+208.67",33388,"6630.67","0.00","50.00",700,"1.2","100.00","300.00"
22,2025/11/12,13:42:41,1261,23,2,"0.086",1,994,"102.87","88.85","1.1","-51.41","-53.75",33388,"6659.25","0.00","50.00",700,"1.2","100.00","300.00"
23,2025/11/12,13:42:44,1264,24,3,"0.087",1,977,"124.91","139.60","1.1","-89.81","+118.19",33388,"7102.04","0.00","50.00",700,"1.2","100.00","300.00"
24,2025/11/12,13:42:46,1271,25,7,"0.085",4,337,"19.40","59.47","3.0","-69.78","+115.52",33388,"7478.32","0.00","50.00",700,"1.2","100.00","300.00"
25,2025/11/12,13:42:49,1277,26,6,"0.101",6,940,"85.84","93.52","1.0","-59.09","+177.29",33388,"7805.89","0.00","50.00",700,"1.2","100.00","300.00"
26,2025/11/12,13:42:51,1284,27,6,"0.086",6,980,"75.49","64.14","1.1","-53.08","-128.87",33388,"7804.30","0.00","50.00",700,"1.2","100.00","300.00"
27,2025/11/12,13:42:54,1292,28,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"8273.85","0.00","50.00",700,"1.2","100.00","300.00"
28,2025/11/12,13:42:56,1300,29,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"8591.84","0.00","50.00",700,"1.2","100.00","300.00"
29,2025/11/12,13:42:59,1307,30,7,"0.085",5,986,"98.20","29.42","3.3","+41.06","+291.14",33388,"9160.90","0.00","50.00",700,"1.2","100.00","300.00"
30,2025/11/12,13:43:01,1310,31,3,"0.085",1,952,"135.93","108.21","1.2","+43.40","+181.96",33388,"9200.27","0.00","50.00",700,"1.2","100.00","300.00"
31,2025/11/12,13:43:04,1318,32,8,"0.085",6,829,"75.16","81.84","1.0","-144.57","+260.76",33388,"9759.69","0.00","50.00",700,"1.2","100.00","300.00"
32,2025/11/12,13:43:06,1324,33,6,"0.086",8,880,"140.93","121.23","1.1","-113.18","+39.39",33388,"9776.15","0.00","50.00",700,"1.2","100.00","300.00"
33,2025/11/12,13:43:09,1331,34,6,"0.085",1,998,"106.88","83.84","1.2","-13.35","+10.35",33388,"10023.71","0.00","50.00",700,"1.2","100.00","300.00"
34,2025/11/12,13:43:11,1334,35,3,"0.085",3,393,"76.49","115.22","1.5","-6.67","-179.96",33388,"10026.84","0.00","50.00",700,"1.2","100.00","300.00"
35,2025/11/12,13:43:14,1345,36,7,"0.086",8,856,"125.91","125.24","1.0","-103.83","-2.67",33388,"10668.53","0.00","50.00",700,"1.2","100.00","300.00"
36,2025/11/12,13:43:16,1347,37,2,"0.086",8,706,"124.24","136.26","1.0","-103.16","-104.83",33388,"10673.17","0.00","50.00",700,"1.2","100.00","300.00"
37,2025/11/12,13:43:19,1358,38,6,"0.085",6,988,"64.47","68.15","1.0","-29.04","+94.82",33388,"11334.22","0.00","50.00",700,"1.2","100.00","300.00"
38,2025/11/12,13:43:21,1364,39,5,"0.086",1,885,"139.93","117.90","1.1","+22.36","+175.28",33388,"11653.72","0.00","50.00",700,"1.2","100.00","300.00"
