"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,14:28:08,3531,1,3,"0.088",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"123.27","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,14:28:11,3538,2,7,"0.084",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"366.14","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,14:28:13,3541,3,3,"0.085",6,814,"26.08","24.41","1.0","+24.37","-8.68",33388,"492.21","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,14:28:16,3550,4,5,"0.086",6,996,"74.49","86.51","1.1","-82.80","-34.72",33388,"825.74","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,14:28:18,3553,5,1,"0.088",1,734,"112.55","103.20","1.0","-6.34","+89.14",33388,"1206.40","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,14:28:21,3561,6,8,"0.085",5,906,"69.48","42.44","1.6","-131.88","-43.73",33388,"1554.01","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,14:28:23,3564,7,3,"0.086",1,991,"98.53","109.55","1.1","-16.69","+179.96",33388,"1897.10","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,14:28:26,3565,8,1,"0.089",1,926,"93.86","101.54","1.0","-13.02","-45.74",33388,"1869.75","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,14:28:28,3566,9,1,"0.093",1,978,"133.25","133.92","1.0","-18.02","+12.01",33388,"2227.15","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,14:28:31,3574,10,8,"0.086",6,998,"63.81","76.83","1.2","-59.09","+150.57",33388,"2949.03","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,14:28:33,3581,11,7,"0.085",6,843,"64.81","53.46","1.2","-50.41","-137.22",33388,"2942.28","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,14:28:36,3582,12,1,"0.082",5,771,"84.51","62.47","1.3","-53.42","-183.63",33388,"2934.27","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,14:28:38,3596,13,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"3674.10","0.00","50.00",700,"1.2","100.00","300.00"
13,2025/11/12,14:28:41,3603,14,7,"0.086",6,992,"95.19","95.19","1.0","+13.68","+47.41",33388,"4024.75","0.00","50.00",700,"1.2","100.00","300.00"
14,2025/11/12,14:28:43,3609,15,6,"0.086",6,998,"96.86","84.84","1.1","+13.35","-185.97",33388,"4027.41","0.00","50.00",700,"1.2","100.00","300.00"
15,2025/11/12,14:28:46,3618,16,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"4574.57","0.00","50.00",700,"1.2","100.00","300.00"
