"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,13:25:14,13,1,4,"0.086",1,998,"96.86","103.54","1.0","+104.50","+175.62",33388,"262.60","0.00","125.00",800,"1.2","100.00","300.00"
1,2025/11/11,13:25:16,20,2,7,"0.086",6,995,"93.19","73.16","1.2","+116.85","-211.67",33388,"281.43","0.00","125.00",800,"1.2","100.00","300.00"
2,2025/11/11,13:25:19,28,3,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"811.04","0.00","125.00",800,"1.2","100.00","300.00"
3,2025/11/11,13:25:21,33,4,5,"0.081",1,999,"108.21","90.18","1.1","-18.36","+46.74",33388,"1086.76","0.00","125.00",800,"1.2","100.00","300.00"
4,2025/11/11,13:25:24,41,5,8,"0.086",6,874,"44.11","34.43","1.2","-32.72","-8.68",33388,"1426.67","0.00","125.00",800,"1.2","100.00","300.00"
5,2025/11/11,13:25:26,45,6,4,"0.087",6,940,"50.12","52.46","1.0","-26.04","-168.94",33388,"1428.60","0.00","125.00",800,"1.2","100.00","300.00"
6,2025/11/11,13:25:29,56,7,8,"0.086",4,782,"19.40","14.39","1.3","+5.67","+40.39",33388,"2075.96","0.00","125.00",800,"1.2","100.00","300.00"
7,2025/11/11,13:25:31,63,8,7,"0.086",6,992,"55.79","64.14","1.1","+16.69","+117.85",33388,"2435.38","0.00","125.00",800,"1.2","100.00","300.00"
8,2025/11/11,13:25:34,64,9,1,"0.086",6,971,"64.14","71.49","1.1","+17.02","+71.45",33388,"2428.91","0.00","125.00",800,"1.2","100.00","300.00"
9,2025/11/11,13:25:36,78,10,7,"0.085",6,998,"74.49","62.81","1.1","-29.04","+231.71",33388,"3149.04","0.00","125.00",800,"1.2","100.00","300.00"
10,2025/11/11,13:25:39,85,11,7,"0.086",6,974,"74.83","77.83","1.0","-18.02","-88.14",33388,"3134.36","0.00","125.00",800,"1.2","100.00","300.00"
11,2025/11/11,13:25:41,87,12,2,"0.086",6,852,"65.14","59.13","1.1","-19.03","-180.29",33388,"3122.69","0.00","125.00",800,"1.2","100.00","300.00"
12,2025/11/11,13:25:44,99,13,7,"0.087",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"3827.37","0.00","125.00",800,"1.2","100.00","300.00"
13,2025/11/11,13:25:46,106,14,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"4108.36","0.00","125.00",800,"1.2","100.00","300.00"
14,2025/11/11,13:25:49,112,15,6,"0.101",1,996,"99.53","120.90","1.2","+100.49","+198.32",33388,"4574.17","0.00","125.00",800,"1.2","100.00","300.00"
15,2025/11/11,13:25:52,120,16,8,"0.086",3,875,"121.57","94.52","1.2","+110.84","-175.28",33388,"4570.98","0.00","125.00",800,"1.2","100.00","300.00"
16,2025/11/11,13:25:54,121,17,1,"0.086",3,973,"100.87","77.83","1.2","+112.85","-205.33",33388,"4581.69","0.00","125.00",800,"1.2","100.00","300.00"
17,2025/11/11,13:25:57,135,18,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"5346.99","0.00","125.00",800,"1.2","100.00","300.00"
18,2025/11/11,13:25:59,142,19,7,"0.088",6,993,"82.50","86.18","1.0","+118.52","-23.03",33388,"5605.39","0.00","125.00",800,"1.2","100.00","300.00"
19,2025/11/11,13:26:02,145,20,3,"0.087",6,920,"76.83","97.20","1.2","+121.53","-151.24",33388,"5595.85","0.00","125.00",800,"1.2","100.00","300.00"
20,2025/11/11,13:26:04,155,21,5,"0.086",1,954,"116.23","145.27","1.2","-16.69","+177.29",33388,"6328.69","0.00","125.00",800,"1.2","100.00","300.00"
21,2025/11/11,13:26:07,156,22,1,"0.094",1,959,"144.94","121.57","1.1","-11.68","+22.36",33388,"6301.05","0.00","125.00",800,"1.2","100.00","300.00"
