"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,10:37:01,1215,1,5,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"120.52","0.00","125.00",800,"1.2","105.00","300.00"
1,2025/11/11,10:37:03,1219,2,4,"0.085",6,859,"54.79","61.47","1.1","+13.02","+229.04",33388,"509.26","0.00","125.00",800,"1.2","105.00","300.00"
2,2025/11/11,10:37:06,1228,3,6,"0.087",1,942,"117.56","117.56","1.0","+9.34","+187.97",33388,"857.01","0.00","125.00",800,"1.2","105.00","300.00"
3,2025/11/11,10:37:08,1229,4,1,"0.093",1,876,"112.89","134.59","1.1","+7.67","+84.13",33388,"841.48","0.00","125.00",800,"1.2","105.00","300.00"
4,2025/11/11,10:37:11,1237,5,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1336.81","0.00","125.00",800,"1.2","105.00","300.00"
5,2025/11/11,10:37:13,1244,6,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1613.70","0.00","125.00",800,"1.2","105.00","300.00"
6,2025/11/11,10:37:16,1253,7,9,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1995.77","0.00","125.00",800,"1.2","105.00","300.00"
7,2025/11/11,10:37:19,1261,8,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2293.42","0.00","125.00",800,"1.2","105.00","300.00"
8,2025/11/11,10:37:21,1268,9,7,"0.086",6,997,"64.81","77.83","1.2","+44.73","+51.75",33388,"2606.58","0.00","125.00",800,"1.2","105.00","300.00"
9,2025/11/11,10:37:24,1270,10,2,"0.085",6,996,"63.47","79.83","1.2","+47.74","-59.43",33388,"2602.77","0.00","125.00",800,"1.2","105.00","300.00"
10,2025/11/11,10:37:27,1284,11,8,"0.104",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"3216.59","0.00","125.00",800,"1.2","105.00","300.00"
11,2025/11/11,10:37:29,1291,12,7,"0.101",6,997,"91.19","102.54","1.1","+60.09","+214.68",33388,"3707.55","0.00","125.00",800,"1.2","105.00","300.00"
12,2025/11/11,10:37:32,1298,13,7,"0.085",6,990,"87.18","88.51","1.0","+63.43","-95.48",33388,"3703.81","0.00","125.00",800,"1.2","105.00","300.00"
13,2025/11/11,10:37:34,1299,14,1,"0.085",6,936,"90.85","94.86","1.0","+63.10","-130.21",33388,"3708.12","0.00","125.00",800,"1.2","105.00","300.00"
14,2025/11/11,10:37:37,1313,15,7,"0.085",1,1000,"102.54","105.88","1.0","+34.38","+65.77",33388,"4415.57","0.00","125.00",800,"1.2","105.00","300.00"
15,2025/11/11,10:37:39,1314,16,1,"0.085",6,992,"99.53","87.85","1.1","+32.05","-6.00",33388,"4397.40","0.00","125.00",800,"1.2","105.00","300.00"
16,2025/11/11,10:37:42,1328,17,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"4895.73","0.00","125.00",800,"1.2","105.00","300.00"
17,2025/11/11,10:37:44,1336,18,8,"0.085",6,1000,"68.48","76.83","1.1","-9.68","+155.58",33388,"5368.95","0.00","125.00",800,"1.2","105.00","300.00"
18,2025/11/11,10:37:47,1339,19,3,"0.086",6,996,"67.81","85.51","1.2","-12.68","+27.04",33388,"5358.99","0.00","125.00",800,"1.2","105.00","300.00"
19,2025/11/11,10:37:49,1351,20,8,"0.086",6,999,"78.50","75.83","1.0","-37.72","+274.78",33388,"6104.16","0.00","125.00",800,"1.2","105.00","300.00"
20,2025/11/11,10:37:52,1359,21,8,"0.085",6,995,"82.50","87.18","1.0","-16.36","-30.04",33388,"6121.93","0.00","125.00",800,"1.2","105.00","300.00"
21,2025/11/11,10:37:55,1363,22,4,"0.086",6,971,"78.50","67.48","1.1","-11.68","-195.31",33388,"6116.28","0.00","125.00",800,"1.2","105.00","300.00"
22,2025/11/11,10:37:58,1376,23,8,"0.086",6,925,"49.12","56.46","1.1","+1.00","+71.78",33388,"6896.52","0.00","125.00",800,"1.2","105.00","300.00"
23,2025/11/11,10:38:00,1383,24,7,"0.086",6,1000,"73.49","93.86","1.2","-11.01","+155.25",33388,"7259.64","0.00","125.00",800,"1.2","105.00","300.00"
24,2025/11/11,10:38:03,1390,25,6,"0.086",1,999,"106.54","113.89","1.0","-10.68","-127.87",33388,"7247.44","0.00","125.00",800,"1.2","105.00","300.00"
25,2025/11/11,10:38:05,1391,26,1,"0.093",6,995,"75.16","69.15","1.0","-18.36","-215.68",33388,"7232.36","0.00","125.00",800,"1.2","105.00","300.00"
26,2025/11/11,10:38:08,1405,27,7,"0.085",6,959,"96.19","78.83","1.2","+39.73","+252.74",33388,"8222.89","0.00","125.00",800,"1.2","105.00","300.00"
27,2025/11/11,10:38:10,1408,28,3,"0.085",1,1000,"94.52","116.56","1.2","+40.39","+138.56",33388,"8232.29","0.00","125.00",800,"1.2","105.00","300.00"
28,2025/11/11,10:38:13,1414,29,6,"0.086",6,999,"55.79","64.14","1.1","+38.39","+101.83",33388,"8618.65","0.00","125.00",800,"1.2","105.00","300.00"
29,2025/11/11,10:38:15,1420,30,5,"0.086",9,977,"98.86","106.54","1.0","+1.66","+211.34",33388,"8995.38","0.00","125.00",800,"1.2","105.00","300.00"
30,2025/11/11,10:38:18,1424,31,2,"0.085",1,983,"88.51","114.56","1.2","+0.66","+14.02",33388,"8983.91","0.00","125.00",800,"1.2","105.00","300.00"
31,2025/11/11,10:38:20,1426,32,2,"0.086",1,874,"123.24","101.87","1.2","-57.76","+149.24",33388,"9408.96","0.00","125.00",800,"1.2","105.00","300.00"
32,2025/11/11,10:38:23,1427,33,1,"0.087",1,958,"121.57","114.22","1.0","-55.75","-149.24",33388,"9372.76","0.00","125.00",800,"1.2","105.00","300.00"
33,2025/11/11,10:38:25,1434,34,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"10062.42","0.00","125.00",800,"1.2","105.00","300.00"
34,2025/11/11,10:38:28,1440,35,6,"0.085",4,344,"23.74","12.72","1.8","-22.70","+64.10",33388,"10390.56","0.00","125.00",800,"1.2","105.00","300.00"
35,2025/11/11,10:38:30,1448,36,7,"0.085",6,998,"79.50","97.86","1.2","-94.48","+129.54",33388,"10797.61","0.00","125.00",800,"1.2","105.00","300.00"
36,2025/11/11,10:38:33,1454,37,6,"0.086",4,557,"121.57","61.80","1.9","-72.11","-154.92",33388,"10783.05","0.00","125.00",800,"1.2","105.00","300.00"
