"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,10:14:45,160,1,4,"0.086",6,995,"79.17","62.81","1.2","+73.11","+118.86",33388,"216.80","0.00","125.00",800,"1.2","105.00","300.00"
1,2025/11/11,10:14:48,166,2,6,"0.085",6,996,"103.87","88.85","1.1","+84.13","+266.77",33388,"631.76","0.00","125.00",800,"1.2","105.00","300.00"
2,2025/11/11,10:14:50,168,3,1,"0.085",1,896,"112.55","143.94","1.2","+85.80","+178.95",33388,"651.41","0.00","125.00",800,"1.2","105.00","300.00"
3,2025/11/11,10:14:53,171,4,3,"0.085",3,667,"83.17","66.48","1.2","+111.84","-185.30",33388,"655.34","0.00","125.00",800,"1.2","105.00","300.00"
4,2025/11/11,10:14:55,183,5,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1312.91","0.00","125.00",800,"1.2","105.00","300.00"
5,2025/11/11,10:14:58,190,6,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1622.43","0.00","125.00",800,"1.2","105.00","300.00"
6,2025/11/11,10:15:00,198,7,8,"0.087",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1941.96","0.00","125.00",800,"1.2","105.00","300.00"
7,2025/11/11,10:15:03,205,8,7,"0.085",1,998,"121.90","126.58","1.0","+79.79","+166.94",33388,"2389.01","0.00","125.00",800,"1.2","105.00","300.00"
8,2025/11/11,10:15:05,213,9,8,"0.086",1,996,"106.54","114.56","1.0","+38.73","+143.23",33388,"2681.43","0.00","125.00",800,"1.2","105.00","300.00"
9,2025/11/11,10:15:08,220,10,7,"0.086",5,810,"69.15","92.52","1.3","-7.67","+252.41",33388,"3072.03","0.00","125.00",800,"1.2","105.00","300.00"
10,2025/11/11,10:15:10,221,11,1,"0.085",1,1000,"110.88","109.55","1.0","-27.04","+179.96",33388,"3065.51","0.00","125.00",800,"1.2","105.00","300.00"
11,2025/11/11,10:15:13,221,11,1,"0.085",0,1000,"110.88","109.55","1.0","-27.04","+179.96",33388,"3065.51","0.00","125.00",800,"1.2","105.00","300.00"
12,2025/11/11,10:15:15,221,11,1,"0.085",0,1000,"110.88","109.55","1.0","-27.04","+179.96",33388,"3065.51","0.00","125.00",800,"1.2","105.00","300.00"
13,2025/11/11,10:15:18,221,11,1,"0.085",0,1000,"110.88","109.55","1.0","-27.04","+179.96",33388,"3065.51","0.00","125.00",800,"1.2","105.00","300.00"
14,2025/11/11,10:15:20,221,11,1,"0.085",0,1000,"110.88","109.55","1.0","-27.04","+179.96",33388,"3065.51","0.00","125.00",800,"1.2","105.00","300.00"
