"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,15:39:47,514,1,5,"0.086",1,984,"95.86","116.89","1.2","-56.09","+159.26",33388,"280.90","0.00","125.00",800,"1.2","100.00","300.00"
1,2025/11/11,15:39:49,517,2,3,"0.085",6,998,"88.85","92.52","1.0","-56.42","-128.87",33388,"250.47","0.00","125.00",800,"1.2","100.00","300.00"
2,2025/11/11,15:39:52,528,3,7,"0.086",1,991,"114.56","130.58","1.1","-43.07","+162.59",33388,"1008.54","0.00","125.00",800,"1.2","100.00","300.00"
3,2025/11/11,15:39:54,532,4,4,"0.086",1,916,"106.88","136.93","1.2","-38.39","-13.35",33388,"993.17","0.00","125.00",800,"1.2","100.00","300.00"
4,2025/11/11,15:39:57,540,5,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1473.15","0.00","125.00",800,"1.2","100.00","300.00"
5,2025/11/11,15:39:59,547,6,7,"0.082",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1755.23","0.00","125.00",800,"1.2","100.00","300.00"
6,2025/11/11,15:40:02,555,7,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2074.04","0.00","125.00",800,"1.2","100.00","300.00"
7,2025/11/11,15:40:04,562,8,7,"0.087",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2354.45","0.00","125.00",800,"1.2","100.00","300.00"
8,2025/11/11,15:40:07,570,9,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2670.88","0.00","125.00",800,"1.2","100.00","300.00"
9,2025/11/11,15:40:09,577,10,7,"0.104",1,811,"126.91","152.62","1.2","-83.80","+137.22",33388,"3088.20","0.00","125.00",800,"1.2","100.00","300.00"
10,2025/11/11,15:40:12,578,11,1,"0.094",1,982,"117.90","127.58","1.0","-82.46","+54.42",33388,"3058.86","0.00","125.00",800,"1.2","100.00","300.00"
11,2025/11/11,15:40:14,585,12,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"3546.99","0.00","125.00",800,"1.2","100.00","300.00"
12,2025/11/11,15:40:17,592,13,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"3862.00","0.00","125.00",800,"1.2","100.00","300.00"
13,2025/11/11,15:40:19,593,14,1,"0.086",9,996,"100.87","84.17","1.1","-19.36","+232.71",33388,"4135.85","0.00","125.00",800,"1.2","100.00","300.00"
14,2025/11/11,15:40:22,605,15,5,"0.086",1,979,"100.53","87.85","1.1","-28.71","+101.16",33388,"4486.89","0.00","125.00",800,"1.2","100.00","300.00"
15,2025/11/11,15:40:24,608,16,3,"0.086",3,440,"66.81","43.44","1.5","-11.68","-102.83",33388,"4489.95","0.00","125.00",800,"1.2","100.00","300.00"
16,2025/11/11,15:40:27,619,17,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"5057.81","0.00","125.00",800,"1.2","100.00","300.00"
17,2025/11/11,15:40:29,625,18,6,"0.086",4,653,"59.47","85.51","1.4","-84.47","+259.42",33388,"5581.91","0.00","125.00",800,"1.2","100.00","300.00"
18,2025/11/11,15:40:32,631,19,5,"0.086",6,992,"82.84","80.50","1.0","-71.11","-38.39",33388,"5535.87","0.00","125.00",800,"1.2","100.00","300.00"
19,2025/11/11,15:40:34,638,20,5,"0.087",1,960,"112.55","105.88","1.0","-87.81","+75.12",33388,"5957.52","0.00","125.00",800,"1.2","100.00","300.00"
20,2025/11/11,15:40:37,642,21,4,"0.086",5,867,"121.90","92.85","1.3","-70.44","-187.97",33388,"5938.80","0.00","125.00",800,"1.2","100.00","300.00"
21,2025/11/11,15:40:39,653,22,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"6571.74","0.00","125.00",800,"1.2","100.00","300.00"
22,2025/11/11,15:40:42,661,23,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"6891.52","0.00","125.00",800,"1.2","100.00","300.00"
23,2025/11/11,15:40:44,668,24,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"7169.53","0.00","125.00",800,"1.2","100.00","300.00"
24,2025/11/11,15:40:47,675,25,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"7478.53","0.00","125.00",800,"1.2","100.00","300.00"
25,2025/11/11,15:40:49,683,26,8,"0.104",4,332,"26.41","28.75","1.0","+18.36","+212.01",33388,"8011.52","0.00","125.00",800,"1.2","100.00","300.00"
26,2025/11/11,15:40:52,685,27,2,"0.086",1,992,"79.83","101.54","1.2","+5.34","+173.95",33388,"8052.89","0.00","125.00",800,"1.2","100.00","300.00"
27,2025/11/11,15:40:54,686,28,1,"0.094",1,994,"98.20","105.21","1.0","+17.36","-102.50",33388,"8027.54","0.00","125.00",800,"1.2","100.00","300.00"
28,2025/11/11,15:40:57,687,29,1,"0.087",1,878,"108.88","89.18","1.2","-40.06","+35.39",33388,"8465.75","0.00","125.00",800,"1.2","100.00","300.00"
29,2025/11/11,15:40:59,694,30,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"8971.01","0.00","125.00",800,"1.2","100.00","300.00"
30,2025/11/11,15:41:02,701,31,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9278.46","0.00","125.00",800,"1.2","100.00","300.00"
31,2025/11/11,15:41:04,708,32,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9585.29","0.00","125.00",800,"1.2","100.00","300.00"
32,2025/11/11,15:41:07,715,33,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9895.84","0.00","125.00",800,"1.2","100.00","300.00"
33,2025/11/11,15:41:09,719,34,4,"0.087",1,968,"112.89","112.89","1.0","-10.01","+104.83",33388,"10163.43","0.00","125.00",800,"1.2","100.00","300.00"
34,2025/11/11,15:41:12,720,35,1,"0.093",1,994,"90.18","105.54","1.1","-1.66","-93.48",33388,"10140.44","0.00","125.00",800,"1.2","100.00","300.00"
35,2025/11/11,15:41:14,721,36,1,"0.094",4,665,"84.84","56.13","1.5","-3.33","-82.46",33388,"10451.52","0.00","125.00",800,"1.2","100.00","300.00"
36,2025/11/11,15:41:17,734,37,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"11098.84","0.00","125.00",800,"1.2","100.00","300.00"
37,2025/11/11,15:41:19,741,38,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"11378.79","0.00","125.00",800,"1.2","100.00","300.00"
38,2025/11/11,15:41:22,748,39,7,"0.104",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"11687.16","0.00","125.00",800,"1.2","100.00","300.00"
39,2025/11/11,15:41:24,750,40,2,"0.086",1,999,"86.51","106.54","1.2","+2.00","+126.20",33388,"11918.61","0.00","125.00",800,"1.2","100.00","300.00"
40,2025/11/11,15:41:27,757,41,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"12282.71","0.00","125.00",800,"1.2","100.00","300.00"
41,2025/11/11,15:41:30,764,42,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"12598.58","0.00","125.00",800,"1.2","100.00","300.00"
42,2025/11/11,15:41:32,772,43,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"12918.57","0.00","125.00",800,"1.2","100.00","300.00"
43,2025/11/11,15:41:35,779,44,7,"0.101",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"13199.13","0.00","125.00",800,"1.2","100.00","300.00"
44,2025/11/11,15:41:37,786,45,7,"0.087",1,925,"110.55","100.87","1.0","+2.00","+130.88",33388,"13611.80","0.00","125.00",800,"1.2","100.00","300.00"
45,2025/11/11,15:41:40,790,46,4,"0.086",3,982,"115.22","121.57","1.0","-1.66","-45.40",33388,"13619.92","0.00","125.00",800,"1.2","100.00","300.00"
46,2025/11/11,15:41:42,800,47,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"14091.74","0.00","125.00",800,"1.2","100.00","300.00"
47,2025/11/11,15:41:45,807,48,7,"0.086",1,994,"114.89","101.20","1.1","+32.38","-4.34",33388,"14393.52","0.00","125.00",800,"1.2","100.00","300.00"
48,2025/11/11,15:41:47,814,49,7,"0.081",5,990,"100.20","46.78","2.1","+21.70","+285.13",33388,"14972.23","0.00","125.00",800,"1.2","100.00","300.00"
49,2025/11/11,15:41:50,817,50,3,"0.086",1,935,"129.92","126.91","1.0","+22.36","+177.95",33388,"15014.08","0.00","125.00",800,"1.2","100.00","300.00"
50,2025/11/11,15:41:52,825,51,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"15328.66","0.00","125.00",800,"1.2","100.00","300.00"
51,2025/11/11,15:41:55,832,52,7,"0.086",9,993,"100.87","97.86","1.0","+42.40","+239.72",33388,"15846.03","0.00","125.00",800,"1.2","100.00","300.00"
52,2025/11/11,15:41:57,834,53,2,"0.087",1,984,"104.54","102.20","1.0","+44.73","+162.59",33388,"15848.05","0.00","125.00",800,"1.2","100.00","300.00"
