"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,11:10:12,3094,1,5,"0.085",4,331,"40.09","58.46","1.4","-149.24","+88.47",33388,"201.32","0.00","125.00",800,"1.2","120.00","300.00"
1,2025/11/11,11:10:15,3103,2,9,"0.084",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"419.24","0.00","125.00",800,"1.2","120.00","300.00"
2,2025/11/11,11:10:18,3112,3,9,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"723.89","0.00","125.00",800,"1.2","120.00","300.00"
3,2025/11/11,11:10:21,3120,4,8,"0.085",6,1000,"80.49","92.85","1.1","-112.18","+79.46",33388,"1116.65","0.00","125.00",800,"1.2","120.00","300.00"
4,2025/11/11,11:10:23,3125,5,5,"0.086",6,999,"76.82","98.86","1.2","+10.68","+253.74",33388,"1488.06","0.00","125.00",800,"1.2","120.00","300.00"
5,2025/11/11,11:10:26,3134,6,7,"0.086",6,972,"115.88","117.22","1.0","-87.47","+257.75",33388,"1875.56","0.00","125.00",800,"1.2","120.00","300.00"
6,2025/11/11,11:10:28,3140,7,6,"0.087",1,974,"130.57","131.24","1.0","-79.12","+5.34",33388,"1887.02","0.00","125.00",800,"1.2","120.00","300.00"
7,2025/11/11,11:10:31,3148,8,8,"0.086",6,894,"40.76","40.43","1.0","-98.16","+5.34",33388,"2238.46","0.00","125.00",800,"1.2","120.00","300.00"
8,2025/11/11,11:10:33,3155,9,7,"0.085",6,962,"108.54","117.22","1.0","-94.48","+101.16",33388,"2608.42","0.00","125.00",800,"1.2","120.00","300.00"
9,2025/11/11,11:10:36,3160,10,5,"0.087",6,921,"91.51","88.17","1.0","-39.06","+250.07",33388,"2990.64","0.00","125.00",800,"1.2","120.00","300.00"
10,2025/11/11,11:10:38,3166,11,4,"0.086",6,973,"95.85","90.18","1.0","-52.75","-20.03",33388,"2982.69","0.00","125.00",800,"1.2","120.00","300.00"
11,2025/11/11,11:10:41,3177,12,8,"0.085",9,1000,"129.57","120.22","1.0","-54.08","+204.66",33388,"3639.19","0.00","125.00",800,"1.2","120.00","300.00"
12,2025/11/11,11:10:43,3178,13,1,"0.086",1,997,"140.26","112.55","1.2","-51.08","+163.60",33388,"3637.93","0.00","125.00",800,"1.2","120.00","300.00"
13,2025/11/11,11:10:46,3179,14,1,"0.086",6,961,"83.83","90.51","1.0","-69.44","-160.59",33388,"3613.10","0.00","125.00",800,"1.2","120.00","300.00"
14,2025/11/11,11:10:48,3188,15,3,"0.086",1,998,"130.57","101.19","1.2","-8.01","+195.98",33388,"4352.55","0.00","125.00",800,"1.2","120.00","300.00"
15,2025/11/11,11:10:51,3189,16,1,"0.087",5,920,"113.55","84.17","1.3","-2.00","-53.75",33388,"4315.92","0.00","125.00",800,"1.2","120.00","300.00"
16,2025/11/11,11:10:54,3203,17,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4941.40","0.00","125.00",800,"1.2","120.00","300.00"
17,2025/11/11,11:10:56,3211,18,8,"0.085",6,924,"54.12","67.14","1.2","-93.82","+169.94",33388,"5406.96","0.00","125.00",800,"1.2","120.00","300.00"
18,2025/11/11,11:10:59,3219,19,8,"0.086",8,906,"129.24","112.88","1.1","-124.87","+164.60",33388,"5701.21","0.00","125.00",800,"1.2","120.00","300.00"
19,2025/11/11,11:11:01,3225,20,6,"0.086",8,996,"123.23","120.89","1.0","-136.22","-105.17",33388,"5669.12","0.00","125.00",800,"1.2","120.00","300.00"
20,2025/11/11,11:11:04,3229,21,3,"0.086",1,916,"116.89","126.57","1.0","-101.16","+173.95",33388,"6132.51","0.00","125.00",800,"1.2","120.00","300.00"
21,2025/11/11,11:11:06,3237,22,8,"0.086",6,999,"101.53","102.20","1.0","-54.75","+68.77",33388,"6514.83","0.00","125.00",800,"1.2","120.00","300.00"
22,2025/11/11,11:11:09,3243,23,6,"0.086",6,928,"90.51","79.83","1.1","-54.42","-167.94",33388,"6513.46","0.00","125.00",800,"1.2","120.00","300.00"
23,2025/11/11,11:11:11,3250,24,6,"0.081",1,983,"133.58","110.88","1.2","-66.44","+150.24",33388,"7132.48","0.00","125.00",800,"1.2","120.00","300.00"
24,2025/11/11,11:11:14,3258,25,8,"0.086",1,814,"154.95","126.57","1.2","-0.66","+198.65",33388,"7550.42","0.00","125.00",800,"1.2","120.00","300.00"
25,2025/11/11,11:11:16,3263,26,5,"0.086",6,868,"111.54","97.19","1.1","-8.01","-21.03",33388,"7528.55","0.00","125.00",800,"1.2","120.00","300.00"
26,2025/11/11,11:11:19,3272,27,7,"0.081",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7929.69","0.00","125.00",800,"1.2","120.00","300.00"
27,2025/11/11,11:11:21,3276,28,4,"0.086",6,820,"30.41","27.41","1.1","-79.79","+116.85",33388,"8231.55","0.00","125.00",800,"1.2","120.00","300.00"
28,2025/11/11,11:11:24,3287,29,8,"0.086",8,983,"153.61","130.91","1.1","-126.54","+71.78",33388,"8619.53","0.00","125.00",800,"1.2","120.00","300.00"
29,2025/11/11,11:11:26,3289,30,2,"0.086",8,993,"124.90","105.87","1.1","-126.20","-1.00",33388,"8624.36","0.00","125.00",800,"1.2","120.00","300.00"
30,2025/11/11,11:11:29,3301,31,7,"0.090",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"9124.08","0.00","125.00",800,"1.2","120.00","300.00"
31,2025/11/11,11:11:31,3308,32,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"9424.39","0.00","125.00",800,"1.2","120.00","300.00"
32,2025/11/11,11:11:34,3315,33,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"9726.73","0.00","125.00",800,"1.2","120.00","300.00"
33,2025/11/11,11:11:36,3322,34,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"10029.61","0.00","125.00",800,"1.2","120.00","300.00"
34,2025/11/11,11:11:39,3329,35,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"10336.32","0.00","125.00",800,"1.2","120.00","300.00"
35,2025/11/11,11:11:41,3336,36,7,"0.086",6,921,"56.79","69.14","1.2","-63.10","+96.49",33388,"10735.44","0.00","125.00",800,"1.2","120.00","300.00"
36,2025/11/11,11:11:44,3344,37,8,"0.086",1,931,"98.86","127.24","1.2","-69.78","+140.89",33388,"11092.65","0.00","125.00",800,"1.2","120.00","300.00"
37,2025/11/11,11:11:46,3351,38,7,"0.086",6,997,"107.20","114.55","1.0","-88.81","+200.32",33388,"11427.97","0.00","125.00",800,"1.2","120.00","300.00"
38,2025/11/11,11:11:49,3356,39,5,"0.086",6,924,"100.19","114.21","1.1","-94.15","-54.08",33388,"11411.22","0.00","125.00",800,"1.2","120.00","300.00"
39,2025/11/11,11:11:52,3364,40,6,"0.086",6,994,"85.83","82.16","1.0","-70.78","-20.03",33388,"11759.79","0.00","125.00",800,"1.2","120.00","300.00"
40,2025/11/11,11:11:54,3373,41,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"12133.12","0.00","125.00",800,"1.2","120.00","300.00"
41,2025/11/11,11:11:57,3380,42,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"12434.86","0.00","125.00",800,"1.2","120.00","300.00"
42,2025/11/11,11:11:59,3387,43,7,"0.085",4,405,"36.09","23.40","1.5","-102.83","+68.44",33388,"12808.39","0.00","125.00",800,"1.2","120.00","300.00"
43,2025/11/11,11:12:02,3389,44,2,"0.085",8,999,"121.23","116.55","1.0","-118.86","-15.35",33388,"12832.30","0.00","125.00",800,"1.2","120.00","300.00"
44,2025/11/11,11:12:04,3402,45,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"13361.15","0.00","125.00",800,"1.2","120.00","300.00"
45,2025/11/11,11:12:07,3409,46,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"13634.34","0.00","125.00",800,"1.2","120.00","300.00"
46,2025/11/11,11:12:09,3416,47,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"13935.54","0.00","125.00",800,"1.2","120.00","300.00"
47,2025/11/11,11:12:12,3423,48,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"14238.10","0.00","125.00",800,"1.2","120.00","300.00"
48,2025/11/11,11:12:14,3430,49,7,"0.104",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"14542.04","0.00","125.00",800,"1.2","120.00","300.00"
49,2025/11/11,11:12:17,3437,50,7,"0.081",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"14842.31","0.00","125.00",800,"1.2","120.00","300.00"
50,2025/11/11,11:12:19,3444,51,7,"0.086",6,999,"67.14","73.48","1.0","-33.05","+117.85",33388,"15264.33","0.00","125.00",800,"1.2","120.00","300.00"
51,2025/11/11,11:12:22,3447,52,3,"0.086",6,990,"56.79","65.80","1.1","-39.39","-34.38",33388,"15257.36","0.00","125.00",800,"1.2","120.00","300.00"
52,2025/11/11,11:12:24,3454,53,3,"0.086",1,993,"137.59","119.56","1.1","-70.44","+130.21",33388,"15699.58","0.00","125.00",800,"1.2","120.00","300.00"
53,2025/11/11,11:12:27,3462,54,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"16071.94","0.00","125.00",800,"1.2","120.00","300.00"
54,2025/11/11,11:12:29,3469,55,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"16348.90","0.00","125.00",800,"1.2","120.00","300.00"
55,2025/11/11,11:12:32,3476,56,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"16650.46","0.00","125.00",800,"1.2","120.00","300.00"
56,2025/11/11,11:12:34,3483,57,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"16956.98","0.00","125.00",800,"1.2","120.00","300.00"
57,2025/11/11,11:12:37,3488,58,5,"0.086",6,886,"50.78","57.46","1.1","-36.39","-31.38",33388,"17121.51","0.00","125.00",800,"1.2","120.00","300.00"
58,2025/11/11,11:12:39,3492,59,1,"0.086",4,583,"58.46","69.14","1.1","-37.06","-184.63",33388,"17128.36","0.00","125.00",800,"1.2","120.00","300.00"
59,2025/11/11,11:12:42,3499,60,1,"0.101",1,981,"119.22","125.23","1.0","-78.12","+140.22",33388,"17754.50","0.00","125.00",800,"1.2","120.00","300.00"
60,2025/11/11,11:12:44,3507,61,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"18177.00","0.00","125.00",800,"1.2","120.00","300.00"
61,2025/11/11,11:12:47,3514,62,7,"0.081",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"18453.97","0.00","125.00",800,"1.2","120.00","300.00"
62,2025/11/11,11:12:49,3520,63,6,"0.086",6,973,"76.82","68.14","1.1","-51.08","+124.53",33388,"18839.46","0.00","125.00",800,"1.2","120.00","300.00"
63,2025/11/11,11:12:52,3528,64,7,"0.101",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"19054.05","0.00","125.00",800,"1.2","120.00","300.00"
64,2025/11/11,11:12:54,3535,65,7,"0.084",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"19354.36","0.00","125.00",800,"1.2","120.00","300.00"
65,2025/11/11,11:12:57,3538,66,3,"0.086",1,998,"105.87","130.57","1.2","-84.47","+103.83",33388,"19605.65","0.00","125.00",800,"1.2","120.00","300.00"
66,2025/11/11,11:12:59,3546,67,8,"0.087",4,375,"84.17","69.14","1.2","-115.18","+253.74",33388,"20234.77","0.00","125.00",800,"1.2","120.00","300.00"
67,2025/11/11,11:13:02,3551,68,5,"0.086",8,986,"110.21","131.58","1.1","-134.21","+22.03",33388,"20202.48","0.00","125.00",800,"1.2","120.00","300.00"
68,2025/11/11,11:13:04,3560,69,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"20565.09","0.00","125.00",800,"1.2","120.00","300.00"
69,2025/11/11,11:13:07,3568,70,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"20881.80","0.00","125.00",800,"1.2","120.00","300.00"
70,2025/11/11,11:13:09,3575,71,7,"0.081",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"21154.17","0.00","125.00",800,"1.2","120.00","300.00"
71,2025/11/11,11:13:12,3582,72,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"21457.17","0.00","125.00",800,"1.2","120.00","300.00"
72,2025/11/11,11:13:14,3589,73,7,"0.084",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"21766.35","0.00","125.00",800,"1.2","120.00","300.00"
73,2025/11/11,11:13:17,3596,74,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"22069.36","0.00","125.00",800,"1.2","120.00","300.00"
74,2025/11/11,11:13:19,3603,75,7,"0.086",1,972,"121.56","96.85","1.2","-65.77","+68.11",33388,"22438.64","0.00","125.00",800,"1.2","120.00","300.00"
75,2025/11/11,11:13:22,3610,76,7,"0.086",6,995,"67.47","77.49","1.1","-47.07","+31.38",33388,"22689.80","0.00","125.00",800,"1.2","120.00","300.00"
76,2025/11/11,11:13:24,3615,77,5,"0.086",9,994,"95.52","120.22","1.2","-74.78","+257.42",33388,"23144.07","0.00","125.00",800,"1.2","120.00","300.00"
77,2025/11/11,11:13:27,3618,78,1,"0.085",1,990,"111.54","122.56","1.0","-84.80","+117.85",33388,"23149.98","0.00","125.00",800,"1.2","120.00","300.00"
78,2025/11/11,11:13:29,3625,79,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"23557.40","0.00","125.00",800,"1.2","120.00","300.00"
79,2025/11/11,11:13:32,3626,80,1,"0.085",4,367,"40.09","35.75","1.1","-41.06","+158.59",33388,"23792.65","0.00","125.00",800,"1.2","120.00","300.00"
80,2025/11/11,11:13:34,3639,81,7,"0.086",6,826,"30.41","39.09","1.2","-66.44","-37.39",33388,"24137.58","0.00","125.00",800,"1.2","120.00","300.00"
81,2025/11/11,11:13:37,3643,82,4,"0.086",4,725,"37.09","32.75","1.1","-53.08","-182.63",33388,"24148.49","0.00","125.00",800,"1.2","120.00","300.00"
82,2025/11/11,11:13:39,3654,83,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"24761.94","0.00","125.00",800,"1.2","120.00","300.00"
83,2025/11/11,11:13:42,3661,84,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25061.37","0.00","125.00",800,"1.2","120.00","300.00"
84,2025/11/11,11:13:44,3668,85,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25364.31","0.00","125.00",800,"1.2","120.00","300.00"
85,2025/11/11,11:13:47,3675,86,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25669.35","0.00","125.00",800,"1.2","120.00","300.00"
86,2025/11/11,11:13:50,3683,87,8,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25978.97","0.00","125.00",800,"1.2","120.00","300.00"
87,2025/11/11,11:13:52,3691,88,8,"0.085",6,997,"100.86","104.53","1.0","-56.42","+72.11",33388,"26369.83","0.00","125.00",800,"1.2","120.00","300.00"
88,2025/11/11,11:13:55,3698,89,7,"0.085",6,977,"76.49","78.16","1.0","-35.05","+143.90",33388,"26715.96","0.00","125.00",800,"1.2","120.00","300.00"
89,2025/11/11,11:13:57,3703,90,5,"0.086",6,809,"62.80","52.45","1.1","-41.73","-91.48",33388,"26702.78","0.00","125.00",800,"1.2","120.00","300.00"
90,2025/11/11,11:14:00,3712,91,7,"0.085",6,995,"109.21","107.20","1.0","-47.41","+258.08",33388,"27434.77","0.00","125.00",800,"1.2","120.00","300.00"
91,2025/11/11,11:14:02,3714,92,2,"0.086",1,890,"133.25","113.21","1.1","-40.06","+148.91",33388,"27433.48","0.00","125.00",800,"1.2","120.00","300.00"
92,2025/11/11,11:14:05,3721,93,7,"0.086",6,882,"61.80","59.79","1.0","-6.67","+6.00",33388,"27765.77","0.00","125.00",800,"1.2","120.00","300.00"
93,2025/11/11,11:14:07,3729,94,7,"0.085",6,1000,"84.83","89.17","1.0","-50.41","+13.68",33388,"28087.03","0.00","125.00",800,"1.2","120.00","300.00"
94,2025/11/11,11:14:10,3736,95,7,"0.085",6,1000,"90.18","111.21","1.2","-41.06","+131.21",33388,"28507.82","0.00","125.00",800,"1.2","120.00","300.00"
95,2025/11/11,11:14:12,3743,96,7,"0.089",6,980,"102.20","84.17","1.2","-17.02","+194.65",33388,"28876.30","0.00","125.00",800,"1.2","120.00","300.00"
