"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,13:41:45,1058,1,3,"0.090",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"110.73","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,13:41:47,1065,2,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"416.23","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,13:41:50,1069,3,4,"0.085",6,996,"64.47","79.83","1.2","+72.45","+121.53",33388,"815.63","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,13:41:52,1076,4,6,"0.086",1,908,"110.21","86.50","1.2","+35.39","+166.27",33388,"1135.87","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,13:41:55,1077,5,1,"0.089",1,997,"115.88","131.24","1.1","+32.72","+51.08",33388,"1110.57","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,13:41:57,1085,6,8,"0.086",1,983,"82.83","100.53","1.2","+26.71","-121.53",33388,"1510.95","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,13:42:00,1089,7,4,"0.085",1,995,"103.20","94.52","1.0","-68.44","+192.31",33388,"1985.12","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,13:42:02,1096,8,7,"0.085",1,985,"110.21","100.86","1.0","-80.46","-199.32",33388,"2004.37","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,13:42:05,1103,9,7,"0.085",8,996,"82.50","103.86","1.2","-110.18","+193.65",33388,"2700.47","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,13:42:08,1106,10,3,"0.092",1,944,"102.20","112.55","1.1","+42.40","+127.54",33388,"2959.77","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,13:42:11,1111,11,5,"0.086",3,766,"139.92","67.14","2.0","+9.68","-167.94",33388,"2972.59","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,13:42:13,1118,12,7,"0.085",1,921,"121.56","115.22","1.0","-31.05","+197.99",33388,"3615.12","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,13:42:16,1125,13,7,"0.085",3,692,"91.51","97.85","1.0","-49.74","-101.83",33388,"3607.37","0.00","50.00",700,"1.2","100.00","300.00"
13,2025/11/12,13:42:18,1130,14,5,"0.085",5,992,"132.24","90.84","1.4","-35.39","+272.11",33388,"4295.43","0.00","50.00",700,"1.2","100.00","300.00"
14,2025/11/12,13:42:21,1134,15,4,"0.086",1,999,"123.56","105.53","1.1","-39.39","+125.53",33388,"4305.33","0.00","50.00",700,"1.2","100.00","300.00"
15,2025/11/12,13:42:23,1135,16,1,"0.093",1,981,"106.54","112.21","1.0","-52.08","-80.79",33388,"4287.18","0.00","50.00",700,"1.2","100.00","300.00"
16,2025/11/12,13:42:26,1141,17,6,"0.086",4,393,"38.76","20.73","1.8","-68.44","-157.92",33388,"4710.20","0.00","50.00",700,"1.2","100.00","300.00"
17,2025/11/12,13:42:28,1148,18,6,"0.082",6,851,"46.77","40.76","1.1","-74.78","+154.92",33388,"5327.36","0.00","50.00",700,"1.2","100.00","300.00"
18,2025/11/12,13:42:31,1152,19,3,"0.085",4,409,"34.08","35.09","1.0","-73.78","-32.72",33388,"5325.00","0.00","50.00",700,"1.2","100.00","300.00"
19,2025/11/12,13:42:33,1163,20,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5823.93","0.00","50.00",700,"1.2","100.00","300.00"
20,2025/11/12,13:42:36,1171,21,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6144.09","0.00","50.00",700,"1.2","100.00","300.00"
21,2025/11/12,13:42:38,1178,22,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6424.75","0.00","50.00",700,"1.2","100.00","300.00"
22,2025/11/12,13:42:41,1184,23,6,"0.086",8,998,"125.23","114.21","1.0","-117.85","+77.46",33388,"6741.49","0.00","50.00",700,"1.2","100.00","300.00"
23,2025/11/12,13:42:43,1187,24,1,"0.085",5,912,"127.90","80.16","1.5","-113.18","-63.77",33388,"6720.87","0.00","50.00",700,"1.2","100.00","300.00"
24,2025/11/12,13:42:46,1200,25,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7333.28","0.00","50.00",700,"1.2","100.00","300.00"
25,2025/11/12,13:42:48,1208,26,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7647.56","0.00","50.00",700,"1.2","100.00","300.00"
26,2025/11/12,13:42:51,1215,27,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7925.96","0.00","50.00",700,"1.2","100.00","300.00"
27,2025/11/12,13:42:53,1222,28,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"8234.48","0.00","50.00",700,"1.2","100.00","300.00"
28,2025/11/12,13:42:56,1230,29,8,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"8550.44","0.00","50.00",700,"1.2","100.00","300.00"
29,2025/11/12,13:42:58,1237,30,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"8831.96","0.00","50.00",700,"1.2","100.00","300.00"
