"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,10:11:45,64,1,5,"0.087",6,836,"67.81","60.13","1.1","-97.82","+103.50",33388,"209.96","0.00","125.00",800,"1.2","105.00","300.00"
1,2025/11/11,10:11:47,71,2,7,"0.086",6,1000,"61.46","70.81","1.1","+4.00","+202.99",33388,"618.57","0.00","125.00",800,"1.2","105.00","300.00"
2,2025/11/11,10:11:50,79,3,8,"0.086",6,955,"81.16","82.50","1.0","-38.06","+277.12",33388,"961.03","0.00","125.00",800,"1.2","105.00","300.00"
3,2025/11/11,10:11:52,81,4,1,"0.084",9,941,"107.87","111.54","1.0","-63.77","+204.33",33388,"959.20","0.00","125.00",800,"1.2","105.00","300.00"
4,2025/11/11,10:11:55,95,5,8,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1340.04","0.00","125.00",800,"1.2","105.00","300.00"
5,2025/11/11,10:11:57,102,6,7,"0.082",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1612.78","0.00","125.00",800,"1.2","105.00","300.00"
6,2025/11/11,10:12:00,109,7,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1918.14","0.00","125.00",800,"1.2","105.00","300.00"
7,2025/11/11,10:12:02,117,8,8,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2233.77","0.00","125.00",800,"1.2","105.00","300.00"
8,2025/11/11,10:12:05,124,9,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2509.56","0.00","125.00",800,"1.2","105.00","300.00"
9,2025/11/11,10:12:07,131,10,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2809.46","0.00","125.00",800,"1.2","105.00","300.00"
10,2025/11/11,10:12:10,137,11,6,"0.087",1,1000,"90.18","105.53","1.1","-50.08","+115.18",33388,"3189.47","0.00","125.00",800,"1.2","105.00","300.00"
11,2025/11/11,10:12:12,138,12,1,"0.086",1,999,"87.17","109.87","1.2","-48.74","+2.67",33388,"3167.48","0.00","125.00",800,"1.2","105.00","300.00"
12,2025/11/11,10:12:15,146,13,8,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"3736.60","0.00","125.00",800,"1.2","105.00","300.00"
13,2025/11/11,10:12:17,153,14,7,"0.086",6,999,"78.49","72.81","1.0","-84.13","+175.28",33388,"4184.84","0.00","125.00",800,"1.2","105.00","300.00"
14,2025/11/11,10:12:20,159,15,6,"0.086",6,877,"65.13","62.46","1.0","-79.12","-111.84",33388,"4168.70","0.00","125.00",800,"1.2","105.00","300.00"
