"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,14:14:24,2273,1,2,"0.101",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"88.52","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,14:14:27,2275,2,2,"0.088",5,927,"124.91","59.13","2.1","-69.11","-57.76",33388,"363.05","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,14:14:30,2277,3,1,"0.086",5,771,"136.93","76.83","1.7","-56.75","-140.56",33388,"359.56","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,14:14:32,2287,4,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1098.44","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,14:14:35,2294,5,7,"0.087",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1404.81","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,14:14:37,2302,6,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1717.64","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,14:14:40,2307,7,5,"0.086",6,982,"76.49","92.52","1.2","-156.58","+186.97",33388,"2102.24","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,14:14:42,2315,8,6,"0.085",8,990,"111.89","87.51","1.2","-137.22","-155.25",33388,"2108.02","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,14:14:45,2323,9,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2609.00","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,14:14:47,2328,10,5,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2810.84","0.00","50.00",700,"1.2","100.00","300.00"
