"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,10:45:05,4509,1,3,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"115.58","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,10:45:08,4517,2,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"435.30","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,10:45:10,4524,3,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"712.07","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,10:45:13,4531,4,7,"0.086",5,986,"119.57","83.51","1.4","+79.12","+272.11",33388,"1292.19","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,10:45:15,4534,5,3,"0.087",1,985,"147.94","117.23","1.2","+78.79","+162.26",33388,"1300.66","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,10:45:18,4542,6,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1634.54","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,10:45:20,4547,7,5,"0.088",9,944,"84.84","101.20","1.1","+97.15","+223.36",33388,"2052.71","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,10:45:23,4556,8,7,"0.086",1,979,"109.21","110.22","1.0","+69.11","+155.25",33388,"2312.25","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,10:45:25,4557,9,1,"0.085",3,711,"98.86","73.16","1.3","+68.11","+126.87",33388,"2321.94","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,10:45:28,4571,10,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2728.01","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,10:45:30,4578,11,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"3034.11","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,10:45:33,4584,12,6,"0.086",6,866,"48.11","42.77","1.1","+40.73","+168.60",33388,"3469.42","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,10:45:35,4593,13,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"3661.10","0.00","50.00",700,"1.2","100.00","300.00"
13,2025/11/12,10:45:38,4600,14,7,"0.086",1,999,"79.83","103.54","1.2","+19.69","+176.95",33388,"4115.24","0.00","50.00",700,"1.2","100.00","300.00"
14,2025/11/12,10:45:40,4606,15,6,"0.086",5,747,"129.58","78.50","1.6","+54.42","+236.05",33388,"4425.66","0.00","50.00",700,"1.2","100.00","300.00"
15,2025/11/12,10:45:43,4611,16,4,"0.086",5,917,"136.59","98.53","1.3","+60.76","+17.36",33388,"4432.07","0.00","50.00",700,"1.2","100.00","300.00"
16,2025/11/12,10:45:45,4619,17,5,"0.086",1,925,"123.91","111.89","1.1","+104.83","+51.75",33388,"4806.16","0.00","50.00",700,"1.2","100.00","300.00"
17,2025/11/12,10:45:48,4627,18,8,"0.086",6,998,"58.47","65.81","1.1","+2.00","+17.02",33388,"5182.46","0.00","50.00",700,"1.2","100.00","300.00"
18,2025/11/12,10:45:50,4632,19,5,"0.087",6,997,"58.47","65.81","1.1","+3.67","-190.97",33388,"5174.41","0.00","50.00",700,"1.2","100.00","300.00"
19,2025/11/12,10:45:53,4641,20,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"5746.46","0.00","50.00",700,"1.2","100.00","300.00"
20,2025/11/12,10:45:55,4648,21,7,"0.086",9,998,"129.58","127.24","1.0","+33.72","+248.07",33388,"6278.00","0.00","50.00",700,"1.2","100.00","300.00"
21,2025/11/12,10:45:58,4649,22,1,"0.086",1,997,"119.23","124.24","1.0","+33.72","+167.94",33388,"6278.87","0.00","50.00",700,"1.2","100.00","300.00"
22,2025/11/12,10:46:00,4650,23,1,"0.094",1,945,"113.89","92.85","1.2","+37.72","-136.55",33388,"6249.69","0.00","50.00",700,"1.2","100.00","300.00"
23,2025/11/12,10:46:03,4653,24,3,"0.086",1,995,"115.22","108.88","1.0","+11.01","+167.94",33388,"6934.94","0.00","50.00",700,"1.2","100.00","300.00"
24,2025/11/12,10:46:05,4654,25,1,"0.110",5,859,"79.83","130.25","1.6","+20.03","-78.46",33388,"6911.59","0.00","50.00",700,"1.2","100.00","300.00"
25,2025/11/12,10:46:08,4667,26,6,"0.085",1,991,"114.56","100.87","1.1","-1.66","+169.94",33388,"7676.65","0.00","50.00",700,"1.2","100.00","300.00"
26,2025/11/12,10:46:10,4672,27,5,"0.086",4,694,"70.82","99.20","1.4","+53.42","+257.42",33388,"8013.97","0.00","50.00",700,"1.2","100.00","300.00"
27,2025/11/12,10:46:13,4680,28,6,"0.085",6,997,"50.45","52.12","1.0","-25.37","+261.42",33388,"8365.72","0.00","50.00",700,"1.2","100.00","300.00"
28,2025/11/12,10:46:15,4685,29,4,"0.086",6,987,"55.13","50.79","1.0","-19.69","+27.04",33388,"8358.53","0.00","50.00",700,"1.2","100.00","300.00"
29,2025/11/12,10:46:18,4692,30,4,"0.086",1,734,"122.57","121.23","1.0","+67.44","+143.23",33388,"8775.15","0.00","50.00",700,"1.2","100.00","300.00"
30,2025/11/12,10:46:20,4696,31,4,"0.087",5,898,"99.53","159.30","1.6","+93.82","-161.59",33388,"8752.66","0.00","50.00",700,"1.2","100.00","300.00"
31,2025/11/12,10:46:23,4707,32,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9349.25","0.00","50.00",700,"1.2","100.00","300.00"
32,2025/11/12,10:46:25,4714,33,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9660.93","0.00","50.00",700,"1.2","100.00","300.00"
33,2025/11/12,10:46:28,4721,34,7,"0.086",9,828,"116.23","123.91","1.0","+18.69","+208.00",33388,"10148.15","0.00","50.00",700,"1.2","100.00","300.00"
34,2025/11/12,10:46:30,4724,35,3,"0.105",1,858,"137.26","125.91","1.0","+19.36","+43.40",33388,"10129.27","0.00","50.00",700,"1.2","100.00","300.00"
35,2025/11/12,10:46:33,4725,36,1,"0.094",1,978,"94.19","109.55","1.1","+40.39","+168.60",33388,"10465.89","0.00","50.00",700,"1.2","100.00","300.00"
36,2025/11/12,10:46:35,4727,37,2,"0.086",1,993,"90.85","114.22","1.2","+10.01","+199.99",33388,"10836.63","0.00","50.00",700,"1.2","100.00","300.00"
37,2025/11/12,10:46:38,4731,38,4,"0.086",1,949,"121.57","122.24","1.0","+11.01","+186.63",33388,"11203.66","0.00","50.00",700,"1.2","100.00","300.00"
38,2025/11/12,10:46:40,4732,39,1,"0.094",1,791,"116.56","128.25","1.1","+10.35","-33.38",33388,"11171.93","0.00","50.00",700,"1.2","100.00","300.00"
39,2025/11/12,10:46:43,4739,40,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"11746.42","0.00","50.00",700,"1.2","100.00","300.00"
40,2025/11/12,10:46:45,4745,41,6,"0.086",8,868,"124.91","106.88","1.1","+111.18","+162.59",33388,"12173.29","0.00","50.00",700,"1.2","100.00","300.00"
41,2025/11/12,10:46:48,4748,42,2,"0.085",8,997,"106.88","107.88","1.0","+113.51","+15.02",33388,"12171.98","0.00","50.00",700,"1.2","100.00","300.00"
42,2025/11/12,10:46:50,4756,43,3,"0.086",1,977,"120.90","112.89","1.0","+56.42","+156.25",33388,"12658.69","0.00","50.00",700,"1.2","100.00","300.00"
43,2025/11/12,10:46:53,4760,44,4,"0.086",1,737,"133.92","135.59","1.0","+1.66","+127.54",33388,"12947.96","0.00","50.00",700,"1.2","100.00","300.00"
44,2025/11/12,10:46:55,4761,45,1,"0.094",1,902,"125.57","124.24","1.0","+6.00","-90.14",33388,"12919.29","0.00","50.00",700,"1.2","100.00","300.00"
45,2025/11/12,10:46:58,4764,46,3,"0.087",1,957,"120.23","150.95","1.2","+20.36","+162.59",33388,"13552.18","0.00","50.00",700,"1.2","100.00","300.00"
46,2025/11/12,10:47:00,4766,47,2,"0.086",1,842,"151.62","122.90","1.2","+21.70","-117.52",33388,"13536.49","0.00","50.00",700,"1.2","100.00","300.00"
47,2025/11/12,10:47:03,4774,48,8,"0.088",9,997,"126.24","112.55","1.1","+2.00","+214.35",33388,"14395.66","0.00","50.00",700,"1.2","100.00","300.00"
48,2025/11/12,10:47:05,4775,49,1,"0.086",1,996,"120.90","118.90","1.0","+3.67","+170.27",33388,"14391.31","0.00","50.00",700,"1.2","100.00","300.00"
49,2025/11/12,10:47:08,4777,50,2,"0.086",5,703,"112.22","80.17","1.3","+11.35","-176.95",33388,"14371.11","0.00","50.00",700,"1.2","100.00","300.00"
50,2025/11/12,10:47:10,4790,51,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"15062.69","0.00","50.00",700,"1.2","100.00","300.00"
51,2025/11/12,10:47:13,4797,52,7,"0.086",4,505,"95.19","92.85","1.0","+7.67","+77.79",33388,"15448.67","0.00","50.00",700,"1.2","100.00","300.00"
52,2025/11/12,10:47:15,4798,53,1,"0.086",1,728,"101.87","113.22","1.1","+8.34","+33.72",33388,"15443.38","0.00","50.00",700,"1.2","100.00","300.00"
53,2025/11/12,10:47:18,4805,54,7,"0.086",1,915,"102.54","103.20","1.0","+43.73","+160.26",33388,"16119.02","0.00","50.00",700,"1.2","100.00","300.00"
54,2025/11/12,10:47:20,4812,55,7,"0.086",5,917,"136.59","73.82","1.8","+42.40","-151.91",33388,"16096.61","0.00","50.00",700,"1.2","100.00","300.00"
55,2025/11/12,10:47:23,4814,56,1,"0.088",3,976,"99.53","84.51","1.1","+49.74","-205.67",33388,"16123.77","0.00","50.00",700,"1.2","100.00","300.00"
56,2025/11/12,10:47:25,4824,57,4,"0.086",6,811,"43.77","47.78","1.0","+18.36","+161.26",33388,"16890.84","0.00","50.00",700,"1.2","100.00","300.00"
57,2025/11/12,10:47:28,4835,58,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"17171.11","0.00","50.00",700,"1.2","100.00","300.00"
58,2025/11/12,10:47:30,4840,59,5,"0.087",1,884,"96.53","117.56","1.2","+43.40","+174.95",33388,"17572.45","0.00","50.00",700,"1.2","100.00","300.00"
59,2025/11/12,10:47:33,4841,60,1,"0.094",1,913,"130.25","112.89","1.1","+42.40","+5.00",33388,"17528.15","0.00","50.00",700,"1.2","100.00","300.00"
60,2025/11/12,10:47:36,4848,61,7,"0.086",5,986,"95.86","63.14","1.5","-35.05","+274.11",33388,"18333.19","0.00","50.00",700,"1.2","100.00","300.00"
61,2025/11/12,10:47:38,4851,62,3,"0.086",1,987,"100.20","87.51","1.1","-32.05","+124.53",33388,"18341.35","0.00","50.00",700,"1.2","100.00","300.00"
62,2025/11/12,10:47:41,4853,63,2,"0.086",1,704,"129.92","100.53","1.2","-21.70","-133.55",33388,"18321.33","0.00","50.00",700,"1.2","100.00","300.00"
63,2025/11/12,10:47:43,4854,64,1,"0.085",1,1000,"92.52","104.54","1.1","+25.70","+112.18",33388,"18827.00","0.00","50.00",700,"1.2","100.00","300.00"
64,2025/11/12,10:47:46,4861,65,7,"0.086",1,994,"97.20","115.22","1.1","+17.36","+167.27",33388,"19420.04","0.00","50.00",700,"1.2","100.00","300.00"
65,2025/11/12,10:47:48,4862,66,1,"0.094",1,999,"90.85","103.87","1.1","+18.02","+81.13",33388,"19399.82","0.00","50.00",700,"1.2","100.00","300.00"
66,2025/11/12,10:47:51,4863,67,1,"0.094",1,999,"101.20","112.55","1.1","+43.73","+76.45",33388,"19696.65","0.00","50.00",700,"1.2","100.00","300.00"
67,2025/11/12,10:47:53,4871,68,8,"0.086",5,953,"111.22","78.16","1.4","-4.67","-158.59",33388,"20040.05","0.00","50.00",700,"1.2","100.00","300.00"
68,2025/11/12,10:47:56,4873,69,2,"0.087",1,891,"109.55","93.86","1.1","+52.75","+168.27",33388,"20446.28","0.00","50.00",700,"1.2","100.00","300.00"
69,2025/11/12,10:47:58,4874,70,1,"0.113",4,494,"97.20","72.15","1.3","-7.01","+253.74",33388,"20780.05","0.00","50.00",700,"1.2","100.00","300.00"
70,2025/11/12,10:48:01,4888,71,7,"0.102",6,999,"64.47","75.83","1.1","-18.69","+53.08",33388,"21131.39","0.00","50.00",700,"1.2","100.00","300.00"
71,2025/11/12,10:48:03,4894,72,6,"0.105",6,994,"81.50","84.17","1.0","-22.03","-204.66",33388,"21137.67","0.00","50.00",700,"1.2","100.00","300.00"
72,2025/11/12,10:48:06,4902,73,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"21688.10","0.00","50.00",700,"1.2","100.00","300.00"
73,2025/11/12,10:48:08,4909,74,7,"0.087",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"21966.55","0.00","50.00",700,"1.2","100.00","300.00"
74,2025/11/12,10:48:11,4916,75,7,"0.086",4,317,"99.87","60.80","1.6","+6.00","+232.38",33388,"22520.32","0.00","50.00",700,"1.2","100.00","300.00"
75,2025/11/12,10:48:13,4919,76,3,"0.087",1,999,"136.59","113.56","1.2","+21.03","+118.52",33388,"22525.36","0.00","50.00",700,"1.2","100.00","300.00"
76,2025/11/12,10:48:16,4920,77,1,"0.088",1,978,"114.22","98.53","1.1","+18.02","-125.20",33388,"22506.86","0.00","50.00",700,"1.2","100.00","300.00"
77,2025/11/12,10:48:18,4928,78,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"23208.86","0.00","50.00",700,"1.2","100.00","300.00"
78,2025/11/12,10:48:21,4934,79,6,"0.088",1,992,"120.90","94.86","1.2","-34.05","+194.65",33388,"23639.95","0.00","50.00",700,"1.2","100.00","300.00"
79,2025/11/12,10:48:23,4936,80,2,"0.086",1,985,"113.56","92.19","1.2","-31.71","+51.41",33388,"23624.79","0.00","50.00",700,"1.2","100.00","300.00"
80,2025/11/12,10:48:26,4942,81,6,"0.086",9,994,"114.22","96.86","1.1","+11.68","+265.10",33388,"24300.54","0.00","50.00",700,"1.2","100.00","300.00"
81,2025/11/12,10:48:28,4950,82,6,"0.086",6,787,"77.50","76.16","1.0","+22.70","-67.44",33388,"24285.40","0.00","50.00",700,"1.2","100.00","300.00"
82,2025/11/12,10:48:31,4957,83,6,"0.102",1,990,"102.20","121.57","1.1","+21.36","+69.44",33388,"24699.48","0.00","50.00",700,"1.2","100.00","300.00"
83,2025/11/12,10:48:33,4958,84,1,"0.094",1,990,"109.21","128.58","1.1","+26.04","-58.76",33388,"24673.87","0.00","50.00",700,"1.2","100.00","300.00"
84,2025/11/12,10:48:36,4960,85,2,"0.086",1,956,"111.55","108.55","1.0","+31.38","-34.38",33388,"25050.00","0.00","50.00",700,"1.2","100.00","300.00"
