"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,14:45:43,5841,1,5,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"120.04","0.00","125.00",800,"1.2","100.00","300.00"
1,2025/11/11,14:45:45,5848,2,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"399.25","0.00","125.00",800,"1.2","100.00","300.00"
2,2025/11/11,14:45:48,5855,3,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"708.69","0.00","125.00",800,"1.2","100.00","300.00"
3,2025/11/11,14:45:50,5858,4,3,"0.086",4,636,"76.49","69.81","1.0","-70.78","-14.35",33388,"842.74","0.00","125.00",800,"1.2","100.00","300.00"
4,2025/11/11,14:45:53,5870,5,8,"0.086",8,986,"109.21","121.89","1.1","-128.87","+118.19",33388,"1455.26","0.00","125.00",800,"1.2","100.00","300.00"
5,2025/11/11,14:45:55,5876,6,6,"0.086",8,997,"117.89","104.87","1.1","-125.87","-126.87",33388,"1449.56","0.00","125.00",800,"1.2","100.00","300.00"
6,2025/11/11,14:45:58,5885,7,8,"0.087",6,925,"62.80","73.15","1.1","-94.15","+265.76",33388,"2205.63","0.00","125.00",800,"1.2","100.00","300.00"
7,2025/11/11,14:46:00,5892,8,7,"0.086",6,993,"71.48","92.18","1.2","-60.43","+13.02",33388,"2233.74","0.00","125.00",800,"1.2","100.00","300.00"
8,2025/11/11,14:46:03,5897,9,5,"0.086",6,998,"80.16","86.50","1.0","-38.39","-180.62",33388,"2241.51","0.00","125.00",800,"1.2","100.00","300.00"
9,2025/11/11,14:46:05,5901,10,1,"0.086",5,828,"47.10","35.42","1.3","+20.03","+291.47",33388,"2872.96","0.00","125.00",800,"1.2","100.00","300.00"
10,2025/11/11,14:46:08,5910,11,3,"0.086",4,356,"77.15","68.47","1.1","+7.34","-43.40",33388,"2900.02","0.00","125.00",800,"1.2","100.00","300.00"
11,2025/11/11,14:46:10,5917,12,2,"0.086",1,995,"108.87","110.21","1.0","+75.45","+126.54",33388,"3346.84","0.00","125.00",800,"1.2","100.00","300.00"
12,2025/11/11,14:46:13,5924,13,7,"0.086",8,941,"158.95","122.56","1.2","+105.50","+5.00",33388,"3714.60","0.00","125.00",800,"1.2","100.00","300.00"
13,2025/11/11,14:46:15,5926,14,2,"0.087",8,989,"131.24","111.21","1.1","+100.83","-110.18",33388,"3706.94","0.00","125.00",800,"1.2","100.00","300.00"
14,2025/11/11,14:46:18,5938,15,7,"0.086",6,995,"59.79","64.80","1.0","+113.18","+131.88",33388,"4454.24","0.00","125.00",800,"1.2","100.00","300.00"
15,2025/11/11,14:46:21,5946,16,8,"0.102",1,971,"100.53","79.83","1.2","+94.82","+108.51",33388,"4721.45","0.00","125.00",800,"1.2","100.00","300.00"
