"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,13:25:13,6,1,4,"0.085",6,946,"48.77","62.46","1.2","-7.34","+6.34",33388,"87.57","0.00","125.00",800,"1.2","100.00","300.00"
1,2025/11/11,13:25:16,10,2,3,"0.086",6,966,"43.43","54.78","1.2","-4.00","-145.57",33388,"96.80","0.00","125.00",800,"1.2","100.00","300.00"
2,2025/11/11,13:25:18,21,3,7,"0.086",6,931,"58.46","56.79","1.0","-45.07","+113.85",33388,"826.82","0.00","125.00",800,"1.2","100.00","300.00"
3,2025/11/11,13:25:21,27,4,6,"0.086",6,904,"41.76","38.42","1.0","-50.41","-142.23",33388,"835.36","0.00","125.00",800,"1.2","100.00","300.00"
4,2025/11/11,13:25:23,34,5,6,"0.086",4,331,"31.41","23.07","1.3","-52.75","+206.67",33388,"1491.19","0.00","125.00",800,"1.2","100.00","300.00"
5,2025/11/11,13:25:26,43,6,8,"0.087",9,992,"103.53","102.20","1.0","-4.00","+260.42",33388,"1903.46","0.00","125.00",800,"1.2","100.00","300.00"
6,2025/11/11,13:25:28,45,7,2,"0.085",1,892,"97.52","110.21","1.1","-4.00","+184.63",33388,"1907.03","0.00","125.00",800,"1.2","100.00","300.00"
7,2025/11/11,13:25:31,46,8,1,"0.093",1,994,"112.88","104.53","1.0","-2.67","-100.16",33388,"1871.11","0.00","125.00",800,"1.2","100.00","300.00"
8,2025/11/11,13:25:33,49,9,3,"0.086",1,983,"101.19","88.17","1.1","-13.35","-125.20",33388,"2229.04","0.00","125.00",800,"1.2","100.00","300.00"
9,2025/11/11,13:25:36,56,10,7,"0.086",1,996,"113.21","123.90","1.0","-28.37","+169.27",33388,"2977.82","0.00","125.00",800,"1.2","100.00","300.00"
10,2025/11/11,13:25:38,57,11,1,"0.092",1,1000,"91.84","100.53","1.0","-27.37","+82.13",33388,"2954.28","0.00","125.00",800,"1.2","100.00","300.00"
11,2025/11/11,13:25:41,63,12,6,"0.086",6,999,"61.80","55.79","1.1","+50.74","-88.81",33388,"3282.73","0.00","125.00",800,"1.2","100.00","300.00"
12,2025/11/11,13:25:43,71,13,7,"0.081",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"3716.04","0.00","125.00",800,"1.2","100.00","300.00"
13,2025/11/11,13:25:46,78,14,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4023.43","0.00","125.00",800,"1.2","100.00","300.00"
14,2025/11/11,13:25:48,85,15,7,"0.089",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4330.95","0.00","125.00",800,"1.2","100.00","300.00"
15,2025/11/11,13:25:51,91,16,6,"0.087",1,999,"147.27","119.89","1.2","+85.80","+169.27",33388,"4740.71","0.00","125.00",800,"1.2","100.00","300.00"
16,2025/11/11,13:25:53,98,17,7,"0.085",3,990,"108.54","123.23","1.1","+86.80","-170.61",33388,"4743.70","0.00","125.00",800,"1.2","100.00","300.00"
17,2025/11/11,13:25:56,105,18,7,"0.086",1,993,"128.91","111.88","1.1","+60.09","+161.59",33388,"5384.94","0.00","125.00",800,"1.2","100.00","300.00"
18,2025/11/11,13:25:58,106,19,1,"0.093",1,963,"107.20","124.57","1.1","+66.77","+94.82",33388,"5369.87","0.00","125.00",800,"1.2","100.00","300.00"
19,2025/11/11,13:26:01,108,20,2,"0.086",1,984,"89.84","108.20","1.2","+58.09","+155.92",33388,"5772.52","0.00","125.00",800,"1.2","100.00","300.00"
20,2025/11/11,13:26:03,115,21,7,"0.086",6,950,"50.44","56.79","1.1","+68.44","+4.67",33388,"6118.20","0.00","125.00",800,"1.2","100.00","300.00"
21,2025/11/11,13:26:06,119,22,4,"0.085",1,981,"138.25","137.25","1.0","+27.37","+176.95",33388,"6492.59","0.00","125.00",800,"1.2","100.00","300.00"
22,2025/11/11,13:26:08,120,23,1,"0.093",1,843,"122.56","116.89","1.0","+26.04","-9.01",33388,"6471.44","0.00","125.00",800,"1.2","100.00","300.00"
23,2025/11/11,13:26:11,122,24,2,"0.086",1,840,"94.85","106.54","1.1","+44.07","+18.36",33388,"6840.16","0.00","125.00",800,"1.2","100.00","300.00"
24,2025/11/11,13:26:13,129,25,7,"0.105",9,998,"108.20","89.51","1.2","+82.13","+247.40",33388,"7563.37","0.00","125.00",800,"1.2","100.00","300.00"
25,2025/11/11,13:26:16,131,26,1,"0.086",1,1000,"100.53","93.51","1.0","+83.47","+160.59",33388,"7557.08","0.00","125.00",800,"1.2","100.00","300.00"
26,2025/11/11,13:26:18,133,27,2,"0.101",1,997,"90.84","114.88","1.2","+72.11","+159.59",33388,"7883.37","0.00","125.00",800,"1.2","100.00","300.00"
27,2025/11/11,13:26:21,141,28,8,"0.105",6,1000,"67.47","80.83","1.1","+70.11","-21.03",33388,"8231.40","0.00","125.00",800,"1.2","100.00","300.00"
28,2025/11/11,13:26:23,146,29,5,"0.087",6,997,"82.50","71.81","1.1","+66.77","-204.00",33388,"8247.65","0.00","125.00",800,"1.2","100.00","300.00"
29,2025/11/11,13:26:26,153,30,5,"0.088",4,429,"74.48","71.81","1.0","+21.36","+205.33",33388,"8964.55","0.00","125.00",800,"1.2","100.00","300.00"
30,2025/11/11,13:26:28,163,31,8,"0.086",1,865,"108.54","107.20","1.0","+92.81","+108.17",33388,"9268.08","0.00","125.00",800,"1.2","100.00","300.00"
31,2025/11/11,13:26:31,170,32,7,"0.083",5,920,"112.88","74.15","1.5","+82.80","+268.10",33388,"9706.22","0.00","125.00",800,"1.2","100.00","300.00"
32,2025/11/11,13:26:33,173,33,3,"0.085",1,867,"109.21","117.22","1.0","+78.79","+174.61",33388,"9734.32","0.00","125.00",800,"1.2","100.00","300.00"
33,2025/11/11,13:26:36,174,34,1,"0.093",1,999,"104.87","127.24","1.2","+71.78","-69.78",33388,"9716.66","0.00","125.00",800,"1.2","100.00","300.00"
34,2025/11/11,13:26:38,181,35,7,"0.086",5,999,"138.59","93.85","1.4","+89.47","+46.07",33388,"10378.54","0.00","125.00",800,"1.2","100.00","300.00"
35,2025/11/11,13:26:41,182,36,1,"0.086",1,999,"130.91","105.87","1.2","+86.80","-26.71",33388,"10371.52","0.00","125.00",800,"1.2","100.00","300.00"
36,2025/11/11,13:26:43,190,37,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"10961.25","0.00","125.00",800,"1.2","100.00","300.00"
37,2025/11/11,13:26:46,197,38,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"11238.42","0.00","125.00",800,"1.2","100.00","300.00"
38,2025/11/11,13:26:48,204,39,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"11544.71","0.00","125.00",800,"1.2","100.00","300.00"
39,2025/11/11,13:26:51,210,40,6,"0.086",4,327,"29.41","18.39","1.5","+37.39","-11.35",33388,"11772.43","0.00","125.00",800,"1.2","100.00","300.00"
40,2025/11/11,13:26:53,219,41,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"12142.90","0.00","125.00",800,"1.2","100.00","300.00"
41,2025/11/11,13:26:56,226,42,7,"0.085",5,985,"72.15","101.19","1.4","+97.82","+84.13",33388,"12534.12","0.00","125.00",800,"1.2","100.00","300.00"
42,2025/11/11,13:26:58,232,43,6,"0.086",1,999,"97.52","118.22","1.2","+22.03","+161.26",33388,"12851.51","0.00","125.00",800,"1.2","100.00","300.00"
43,2025/11/11,13:27:01,239,44,7,"0.086",8,945,"105.20","126.57","1.2","+125.53","+198.32",33388,"13237.98","0.00","125.00",800,"1.2","100.00","300.00"
44,2025/11/11,13:27:03,246,45,7,"0.086",9,998,"117.89","110.88","1.0","+57.42","+260.09",33388,"13608.94","0.00","125.00",800,"1.2","100.00","300.00"
45,2025/11/11,13:27:06,248,46,2,"0.086",1,997,"108.20","118.56","1.0","+54.08","+194.31",33388,"13623.43","0.00","125.00",800,"1.2","100.00","300.00"
46,2025/11/11,13:27:08,249,47,1,"0.086",1,999,"121.56","123.23","1.0","+47.74","-86.80",33388,"13604.69","0.00","125.00",800,"1.2","100.00","300.00"
47,2025/11/11,13:27:11,253,48,4,"0.086",6,869,"68.14","79.83","1.1","+87.14","-140.22",33388,"13972.77","0.00","125.00",800,"1.2","100.00","300.00"
48,2025/11/11,13:27:13,263,49,7,"0.086",6,996,"67.14","79.49","1.1","+57.76","+145.57",33388,"14701.30","0.00","125.00",800,"1.2","100.00","300.00"
49,2025/11/11,13:27:16,271,50,8,"0.086",6,999,"60.79","72.48","1.1","+53.08","-179.62",33388,"14694.90","0.00","125.00",800,"1.2","100.00","300.00"
50,2025/11/11,13:27:18,274,51,3,"0.087",1,900,"106.87","88.17","1.2","+22.03","+51.75",33388,"15045.85","0.00","125.00",800,"1.2","100.00","300.00"
51,2025/11/11,13:27:21,275,52,1,"0.093",1,1000,"117.55","111.54","1.0","+22.70","-167.94",33388,"15026.41","0.00","125.00",800,"1.2","100.00","300.00"
52,2025/11/11,13:27:23,276,53,1,"0.094",1,993,"115.55","123.56","1.0","+63.10","+198.65",33388,"15692.81","0.00","125.00",800,"1.2","100.00","300.00"
53,2025/11/11,13:27:26,280,54,4,"0.087",1,999,"147.94","115.55","1.2","+56.09","+163.60",33388,"16078.49","0.00","125.00",800,"1.2","100.00","300.00"
54,2025/11/11,13:27:28,281,55,1,"0.091",1,998,"121.56","113.21","1.0","+49.08","-52.41",33388,"16052.03","0.00","125.00",800,"1.2","100.00","300.00"
55,2025/11/11,13:27:31,283,56,2,"0.086",1,919,"137.92","129.91","1.0","+86.14","+5.67",33388,"16449.13","0.00","125.00",800,"1.2","100.00","300.00"
56,2025/11/11,13:27:33,290,57,7,"0.086",6,870,"46.77","41.10","1.1","+58.09","+75.79",33388,"17022.78","0.00","125.00",800,"1.2","100.00","300.00"
57,2025/11/11,13:27:36,293,58,3,"0.086",6,869,"41.10","31.75","1.2","+54.42","-57.42",33388,"17034.93","0.00","125.00",800,"1.2","100.00","300.00"
58,2025/11/11,13:27:38,299,59,2,"0.081",1,998,"130.24","113.88","1.1","+34.05","+99.49",33388,"17459.69","0.00","125.00",800,"1.2","100.00","300.00"
59,2025/11/11,13:27:41,307,60,8,"0.086",6,1000,"80.16","91.18","1.1","+66.10","-33.38",33388,"17846.62","0.00","125.00",800,"1.2","100.00","300.00"
60,2025/11/11,13:27:43,314,61,7,"0.086",8,997,"114.88","98.86","1.1","+119.86","+102.50",33388,"18261.39","0.00","125.00",800,"1.2","100.00","300.00"
61,2025/11/11,13:27:46,320,62,6,"0.086",8,999,"124.57","95.85","1.2","+116.85","-140.56",33388,"18258.85","0.00","125.00",800,"1.2","100.00","300.00"
62,2025/11/11,13:27:48,329,63,7,"0.086",6,996,"55.79","63.13","1.1","+44.73","+119.52",33388,"18878.27","0.00","125.00",800,"1.2","100.00","300.00"
63,2025/11/11,13:27:51,335,64,6,"0.086",6,911,"74.15","62.80","1.1","+36.39","-145.90",33388,"18880.36","0.00","125.00",800,"1.2","100.00","300.00"
64,2025/11/11,13:27:53,343,65,7,"0.086",6,990,"79.16","98.19","1.2","+43.73","-124.87",33388,"19222.72","0.00","125.00",800,"1.2","100.00","300.00"
65,2025/11/11,13:27:56,344,66,1,"0.086",6,917,"75.48","81.49","1.0","+43.40","-195.31",33388,"19221.09","0.00","125.00",800,"1.2","100.00","300.00"
66,2025/11/11,13:27:59,357,67,7,"0.084",6,999,"64.13","75.48","1.1","+31.38","+27.37",33388,"19991.89","0.00","125.00",800,"1.2","100.00","300.00"
67,2025/11/11,13:28:01,362,68,5,"0.086",6,984,"68.14","73.15","1.0","+31.71","-161.26",33388,"20004.01","0.00","125.00",800,"1.2","100.00","300.00"
68,2025/11/11,13:28:04,372,69,7,"0.085",1,908,"138.92","124.57","1.1","+50.74","+86.47",33388,"20649.58","0.00","125.00",800,"1.2","100.00","300.00"
69,2025/11/11,13:28:06,378,70,6,"0.087",9,801,"124.90","132.24","1.0","-11.01","+237.38",33388,"21057.25","0.00","125.00",800,"1.2","100.00","300.00"
70,2025/11/11,13:28:09,382,71,3,"0.086",1,888,"102.86","106.20","1.0","-11.35","+47.41",33388,"21050.68","0.00","125.00",800,"1.2","100.00","300.00"
71,2025/11/11,13:28:11,383,72,1,"0.085",1,822,"149.61","121.89","1.2","-18.02","-186.97",33388,"21030.70","0.00","125.00",800,"1.2","100.00","300.00"
72,2025/11/11,13:28:14,384,73,1,"0.093",1,997,"118.22","93.85","1.2","+23.37","-110.84",33388,"21406.95","0.00","125.00",800,"1.2","100.00","300.00"
73,2025/11/11,13:28:16,385,74,1,"0.083",1,994,"115.22","99.52","1.1","+71.11","-82.80",33388,"21735.15","0.00","125.00",800,"1.2","100.00","300.00"
74,2025/11/11,13:28:19,390,75,5,"0.086",1,992,"99.19","113.55","1.1","+47.41","+175.28",33388,"22448.17","0.00","125.00",800,"1.2","100.00","300.00"
75,2025/11/11,13:28:21,397,76,7,"0.085",1,999,"138.59","111.54","1.2","+33.38","+163.93",33388,"22820.87","0.00","125.00",800,"1.2","100.00","300.00"
76,2025/11/11,13:28:24,398,77,1,"0.082",1,994,"123.23","110.54","1.1","+33.05","+75.79",33388,"22796.71","0.00","125.00",800,"1.2","100.00","300.00"
77,2025/11/11,13:28:26,405,78,7,"0.087",5,854,"99.19","69.14","1.4","+113.51","+251.41",33388,"23510.81","0.00","125.00",800,"1.2","100.00","300.00"
78,2025/11/11,13:28:29,412,79,7,"0.086",6,991,"90.51","87.50","1.0","+105.83","-52.08",33388,"23515.15","0.00","125.00",800,"1.2","100.00","300.00"
79,2025/11/11,13:28:31,414,80,2,"0.084",6,984,"74.48","72.48","1.0","+104.50","-161.93",33388,"23510.53","0.00","125.00",800,"1.2","100.00","300.00"
80,2025/11/11,13:28:34,427,81,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"24187.61","0.00","125.00",800,"1.2","100.00","300.00"
81,2025/11/11,13:28:36,434,82,7,"0.083",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"24470.46","0.00","125.00",800,"1.2","100.00","300.00"
82,2025/11/11,13:28:39,441,83,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"24775.71","0.00","125.00",800,"1.2","100.00","300.00"
83,2025/11/11,13:28:41,449,84,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25095.12","0.00","125.00",800,"1.2","100.00","300.00"
84,2025/11/11,13:28:44,456,85,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25374.29","0.00","125.00",800,"1.2","100.00","300.00"
85,2025/11/11,13:28:46,463,86,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25683.57","0.00","125.00",800,"1.2","100.00","300.00"
86,2025/11/11,13:28:49,470,87,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"25963.46","0.00","125.00",800,"1.2","100.00","300.00"
87,2025/11/11,13:28:51,477,88,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"26280.09","0.00","125.00",800,"1.2","100.00","300.00"
88,2025/11/11,13:28:54,485,89,8,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"26592.73","0.00","125.00",800,"1.2","100.00","300.00"
89,2025/11/11,13:28:56,492,90,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"26872.12","0.00","125.00",800,"1.2","100.00","300.00"
90,2025/11/11,13:28:59,499,91,7,"0.086",8,986,"99.19","102.53","1.0","+129.87","+264.43",33388,"27445.22","0.00","125.00",800,"1.2","100.00","300.00"
91,2025/11/11,13:29:01,507,92,8,"0.086",8,999,"96.19","107.54","1.1","+112.85","-48.07",33388,"27450.96","0.00","125.00",800,"1.2","100.00","300.00"
92,2025/11/11,13:29:04,512,93,5,"0.086",1,899,"128.24","136.25","1.0","+34.05","+161.26",33388,"27861.65","0.00","125.00",800,"1.2","100.00","300.00"
93,2025/11/11,13:29:06,513,94,1,"0.094",4,559,"70.81","91.51","1.2","+9.01","+11.01",33388,"27838.97","0.00","125.00",800,"1.2","100.00","300.00"
94,2025/11/11,13:29:09,527,95,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"28384.91","0.00","125.00",800,"1.2","100.00","300.00"
95,2025/11/11,13:29:11,535,96,8,"0.086",6,1000,"77.82","99.86","1.2","+100.16","+204.66",33388,"28909.18","0.00","125.00",800,"1.2","100.00","300.00"
96,2025/11/11,13:29:14,542,97,7,"0.086",6,1000,"83.83","89.17","1.0","+94.15","-65.44",33388,"28918.27","0.00","125.00",800,"1.2","100.00","300.00"
