"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,13:25:52,3,1,3,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"121.51","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,13:25:55,10,2,7,"0.087",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"405.60","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,13:25:57,17,3,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"709.30","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,13:26:00,24,4,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1013.80","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,13:26:02,31,5,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1318.96","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,13:26:05,39,6,8,"0.086",6,806,"81.50","63.81","1.2","+87.81","+204.66",33388,"1841.74","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,13:26:07,41,7,2,"0.086",1,1000,"100.87","102.54","1.0","+97.49","+131.21",33388,"1850.31","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,13:26:10,46,8,5,"0.085",6,732,"81.17","68.82","1.1","+81.80","+110.84",33388,"2226.91","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,13:26:12,53,9,4,"0.086",1,949,"93.52","119.57","1.2","+75.12","-183.30",33388,"2215.34","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,13:26:15,60,10,7,"0.087",8,999,"122.24","115.89","1.0","+112.18","+90.81",33388,"2895.89","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,13:26:17,66,11,6,"0.086",8,966,"125.57","141.27","1.1","+113.51","-186.97",33388,"2886.13","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,13:26:20,74,12,7,"0.086",9,976,"115.89","132.25","1.1","+83.47","+209.67",33388,"3632.60","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,13:26:22,75,13,1,"0.104",1,980,"116.23","130.25","1.1","+84.13","+164.93",33388,"3626.71","0.00","50.00",700,"1.2","100.00","300.00"
13,2025/11/12,13:26:25,83,14,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"4034.29","0.00","50.00",700,"1.2","100.00","300.00"
14,2025/11/12,13:26:27,90,15,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"4305.25","0.00","50.00",700,"1.2","100.00","300.00"
15,2025/11/12,13:26:30,98,16,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"4618.20","0.00","50.00",700,"1.2","100.00","300.00"
16,2025/11/12,13:26:32,105,17,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"4873.53","0.00","50.00",700,"1.2","100.00","300.00"
17,2025/11/12,13:26:35,113,18,8,"0.085",6,992,"96.53","89.18","1.0","+129.21","+249.07",33388,"5435.62","0.00","50.00",700,"1.2","100.00","300.00"
18,2025/11/12,13:26:37,120,19,7,"0.085",8,999,"94.86","108.88","1.1","+132.55","-29.71",33388,"5435.37","0.00","50.00",700,"1.2","100.00","300.00"
19,2025/11/12,13:26:40,124,20,4,"0.086",8,873,"102.54","93.86","1.0","+128.20","-189.30",33388,"5439.07","0.00","50.00",700,"1.2","100.00","300.00"
20,2025/11/12,13:26:42,134,21,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"6070.40","0.00","50.00",700,"1.2","100.00","300.00"
21,2025/11/12,13:26:45,142,22,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"6389.28","0.00","50.00",700,"1.2","100.00","300.00"
22,2025/11/12,13:26:47,149,23,7,"0.086",1,993,"108.55","124.91","1.1","+72.78","+83.13",33388,"6757.46","0.00","50.00",700,"1.2","100.00","300.00"
23,2025/11/12,13:26:50,154,24,5,"0.086",1,945,"152.95","145.61","1.0","+49.74","-141.56",33388,"6735.39","0.00","50.00",700,"1.2","100.00","300.00"
24,2025/11/12,13:26:52,161,25,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"7258.20","0.00","50.00",700,"1.2","100.00","300.00"
25,2025/11/12,13:26:55,168,26,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"7569.07","0.00","50.00",700,"1.2","100.00","300.00"
26,2025/11/12,13:26:57,175,27,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"7876.42","0.00","50.00",700,"1.2","100.00","300.00"
27,2025/11/12,13:27:00,182,28,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"8159.43","0.00","50.00",700,"1.2","100.00","300.00"
28,2025/11/12,13:27:02,186,29,4,"0.085",1,998,"115.89","111.22","1.0","+33.72","+170.61",33388,"8519.43","0.00","50.00",700,"1.2","100.00","300.00"
29,2025/11/12,13:27:05,187,30,1,"0.087",6,1000,"95.53","98.86","1.0","+34.72","-12.68",33388,"8499.59","0.00","50.00",700,"1.2","100.00","300.00"
30,2025/11/12,13:27:07,201,31,7,"0.101",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9077.33","0.00","50.00",700,"1.2","100.00","300.00"
31,2025/11/12,13:27:10,209,32,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9396.62","0.00","50.00",700,"1.2","100.00","300.00"
32,2025/11/12,13:27:12,216,33,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9677.42","0.00","50.00",700,"1.2","100.00","300.00"
33,2025/11/12,13:27:15,224,34,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"9997.29","0.00","50.00",700,"1.2","100.00","300.00"
34,2025/11/12,13:27:17,231,35,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"10274.26","0.00","50.00",700,"1.2","100.00","300.00"
35,2025/11/12,13:27:20,237,36,6,"0.086",8,853,"115.89","99.53","1.1","-94.48","+99.49",33388,"10646.79","0.00","50.00",700,"1.2","100.00","300.00"
36,2025/11/12,13:27:23,242,37,4,"0.085",1,990,"132.59","120.23","1.1","-86.14","-113.18",33388,"10637.39","0.00","50.00",700,"1.2","100.00","300.00"
37,2025/11/12,13:27:25,247,38,5,"0.086",5,711,"142.60","81.50","1.7","+68.77","+264.09",33388,"11352.91","0.00","50.00",700,"1.2","100.00","300.00"
38,2025/11/12,13:27:28,251,39,2,"0.086",1,973,"123.24","118.90","1.0","+60.76","+72.78",33388,"11349.62","0.00","50.00",700,"1.2","100.00","300.00"
39,2025/11/12,13:27:30,254,40,3,"0.086",1,979,"119.57","124.57","1.0","-5.67","+163.60",33388,"11770.89","0.00","50.00",700,"1.2","100.00","300.00"
40,2025/11/12,13:27:33,255,41,1,"0.088",1,979,"103.54","100.87","1.0","+7.34","-93.82",33388,"11739.60","0.00","50.00",700,"1.2","100.00","300.00"
41,2025/11/12,13:27:35,257,42,2,"0.086",1,997,"130.92","121.90","1.0","+4.67","-89.81",33388,"12083.54","0.00","50.00",700,"1.2","100.00","300.00"
42,2025/11/12,13:27:38,261,43,4,"0.104",1,1000,"103.87","82.17","1.2","-53.08","+189.97",33388,"12735.84","0.00","50.00",700,"1.2","100.00","300.00"
43,2025/11/12,13:27:40,268,44,7,"0.086",3,871,"105.54","87.85","1.2","-42.73","-234.04",33388,"12739.27","0.00","50.00",700,"1.2","100.00","300.00"
44,2025/11/12,13:27:43,274,45,6,"0.087",1,1000,"112.55","111.22","1.0","-55.42","+177.95",33388,"13422.89","0.00","50.00",700,"1.2","100.00","300.00"
45,2025/11/12,13:27:45,281,46,7,"0.085",3,995,"115.89","89.85","1.2","-42.73","-158.25",33388,"13418.34","0.00","50.00",700,"1.2","100.00","300.00"
46,2025/11/12,13:27:48,288,47,7,"0.086",5,999,"45.44","66.81","1.4","-63.43","+261.09",33388,"14148.06","0.00","50.00",700,"1.2","100.00","300.00"
47,2025/11/12,13:27:50,296,48,8,"0.085",6,1000,"59.13","68.48","1.1","-58.42","-71.45",33388,"14139.15","0.00","50.00",700,"1.2","100.00","300.00"
48,2025/11/12,13:27:53,300,49,4,"0.086",6,800,"64.14","49.45","1.2","-63.77","-219.35",33388,"14149.88","0.00","50.00",700,"1.2","100.00","300.00"
49,2025/11/12,13:27:55,311,50,8,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"14808.96","0.00","50.00",700,"1.2","100.00","300.00"
50,2025/11/12,13:27:58,317,51,6,"0.086",1,943,"114.22","138.93","1.2","-6.00","+183.30",33388,"15231.73","0.00","50.00",700,"1.2","100.00","300.00"
51,2025/11/12,13:28:00,320,52,3,"0.085",5,974,"157.29","93.52","1.6","-3.00","-5.00",33388,"15212.86","0.00","50.00",700,"1.2","100.00","300.00"
52,2025/11/12,13:28:03,325,53,1,"0.089",3,741,"123.24","97.20","1.2","-7.34","-216.35",33388,"15228.51","0.00","50.00",700,"1.2","100.00","300.00"
53,2025/11/12,13:28:05,338,54,7,"0.085",4,453,"33.76","60.47","1.7","+6.34","+283.13",33388,"16277.50","0.00","50.00",700,"1.2","100.00","300.00"
54,2025/11/12,13:28:08,344,55,6,"0.086",1,1000,"101.87","87.85","1.1","-6.67","+51.08",33388,"16285.19","0.00","50.00",700,"1.2","100.00","300.00"
55,2025/11/12,13:28:10,348,56,4,"0.085",3,941,"110.55","86.18","1.2","-4.34","-161.26",33388,"16295.26","0.00","50.00",700,"1.2","100.00","300.00"
56,2025/11/12,13:28:13,359,57,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"16898.03","0.00","50.00",700,"1.2","100.00","300.00"
57,2025/11/12,13:28:15,366,58,7,"0.086",1,974,"115.22","138.60","1.2","-22.70","+128.87",33388,"17306.20","0.00","50.00",700,"1.2","100.00","300.00"
58,2025/11/12,13:28:18,369,59,3,"0.101",1,998,"108.88","85.84","1.2","-25.04","-43.73",33388,"17278.27","0.00","50.00",700,"1.2","100.00","300.00"
59,2025/11/12,13:28:20,370,60,1,"0.087",1,933,"97.86","121.90","1.2","+12.35","+149.24",33388,"17696.65","0.00","50.00",700,"1.2","100.00","300.00"
60,2025/11/12,13:28:23,371,61,1,"0.093",1,995,"118.23","111.22","1.0","+4.34","+138.56",33388,"17985.35","0.00","50.00",700,"1.2","100.00","300.00"
