"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,09:43:33,1260,1,5,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"123.07","0.00","50.00",800,"1.2","100.00","300.00"
1,2025/11/12,09:43:36,1267,2,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"402.26","0.00","50.00",800,"1.2","100.00","300.00"
2,2025/11/12,09:43:38,1274,3,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"711.25","0.00","50.00",800,"1.2","100.00","300.00"
3,2025/11/12,09:43:41,1281,4,7,"0.088",6,824,"54.12","64.80","1.1","-127.20","-41.06",33388,"977.69","0.00","50.00",800,"1.2","100.00","300.00"
4,2025/11/12,09:43:43,1283,5,2,"0.086",4,645,"62.13","62.13","1.0","-129.21","-93.48",33388,"1004.17","0.00","50.00",800,"1.2","100.00","300.00"
5,2025/11/12,09:43:46,1296,6,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1611.53","0.00","50.00",800,"1.2","100.00","300.00"
6,2025/11/12,09:43:48,1303,7,7,"0.087",1,997,"142.26","120.56","1.1","+2.67","+161.93",33388,"2081.19","0.00","50.00",800,"1.2","100.00","300.00"
7,2025/11/12,09:43:51,1311,8,8,"0.086",3,999,"120.56","114.55","1.0","+9.34","-158.59",33388,"2080.02","0.00","50.00",800,"1.2","100.00","300.00"
8,2025/11/12,09:43:53,1313,9,2,"0.085",5,969,"137.25","68.14","2.0","-3.33","-218.35",33388,"2100.88","0.00","50.00",800,"1.2","100.00","300.00"
9,2025/11/12,09:43:56,1325,10,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2823.37","0.00","50.00",800,"1.2","100.00","300.00"
10,2025/11/12,09:43:59,1331,11,6,"0.086",1,984,"121.89","107.20","1.1","+91.14","+186.30",33388,"3212.65","0.00","50.00",800,"1.2","100.00","300.00"
11,2025/11/12,09:44:01,1333,12,2,"0.085",1,993,"105.87","131.58","1.2","+74.45","+15.69",33388,"3230.19","0.00","50.00",800,"1.2","100.00","300.00"
12,2025/11/12,09:44:04,1335,13,2,"0.086",6,835,"71.81","76.15","1.0","+58.76","-227.37",33388,"3277.78","0.00","50.00",800,"1.2","100.00","300.00"
13,2025/11/12,09:44:06,1348,14,7,"0.104",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4023.00","0.00","50.00",800,"1.2","100.00","300.00"
14,2025/11/12,09:44:09,1355,15,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4331.66","0.00","50.00",800,"1.2","100.00","300.00"
15,2025/11/12,09:44:11,1363,16,8,"0.082",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4647.12","0.00","50.00",800,"1.2","100.00","300.00"
16,2025/11/12,09:44:14,1370,17,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"4926.51","0.00","50.00",800,"1.2","100.00","300.00"
17,2025/11/12,09:44:16,1377,18,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5218.75","0.00","50.00",800,"1.2","100.00","300.00"
18,2025/11/12,09:44:19,1384,19,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5526.07","0.00","50.00",800,"1.2","100.00","300.00"
19,2025/11/12,09:44:21,1391,20,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5834.23","0.00","50.00",800,"1.2","100.00","300.00"
20,2025/11/12,09:44:24,1399,21,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6152.36","0.00","50.00",800,"1.2","100.00","300.00"
21,2025/11/12,09:44:26,1406,22,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6429.72","0.00","50.00",800,"1.2","100.00","300.00"
22,2025/11/12,09:44:29,1413,23,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"6733.71","0.00","50.00",800,"1.2","100.00","300.00"
23,2025/11/12,09:44:31,1421,24,8,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7052.25","0.00","50.00",800,"1.2","100.00","300.00"
24,2025/11/12,09:44:34,1428,25,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7333.41","0.00","50.00",800,"1.2","100.00","300.00"
25,2025/11/12,09:44:37,1436,26,8,"0.105",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7647.09","0.00","50.00",800,"1.2","100.00","300.00"
26,2025/11/12,09:44:39,1443,27,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7922.58","0.00","50.00",800,"1.2","100.00","300.00"
27,2025/11/12,09:44:42,1450,28,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"8230.69","0.00","50.00",800,"1.2","100.00","300.00"
28,2025/11/12,09:44:44,1457,29,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"8538.37","0.00","50.00",800,"1.2","100.00","300.00"
29,2025/11/12,09:44:47,1465,30,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"8854.01","0.00","50.00",800,"1.2","100.00","300.00"
30,2025/11/12,09:44:49,1472,31,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"9133.79","0.00","50.00",800,"1.2","100.00","300.00"
31,2025/11/12,09:44:52,1479,32,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"9439.90","0.00","50.00",800,"1.2","100.00","300.00"
32,2025/11/12,09:44:54,1487,33,8,"0.105",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"9759.15","0.00","50.00",800,"1.2","100.00","300.00"
33,2025/11/12,09:44:57,1494,34,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"10039.76","0.00","50.00",800,"1.2","100.00","300.00"
34,2025/11/12,09:44:59,1501,35,7,"0.086",4,379,"71.81","69.47","1.0","-133.21","+215.35",33388,"10561.25","0.00","50.00",800,"1.2","100.00","300.00"
35,2025/11/12,09:45:02,1504,36,3,"0.086",8,953,"109.54","88.17","1.2","-132.88","+82.46",33388,"10548.58","0.00","50.00",800,"1.2","100.00","300.00"
36,2025/11/12,09:45:04,1516,37,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"10943.47","0.00","50.00",800,"1.2","100.00","300.00"
37,2025/11/12,09:45:07,1523,38,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"11228.30","0.00","50.00",800,"1.2","100.00","300.00"
38,2025/11/12,09:45:09,1528,39,5,"0.086",6,990,"73.15","77.15","1.0","-79.79","+174.28",33388,"11641.10","0.00","50.00",800,"1.2","100.00","300.00"
39,2025/11/12,09:45:12,1537,40,7,"0.102",1,984,"142.26","120.56","1.1","-69.78","+168.94",33388,"11992.06","0.00","50.00",800,"1.2","100.00","300.00"
