"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,10:14:45,170,1,5,"0.086",6,998,"60.13","73.82","1.2","+3.67","+254.08",33388,"360.49","0.00","125.00",800,"1.2","105.00","300.00"
1,2025/11/11,10:14:48,172,2,2,"0.086",6,977,"64.80","69.47","1.0","+4.00","+144.57",33388,"358.97","0.00","125.00",800,"1.2","105.00","300.00"
2,2025/11/11,10:14:50,181,3,4,"0.087",1,988,"125.23","115.88","1.0","-44.73","+189.30",33388,"787.95","0.00","125.00",800,"1.2","105.00","300.00"
3,2025/11/11,10:14:53,189,4,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1035.81","0.00","125.00",800,"1.2","105.00","300.00"
4,2025/11/11,10:14:55,196,5,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1312.91","0.00","125.00",800,"1.2","105.00","300.00"
5,2025/11/11,10:14:58,203,6,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1618.35","0.00","125.00",800,"1.2","105.00","300.00"
6,2025/11/11,10:15:00,211,7,8,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1930.91","0.00","125.00",800,"1.2","105.00","300.00"
7,2025/11/11,10:15:03,218,8,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2206.49","0.00","125.00",800,"1.2","105.00","300.00"
8,2025/11/11,10:15:05,225,9,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2508.29","0.00","125.00",800,"1.2","105.00","300.00"
9,2025/11/11,10:15:08,231,10,6,"0.086",9,998,"106.20","113.55","1.0","-51.41","+218.35",33388,"2989.11","0.00","125.00",800,"1.2","105.00","300.00"
10,2025/11/11,10:15:10,233,11,1,"0.104",1,1000,"93.85","111.88","1.1","-49.41","+105.17",33388,"2980.28","0.00","125.00",800,"1.2","105.00","300.00"
11,2025/11/11,10:15:13,233,11,1,"0.104",0,1000,"93.85","111.88","1.1","-49.41","+105.17",33388,"2980.28","0.00","125.00",800,"1.2","105.00","300.00"
12,2025/11/11,10:15:15,233,11,1,"0.104",0,1000,"93.85","111.88","1.1","-49.41","+105.17",33388,"2980.28","0.00","125.00",800,"1.2","105.00","300.00"
13,2025/11/11,10:15:18,233,11,1,"0.104",0,1000,"93.85","111.88","1.1","-49.41","+105.17",33388,"2980.28","0.00","125.00",800,"1.2","105.00","300.00"
14,2025/11/11,10:15:20,233,11,1,"0.104",0,1000,"93.85","111.88","1.1","-49.41","+105.17",33388,"2980.28","0.00","125.00",800,"1.2","105.00","300.00"
