"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,13:51:28,1845,1,3,"0.102",1,994,"107.54","100.86","1.0","-16.36","-76.12",33388,"-35.38","0.00","125.00",800,"1.2","100.00","300.00"
1,2025/11/11,13:51:30,1852,2,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"458.59","0.00","125.00",800,"1.2","100.00","300.00"
2,2025/11/11,13:51:33,1859,3,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"767.64","0.00","125.00",800,"1.2","100.00","300.00"
3,2025/11/11,13:51:35,1861,4,2,"0.086",6,859,"55.12","47.10","1.1","-28.04","+72.45",33388,"949.71","0.00","125.00",800,"1.2","100.00","300.00"
4,2025/11/11,13:51:38,1872,5,6,"0.086",4,382,"84.83","77.15","1.0","+55.75","+16.69",33388,"1334.97","0.00","125.00",800,"1.2","100.00","300.00"
5,2025/11/11,13:51:40,1880,6,7,"0.085",5,950,"55.12","74.82","1.3","+34.72","+44.73",33388,"1710.95","0.00","125.00",800,"1.2","100.00","300.00"
6,2025/11/11,13:51:43,1884,7,4,"0.101",6,951,"39.76","39.43","1.0","+36.39","-156.25",33388,"1695.70","0.00","125.00",800,"1.2","100.00","300.00"
7,2025/11/11,13:51:45,1893,8,6,"0.088",6,904,"58.12","71.14","1.2","-57.76","+133.55",33388,"2372.00","0.00","125.00",800,"1.2","100.00","300.00"
8,2025/11/11,13:51:48,1897,9,3,"0.086",6,839,"55.45","59.79","1.0","-58.42","-35.39",33388,"2363.30","0.00","125.00",800,"1.2","100.00","300.00"
9,2025/11/11,13:51:50,1909,10,7,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2875.01","0.00","125.00",800,"1.2","100.00","300.00"
10,2025/11/11,13:51:53,1912,11,3,"0.086",6,837,"50.11","62.13","1.2","+42.40","+113.18",33388,"3109.27","0.00","125.00",800,"1.2","100.00","300.00"
11,2025/11/11,13:51:55,1924,12,7,"0.086",8,999,"109.54","112.21","1.0","+117.85","+20.03",33388,"3496.12","0.00","125.00",800,"1.2","100.00","300.00"
12,2025/11/11,13:51:58,1930,13,6,"0.086",1,926,"119.56","103.20","1.1","+95.82","+177.62",33388,"3921.92","0.00","125.00",800,"1.2","100.00","300.00"
13,2025/11/11,13:52:00,1938,14,8,"0.085",5,847,"67.47","105.20","1.5","+12.68","+109.17",33388,"4208.92","0.00","125.00",800,"1.2","100.00","300.00"
14,2025/11/11,13:52:03,1944,15,6,"0.087",1,906,"88.84","104.20","1.1","+19.36","-142.23",33388,"4196.59","0.00","125.00",800,"1.2","100.00","300.00"
15,2025/11/11,13:52:05,1945,16,1,"0.092",1,982,"118.89","134.92","1.1","+56.75","+143.56",33388,"4571.30","0.00","125.00",800,"1.2","100.00","300.00"
16,2025/11/11,13:52:08,1946,17,1,"0.093",1,870,"115.55","115.55","1.0","+64.43","-181.96",33388,"4547.31","0.00","125.00",800,"1.2","100.00","300.00"
17,2025/11/11,13:52:10,1953,18,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5268.62","0.00","125.00",800,"1.2","100.00","300.00"
18,2025/11/11,13:52:13,1960,19,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5578.48","0.00","125.00",800,"1.2","100.00","300.00"
19,2025/11/11,13:52:16,1967,20,7,"0.084",8,938,"132.58","138.59","1.0","+101.49","+139.56",33388,"6023.13","0.00","125.00",800,"1.2","100.00","300.00"
20,2025/11/11,13:52:18,1970,21,3,"0.086",1,984,"122.56","130.24","1.0","+96.82","+9.01",33388,"6017.02","0.00","125.00",800,"1.2","100.00","300.00"
21,2025/11/11,13:52:21,1974,22,4,"0.086",1,998,"125.23","138.92","1.1","+95.82","+32.72",33388,"6383.92","0.00","125.00",800,"1.2","100.00","300.00"
22,2025/11/11,13:52:23,1978,23,4,"0.085",1,857,"139.92","127.57","1.0","-17.02","+127.87",33388,"6776.26","0.00","125.00",800,"1.2","100.00","300.00"
23,2025/11/11,13:52:26,1979,24,1,"0.093",1,912,"154.95","130.91","1.1","-17.02","-89.47",33388,"6747.51","0.00","125.00",800,"1.2","100.00","300.00"
24,2025/11/11,13:52:28,1983,25,4,"0.085",6,944,"45.77","43.43","1.0","-34.38","-156.58",33388,"7090.64","0.00","125.00",800,"1.2","100.00","300.00"
25,2025/11/11,13:52:31,1993,26,6,"0.087",6,983,"39.76","48.77","1.2","-12.35","+70.44",33388,"7716.43","0.00","125.00",800,"1.2","100.00","300.00"
26,2025/11/11,13:52:33,2002,27,8,"0.086",8,999,"128.57","152.28","1.1","+111.18","+70.44",33388,"8075.82","0.00","125.00",800,"1.2","100.00","300.00"
27,2025/11/11,13:52:36,2005,28,3,"0.085",8,995,"107.87","104.53","1.0","+111.84","-59.76",33388,"8063.65","0.00","125.00",800,"1.2","100.00","300.00"
28,2025/11/11,13:52:38,2016,29,7,"0.086",4,454,"86.50","92.51","1.0","+55.75","+239.05",33388,"8829.42","0.00","125.00",800,"1.2","100.00","300.00"
29,2025/11/11,13:52:41,2024,30,8,"0.087",4,683,"46.10","51.78","1.1","+26.37","-68.44",33388,"8842.27","0.00","125.00",800,"1.2","100.00","300.00"
30,2025/11/11,13:52:43,2031,31,7,"0.087",6,997,"99.19","79.16","1.2","+94.48","-6.34",33388,"9180.07","0.00","125.00",800,"1.2","100.00","300.00"
31,2025/11/11,13:52:46,2038,32,7,"0.086",1,963,"85.50","109.87","1.2","+31.71","+36.72",33388,"9529.54","0.00","125.00",800,"1.2","100.00","300.00"
32,2025/11/11,13:52:48,2045,33,7,"0.085",9,899,"84.83","104.20","1.2","+23.70","-226.70",33388,"9550.04","0.00","125.00",800,"1.2","100.00","300.00"
33,2025/11/11,13:52:51,2053,34,7,"0.086",4,630,"43.10","38.76","1.1","+118.52","+190.31",33388,"10284.27","0.00","125.00",800,"1.2","100.00","300.00"
34,2025/11/11,13:52:53,2061,35,8,"0.086",6,889,"67.47","56.12","1.2","+93.82","-136.89",33388,"10278.24","0.00","125.00",800,"1.2","100.00","300.00"
35,2025/11/11,13:52:56,2068,36,7,"0.086",6,985,"73.48","59.79","1.2","+132.88","+58.76",33388,"10751.38","0.00","125.00",800,"1.2","100.00","300.00"
36,2025/11/11,13:52:58,2074,37,6,"0.086",6,911,"79.83","64.13","1.2","+127.54","-135.55",33388,"10829.01","0.00","125.00",800,"1.2","100.00","300.00"
37,2025/11/11,13:53:01,2076,38,1,"0.086",4,312,"82.83","59.79","1.3","+126.87","-191.98",33388,"10851.03","0.00","125.00",800,"1.2","100.00","300.00"
38,2025/11/11,13:53:03,2089,39,7,"0.086",8,998,"114.88","92.85","1.2","+97.82","+47.41",33388,"11637.67","0.00","125.00",800,"1.2","100.00","300.00"
39,2025/11/11,13:53:06,2096,40,7,"0.086",6,973,"39.43","51.11","1.2","+97.49","+105.50",33388,"12003.93","0.00","125.00",800,"1.2","100.00","300.00"
40,2025/11/11,13:53:08,2099,41,3,"0.086",6,896,"46.77","60.46","1.2","+94.15","-30.04",33388,"12013.93","0.00","125.00",800,"1.2","100.00","300.00"
41,2025/11/11,13:53:11,2110,42,7,"0.087",5,999,"90.18","117.55","1.3","+147.24","+235.05",33388,"12721.54","0.00","125.00",800,"1.2","100.00","300.00"
42,2025/11/11,13:53:13,2117,43,7,"0.088",8,972,"97.85","117.22","1.1","+121.19","-83.80",33388,"12727.00","0.00","125.00",800,"1.2","100.00","300.00"
43,2025/11/11,13:53:16,2124,44,7,"0.085",8,985,"136.25","126.23","1.0","+125.87","+12.68",33388,"13102.37","0.00","125.00",800,"1.2","100.00","300.00"
44,2025/11/11,13:53:18,2127,45,3,"0.086",8,941,"134.25","113.55","1.1","+121.19","-134.88",33388,"13100.90","0.00","125.00",800,"1.2","100.00","300.00"
45,2025/11/11,13:53:21,2139,46,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"13711.81","0.00","125.00",800,"1.2","100.00","300.00"
46,2025/11/11,13:53:24,2147,47,8,"0.086",1,869,"131.58","107.54","1.2","+32.72","+131.88",33388,"14100.62","0.00","125.00",800,"1.2","100.00","300.00"
47,2025/11/11,13:53:27,2153,48,6,"0.086",1,997,"121.89","100.86","1.2","+5.67","-156.58",33388,"14053.31","0.00","125.00",800,"1.2","100.00","300.00"
48,2025/11/11,13:53:30,2158,49,5,"0.086",6,975,"63.47","65.13","1.0","+68.11","-79.79",33388,"14430.33","0.00","125.00",800,"1.2","100.00","300.00"
49,2025/11/11,13:53:32,2168,50,7,"0.085",6,983,"74.48","80.49","1.0","-6.34","+235.05",33388,"15143.58","0.00","125.00",800,"1.2","100.00","300.00"
50,2025/11/11,13:53:35,2175,51,7,"0.085",6,997,"60.13","67.47","1.1","-9.01","-48.07",33388,"15143.89","0.00","125.00",800,"1.2","100.00","300.00"
51,2025/11/11,13:53:37,2178,52,2,"0.086",1,985,"124.23","142.59","1.1","-41.73","+173.95",33388,"15486.36","0.00","125.00",800,"1.2","100.00","300.00"
52,2025/11/11,13:53:40,2179,53,1,"0.093",1,999,"125.23","120.89","1.0","-41.73","-82.13",33388,"15468.17","0.00","125.00",800,"1.2","100.00","300.00"
53,2025/11/11,13:53:42,2180,54,1,"0.086",1,969,"117.55","116.55","1.0","-60.43","-61.10",33388,"15789.75","0.00","125.00",800,"1.2","100.00","300.00"
54,2025/11/11,13:53:45,2187,55,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"16399.81","0.00","125.00",800,"1.2","100.00","300.00"
55,2025/11/11,13:53:47,2194,56,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"16705.64","0.00","125.00",800,"1.2","100.00","300.00"
56,2025/11/11,13:53:50,2201,57,7,"0.087",4,543,"42.76","35.42","1.2","+21.70","+290.14",33388,"17303.53","0.00","125.00",800,"1.2","100.00","300.00"
57,2025/11/11,13:53:52,2207,58,6,"0.087",1,1000,"104.20","94.52","1.1","+34.05","+66.10",33388,"17318.96","0.00","125.00",800,"1.2","100.00","300.00"
58,2025/11/11,13:53:55,2208,59,1,"0.093",1,995,"103.86","85.83","1.2","+32.38","-53.75",33388,"17300.72","0.00","125.00",800,"1.2","100.00","300.00"
59,2025/11/11,13:53:57,2212,60,4,"0.105",6,965,"49.78","49.78","1.0","+25.37","-84.13",33388,"17693.63","0.00","125.00",800,"1.2","100.00","300.00"
60,2025/11/11,13:54:00,2223,61,7,"0.086",9,997,"137.25","113.88","1.2","-63.10","+205.33",33388,"18424.03","0.00","125.00",800,"1.2","100.00","300.00"
61,2025/11/11,13:54:02,2224,62,1,"0.100",1,976,"138.92","121.23","1.1","-62.76","+167.27",33388,"18425.04","0.00","125.00",800,"1.2","100.00","300.00"
62,2025/11/11,13:54:05,2225,63,1,"0.093",1,874,"106.87","137.92","1.2","+28.71","+182.29",33388,"18738.81","0.00","125.00",800,"1.2","100.00","300.00"
