"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,13:41:01,1104,1,2,"0.111",4,368,"127.58","88.51","1.4","+73.78","-213.01",33388,"-142.73","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,13:41:03,1112,2,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"388.09","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,13:41:06,1119,3,7,"0.082",5,886,"184.34","100.87","1.8","-3.33","+255.08",33388,"944.04","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,13:41:08,1124,4,5,"0.085",1,723,"128.91","100.87","1.2","-17.02","+57.42",33388,"946.78","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,13:41:11,1132,5,8,"0.081",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"1302.51","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,13:41:13,1139,6,7,"0.088",8,1000,"95.53","101.87","1.0","+110.51","+28.04",33388,"1609.68","0.00","50.00",700,"1.2","100.00","300.00"
