"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,13:34:28,639,1,3,"0.087",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"38353.88","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,13:34:30,646,2,7,"0.101",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"38661.55","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,13:34:33,653,3,7,"0.085",1,1000,"97.19","100.19","1.0","-56.75","+130.54",33388,"39073.27","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,13:34:35,660,4,7,"0.085",3,998,"119.89","107.87","1.1","-56.75","-174.61",33388,"39073.28","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,13:34:38,661,5,1,"0.087",5,983,"101.19","46.77","2.1","-56.75","-219.35",33388,"39096.81","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,13:34:40,672,6,5,"0.086",8,976,"133.58","121.23","1.1","-109.84","+252.41",33388,"40011.01","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,13:34:43,679,7,4,"0.085",8,985,"108.87","98.86","1.1","-109.51","-12.35",33388,"40022.86","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,13:34:45,685,8,3,"0.086",1,838,"137.92","151.94","1.1","-34.05","+182.96",33388,"40483.48","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,13:34:48,690,9,5,"0.086",1,942,"129.91","103.86","1.2","-10.01","+177.62",33388,"40842.58","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,13:34:50,691,10,1,"0.092",1,995,"127.24","129.57","1.0","-3.67","+21.70",33388,"40826.58","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,13:34:53,699,11,8,"0.086",6,865,"51.45","53.11","1.0","+29.04","+159.26",33388,"41543.03","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,13:34:55,701,12,2,"0.086",6,828,"51.78","43.43","1.1","+29.38","+82.46",33388,"41546.86","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,13:34:58,714,13,8,"0.086",6,998,"67.14","57.79","1.1","+58.76","-76.45",33388,"41907.43","0.00","50.00",700,"1.2","100.00","300.00"
13,2025/11/12,13:35:00,716,14,2,"0.085",6,896,"75.82","71.81","1.0","+64.10","-156.92",33388,"41907.48","0.00","50.00",700,"1.2","100.00","300.00"
14,2025/11/12,13:35:03,724,15,3,"0.086",4,543,"23.73","27.07","1.1","-41.06","-132.55",33388,"42276.01","0.00","50.00",700,"1.2","100.00","300.00"
15,2025/11/12,13:35:05,736,16,8,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"42883.76","0.00","50.00",700,"1.2","100.00","300.00"
16,2025/11/12,13:35:08,742,17,6,"0.085",1,857,"132.58","109.87","1.2","+44.73","+190.31",33388,"43313.95","0.00","50.00",700,"1.2","100.00","300.00"
17,2025/11/12,13:35:10,743,18,1,"0.083",1,982,"156.28","120.89","1.2","+44.07","+81.80",33388,"43294.49","0.00","50.00",700,"1.2","100.00","300.00"
18,2025/11/12,13:35:13,751,19,8,"0.086",5,981,"76.82","49.44","1.5","-18.69","+289.14",33388,"44078.43","0.00","50.00",700,"1.2","100.00","300.00"
19,2025/11/12,13:35:15,756,20,5,"0.086",1,997,"88.51","101.86","1.1","-20.03","+117.85",33388,"44105.14","0.00","50.00",700,"1.2","100.00","300.00"
20,2025/11/12,13:35:18,763,21,7,"0.085",6,999,"84.17","79.16","1.0","+52.75","+38.73",33388,"44395.61","0.00","50.00",700,"1.2","100.00","300.00"
21,2025/11/12,13:35:20,765,22,2,"0.086",1,990,"101.86","100.86","1.0","+45.07","-80.13",33388,"44385.72","0.00","50.00",700,"1.2","100.00","300.00"
22,2025/11/12,13:35:23,773,23,8,"0.086",1,960,"114.88","131.24","1.1","+7.67","+132.21",33388,"45126.54","0.00","50.00",700,"1.2","100.00","300.00"
23,2025/11/12,13:35:25,780,24,7,"0.087",6,1000,"88.17","89.84","1.0","+7.01","+133.21",33388,"45404.00","0.00","50.00",700,"1.2","100.00","300.00"
24,2025/11/12,13:35:28,781,25,1,"0.104",1,1000,"111.88","101.19","1.1","+6.67","+95.15",33388,"45404.60","0.00","50.00",700,"1.2","100.00","300.00"
25,2025/11/12,13:35:30,784,26,3,"0.086",1,891,"92.18","112.21","1.2","-12.68","+167.60",33388,"45867.64","0.00","50.00",700,"1.2","100.00","300.00"
26,2025/11/12,13:35:33,791,27,7,"0.086",5,879,"136.25","59.46","2.2","+24.03","+287.47",33388,"46451.91","0.00","50.00",700,"1.2","100.00","300.00"
27,2025/11/12,13:35:35,793,28,2,"0.086",9,767,"168.64","133.58","1.2","+5.00","+202.99",33388,"46475.43","0.00","50.00",700,"1.2","100.00","300.00"
28,2025/11/12,13:35:38,800,29,2,"0.086",1,951,"142.93","119.89","1.1","+24.03","+194.31",33388,"46770.24","0.00","50.00",700,"1.2","100.00","300.00"
29,2025/11/12,13:35:40,807,30,7,"0.087",1,887,"122.90","102.53","1.1","+49.41","+110.18",33388,"47174.86","0.00","50.00",700,"1.2","100.00","300.00"
30,2025/11/12,13:35:43,814,31,7,"0.086",1,971,"117.55","120.22","1.0","-3.67","+156.92",33388,"47522.92","0.00","50.00",700,"1.2","100.00","300.00"
31,2025/11/12,13:35:45,819,32,5,"0.085",1,878,"119.89","132.24","1.1","-7.34","-70.11",33388,"47504.69","0.00","50.00",700,"1.2","100.00","300.00"
32,2025/11/12,13:35:48,820,33,1,"0.086",1,998,"130.91","111.54","1.1","-49.41","+143.90",33388,"47869.66","0.00","50.00",700,"1.2","100.00","300.00"
33,2025/11/12,13:35:50,823,34,3,"0.086",5,941,"105.53","63.13","1.6","-56.42","-217.02",33388,"47885.78","0.00","50.00",700,"1.2","100.00","300.00"
34,2025/11/12,13:35:53,835,35,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"48582.44","0.00","50.00",700,"1.2","100.00","300.00"
35,2025/11/12,13:35:55,841,36,6,"0.086",1,989,"115.22","115.55","1.0","+64.10","+168.60",33388,"48986.84","0.00","50.00",700,"1.2","100.00","300.00"
36,2025/11/12,13:35:58,842,37,1,"0.085",1,842,"112.21","118.22","1.0","+53.75","+31.71",33388,"48963.22","0.00","50.00",700,"1.2","100.00","300.00"
37,2025/11/12,13:36:00,849,38,7,"0.085",9,997,"145.60","115.55","1.2","+63.10","+210.01",33388,"49679.26","0.00","50.00",700,"1.2","100.00","300.00"
38,2025/11/12,13:36:03,850,39,1,"0.087",1,997,"158.29","125.90","1.2","+63.77","+134.88",33388,"49671.32","0.00","50.00",700,"1.2","100.00","300.00"
39,2025/11/12,13:36:05,858,40,8,"0.086",5,989,"131.58","57.12","2.3","-68.11","+286.46",33388,"50391.94","0.00","50.00",700,"1.2","100.00","300.00"
40,2025/11/12,13:36:08,861,41,3,"0.086",1,779,"133.58","147.94","1.1","-50.41","+197.32",33388,"50422.68","0.00","50.00",700,"1.2","100.00","300.00"
41,2025/11/12,13:36:10,862,42,1,"0.092",1,919,"89.84","111.54","1.2","+47.41","+198.32",33388,"50625.04","0.00","50.00",700,"1.2","100.00","300.00"
42,2025/11/12,13:36:13,865,43,3,"0.104",5,865,"95.85","54.12","1.7","+40.39","-164.60",33388,"50640.72","0.00","50.00",700,"1.2","100.00","300.00"
43,2025/11/12,13:36:16,874,44,4,"0.086",1,996,"108.87","122.90","1.1","+16.69","+198.32",33388,"51358.72","0.00","50.00",700,"1.2","100.00","300.00"
44,2025/11/12,13:36:18,875,45,1,"0.093",1,984,"129.57","108.87","1.1","+16.36","+2.33",33388,"51339.50","0.00","50.00",700,"1.2","100.00","300.00"
45,2025/11/12,13:36:21,882,46,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"51882.56","0.00","50.00",700,"1.2","100.00","300.00"
46,2025/11/12,13:36:23,889,47,7,"0.087",5,994,"123.23","59.12","2.0","+64.77","+282.46",33388,"52471.26","0.00","50.00",700,"1.2","100.00","300.00"
47,2025/11/12,13:36:26,893,48,4,"0.086",1,838,"126.23","104.20","1.2","+64.77","+149.24",33388,"52495.49","0.00","50.00",700,"1.2","100.00","300.00"
48,2025/11/12,13:36:28,895,49,2,"0.085",1,871,"121.89","126.57","1.0","+70.78","-96.82",33388,"52478.38","0.00","50.00",700,"1.2","100.00","300.00"
49,2025/11/12,13:36:31,896,50,1,"0.086",1,836,"124.90","132.24","1.0","-1.00","+144.23",33388,"52982.84","0.00","50.00",700,"1.2","100.00","300.00"
50,2025/11/12,13:36:33,899,51,3,"0.087",6,767,"83.50","66.80","1.2","-19.03","-216.68",33388,"53003.89","0.00","50.00",700,"1.2","100.00","300.00"
51,2025/11/12,13:36:36,910,52,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"53688.55","0.00","50.00",700,"1.2","100.00","300.00"
