"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,15:13:10,8392,1,5,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"120.43","0.00","125.00",800,"1.2","100.00","300.00"
1,2025/11/11,15:13:13,8399,2,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"400.97","0.00","125.00",800,"1.2","100.00","300.00"
2,2025/11/11,15:13:15,8406,3,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"707.85","0.00","125.00",800,"1.2","100.00","300.00"
3,2025/11/11,15:13:18,8413,4,7,"0.086",6,998,"97.86","93.19","1.0","+11.01","+229.04",33388,"1242.56","0.00","125.00",800,"1.2","100.00","300.00"
4,2025/11/11,15:13:20,8414,5,1,"0.086",1,993,"113.22","88.85","1.2","+6.67","+169.27",33388,"1251.10","0.00","125.00",800,"1.2","100.00","300.00"
5,2025/11/11,15:13:23,8421,6,7,"0.086",4,445,"26.75","34.09","1.2","+4.00","+4.67",33388,"1615.17","0.00","125.00",800,"1.2","100.00","300.00"
6,2025/11/11,15:13:25,8428,7,7,"0.086",4,579,"71.49","18.73","3.8","-22.70","+300.49",33388,"2219.51","0.00","125.00",800,"1.2","100.00","300.00"
7,2025/11/11,15:13:28,8432,8,4,"0.086",1,1000,"101.54","88.85","1.1","-22.03","+150.57",33388,"2254.97","0.00","125.00",800,"1.2","100.00","300.00"
8,2025/11/11,15:13:30,8433,9,1,"0.088",6,995,"98.53","81.84","1.2","-14.02","-29.04",33388,"2237.86","0.00","125.00",800,"1.2","100.00","300.00"
9,2025/11/11,15:13:33,8447,10,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2825.17","0.00","125.00",800,"1.2","100.00","300.00"
10,2025/11/11,15:13:35,8454,11,7,"0.086",4,525,"51.79","33.76","1.5","+5.34","+153.25",33388,"3259.92","0.00","125.00",800,"1.2","100.00","300.00"
11,2025/11/11,15:13:38,8462,12,7,"0.081",4,472,"39.77","44.11","1.1","-12.35","+202.99",33388,"3629.07","0.00","125.00",800,"1.2","100.00","300.00"
