"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,14:33:05,4742,1,5,"0.085",6,998,"58.12","56.45","1.0","-43.73","+108.17",33388,"226.08","0.00","125.00",800,"1.2","100.00","300.00"
1,2025/11/11,14:33:07,4748,2,6,"0.086",6,921,"67.81","59.46","1.1","-36.72","-113.85",33388,"247.65","0.00","125.00",800,"1.2","100.00","300.00"
2,2025/11/11,14:33:10,4754,3,5,"0.086",6,941,"66.80","65.47","1.0","-69.44","+30.38",33388,"656.90","0.00","125.00",800,"1.2","100.00","300.00"
3,2025/11/11,14:33:12,4763,4,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1013.38","0.00","125.00",800,"1.2","100.00","300.00"
4,2025/11/11,14:33:15,4770,5,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1320.85","0.00","125.00",800,"1.2","100.00","300.00"
5,2025/11/11,14:33:17,4778,6,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"1637.47","0.00","125.00",800,"1.2","100.00","300.00"
6,2025/11/11,14:33:20,4784,7,6,"0.104",4,712,"30.08","34.75","1.1","-65.10","+56.09",33388,"1934.05","0.00","125.00",800,"1.2","100.00","300.00"
7,2025/11/11,14:33:22,4793,8,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2237.13","0.00","125.00",800,"1.2","100.00","300.00"
8,2025/11/11,14:33:25,4800,9,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2517.98","0.00","125.00",800,"1.2","100.00","300.00"
9,2025/11/11,14:33:27,4807,10,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"2825.43","0.00","125.00",800,"1.2","100.00","300.00"
10,2025/11/11,14:33:30,4810,11,3,"0.086",1,964,"110.88","104.20","1.0","+50.74","+194.31",33388,"3139.26","0.00","125.00",800,"1.2","100.00","300.00"
11,2025/11/11,14:33:32,4812,12,2,"0.084",1,960,"104.20","87.84","1.1","+49.41","-80.79",33388,"3118.16","0.00","125.00",800,"1.2","100.00","300.00"
12,2025/11/11,14:33:35,4820,13,8,"0.086",4,376,"53.45","73.15","1.3","-54.08","+114.18",33388,"3852.21","0.00","125.00",800,"1.2","100.00","300.00"
13,2025/11/11,14:33:37,4826,14,6,"0.086",9,998,"101.53","103.86","1.0","-53.75","+211.67",33388,"4189.09","0.00","125.00",800,"1.2","100.00","300.00"
14,2025/11/11,14:33:40,4829,15,2,"0.086",1,998,"104.87","89.51","1.1","-49.08","+67.44",33388,"4193.26","0.00","125.00",800,"1.2","100.00","300.00"
15,2025/11/11,14:33:42,4830,16,1,"0.092",1,988,"110.21","107.87","1.0","-8.34","+194.31",33388,"4568.13","0.00","125.00",800,"1.2","100.00","300.00"
16,2025/11/11,14:33:45,4837,17,7,"0.087",6,949,"69.81","76.49","1.0","-52.75","+26.37",33388,"4943.79","0.00","125.00",800,"1.2","100.00","300.00"
17,2025/11/11,14:33:47,4841,18,4,"0.086",1,1000,"101.53","102.20","1.0","+52.41","+135.88",33388,"5240.34","0.00","125.00",800,"1.2","100.00","300.00"
18,2025/11/11,14:33:50,4848,19,7,"0.085",6,995,"81.49","81.16","1.0","-49.41","+34.38",33388,"5545.71","0.00","125.00",800,"1.2","100.00","300.00"
19,2025/11/11,14:33:52,4852,20,4,"0.086",9,995,"102.20","98.19","1.0","-102.83","+249.07",33388,"5948.60","0.00","125.00",800,"1.2","100.00","300.00"
20,2025/11/11,14:33:55,4858,21,3,"0.086",1,998,"89.51","102.86","1.1","-98.16","+8.01",33388,"5975.89","0.00","125.00",800,"1.2","100.00","300.00"
21,2025/11/11,14:33:57,4861,22,3,"0.086",6,996,"59.46","66.14","1.1","-34.38","+72.11",33388,"6322.22","0.00","125.00",800,"1.2","100.00","300.00"
22,2025/11/11,14:34:00,4873,23,7,"0.086",6,808,"32.75","41.43","1.2","-93.82","+240.39",33388,"6965.60","0.00","125.00",800,"1.2","100.00","300.00"
23,2025/11/11,14:34:02,4879,24,6,"0.085",6,960,"53.78","59.12","1.0","-100.16","-12.01",33388,"6982.43","0.00","125.00",800,"1.2","100.00","300.00"
24,2025/11/11,14:34:05,4885,25,5,"0.086",1,982,"121.23","115.88","1.0","-85.80","+94.15",33388,"7328.73","0.00","125.00",800,"1.2","100.00","300.00"
25,2025/11/11,14:34:07,4886,26,1,"0.087",4,761,"127.24","100.53","1.2","-90.14","-61.10",33388,"7311.09","0.00","125.00",800,"1.2","100.00","300.00"
26,2025/11/11,14:34:10,4900,27,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7933.33","0.00","125.00",800,"1.2","100.00","300.00"
27,2025/11/11,14:34:12,4908,28,8,"0.088",6,998,"73.48","78.16","1.0","-18.02","+218.35",33388,"8471.56","0.00","125.00",800,"1.2","100.00","300.00"
28,2025/11/11,14:34:15,4915,29,7,"0.086",9,800,"106.20","115.22","1.0","-96.15","+240.05",33388,"8773.26","0.00","125.00",800,"1.2","100.00","300.00"
29,2025/11/11,14:34:17,4917,30,2,"0.085",1,967,"155.95","199.02","1.2","-90.14","+166.60",33388,"8808.15","0.00","125.00",800,"1.2","100.00","300.00"
