"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/12,14:28:08,3355,1,3,"0.086",6,949,"40.43","47.77","1.1","+24.37","+20.36",33388,"130.97","0.00","50.00",700,"1.2","100.00","300.00"
1,2025/11/12,14:28:11,3358,2,3,"0.085",6,963,"62.80","74.15","1.1","-34.38","+69.78",33388,"487.54","0.00","50.00",700,"1.2","100.00","300.00"
2,2025/11/12,14:28:14,3362,3,4,"0.086",6,975,"78.16","61.13","1.2","-43.40","-72.11",33388,"502.70","0.00","50.00",700,"1.2","100.00","300.00"
3,2025/11/12,14:28:16,3370,4,7,"0.086",5,726,"37.09","55.79","1.5","+5.67","+190.64",33388,"1205.78","0.00","50.00",700,"1.2","100.00","300.00"
4,2025/11/12,14:28:19,3371,5,1,"0.087",6,842,"48.44","56.79","1.1","+4.34","+152.58",33388,"1209.60","0.00","50.00",700,"1.2","100.00","300.00"
5,2025/11/12,14:28:21,3380,6,2,"0.086",1,998,"103.53","90.51","1.1","-13.68","+149.24",33388,"1561.59","0.00","50.00",700,"1.2","100.00","300.00"
6,2025/11/12,14:28:24,3381,7,1,"0.093",5,961,"114.55","83.83","1.3","-25.37","-120.86",33388,"1542.28","0.00","50.00",700,"1.2","100.00","300.00"
7,2025/11/12,14:28:26,3394,8,7,"0.086",6,954,"65.13","79.49","1.2","-9.68","+56.75",33388,"2275.01","0.00","50.00",700,"1.2","100.00","300.00"
8,2025/11/12,14:28:29,3399,9,5,"0.085",1,1000,"96.85","102.86","1.0","-7.67","+199.32",33388,"2614.38","0.00","50.00",700,"1.2","100.00","300.00"
9,2025/11/12,14:28:31,3406,10,7,"0.085",6,989,"61.80","80.16","1.2","-22.03","+154.92",33388,"2959.87","0.00","50.00",700,"1.2","100.00","300.00"
10,2025/11/12,14:28:34,3410,11,4,"0.086",6,890,"57.12","68.14","1.1","-26.71","-26.04",33388,"2963.82","0.00","50.00",700,"1.2","100.00","300.00"
11,2025/11/12,14:28:36,3420,12,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"3411.06","0.00","50.00",700,"1.2","100.00","300.00"
12,2025/11/12,14:28:39,3427,13,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"3717.18","0.00","50.00",700,"1.2","100.00","300.00"
