"採用_2条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,11:10:12,998,1,1,"0.134",1,991,"123.91","99.53","1.2","+39.39","-84.13",33388,"-84.12","0.00","125.00",800,"1.2","120.00","300.00"
1,2025/11/11,11:10:15,1006,2,8,"0.086",6,975,"101.87","85.84","1.1","+122.86","+229.04",33388,"598.07","0.00","125.00",800,"1.2","120.00","300.00"
2,2025/11/11,11:10:17,1013,3,7,"0.085",1,988,"121.90","121.23","1.0","+103.50","-64.10",33388,"524.78","0.00","125.00",800,"1.2","120.00","300.00"
3,2025/11/11,11:10:20,1017,4,4,"0.085",1,994,"127.24","123.91","1.0","+29.38","+182.63",33388,"909.47","0.00","125.00",800,"1.2","120.00","300.00"
4,2025/11/11,11:10:22,1020,5,3,"0.086",1,984,"125.24","123.91","1.0","+23.03","-95.82",33388,"885.75","0.00","125.00",800,"1.2","120.00","300.00"
5,2025/11/11,11:10:25,1028,6,8,"0.086",1,995,"126.91","100.20","1.2","+11.68","+140.22",33388,"1626.35","0.00","125.00",800,"1.2","120.00","300.00"
6,2025/11/11,11:10:27,1035,7,7,"0.086",6,997,"93.19","104.54","1.1","+10.35","-165.27",33388,"1600.06","0.00","125.00",800,"1.2","120.00","300.00"
7,2025/11/11,11:10:30,1043,8,7,"0.085",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2078.86","0.00","125.00",800,"1.2","120.00","300.00"
8,2025/11/11,11:10:32,1050,9,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2386.19","0.00","125.00",800,"1.2","120.00","300.00"
9,2025/11/11,11:10:35,1058,10,8,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2704.02","0.00","125.00",800,"1.2","120.00","300.00"
10,2025/11/11,11:10:37,1065,11,7,"0.086",2,0,"630.36","630.36","1.0","+0.00","+0.00",0,"2977.29","0.00","125.00",800,"1.2","120.00","300.00"
11,2025/11/11,11:10:40,1071,12,6,"0.085",1,887,"107.55","120.23","1.1","+2.00","+128.87",33388,"3370.99","0.00","125.00",800,"1.2","120.00","300.00"
12,2025/11/11,11:10:42,1079,13,8,"0.086",6,996,"80.50","71.49","1.1","-36.05","+165.93",33388,"3770.17","0.00","125.00",800,"1.2","120.00","300.00"
13,2025/11/11,11:10:45,1086,14,7,"0.085",6,1000,"87.18","96.53","1.1","-28.04","-116.85",33388,"3760.50","0.00","125.00",800,"1.2","120.00","300.00"
14,2025/11/11,11:10:47,1088,15,2,"0.085",6,965,"89.18","70.15","1.2","-24.03","-217.68",33388,"3765.36","0.00","125.00",800,"1.2","120.00","300.00"
15,2025/11/11,11:10:50,1101,16,7,"0.086",6,929,"58.80","63.47","1.0","-22.70","-47.74",33388,"4450.36","0.00","125.00",800,"1.2","120.00","300.00"
