"検出 左"
"DATA No","DATE","TIME","検出情報 左 撮像回数","検出情報 左 株番号","検出情報 左 撮像数","検出情報 左 処理時間[s]","検出情報 左 判定値","検出情報 左 スコア","検出情報 左 サイズＸ[mm]","検出情報 左 サイズＹ[mm]","検出情報 左 縦横比","検出情報 左 中心Ｘ[mm]","検出情報 左 中心Ｙ[mm]","検出情報 左 分解能","検出情報 左 積算位置[mm]","検出情報 左 車体昇降[mm]","検出情報 左 外葉押え[mm]","検出情報 左 スコア閾値","検出情報 左 サイズ閾値(小)[mm]","検出情報 左 サイズ閾値(大)[mm]","検出情報 左 縦横比閾値"
0,2025/12/17,13:26:42,5,1,1,1.300000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,13:26:42,6,1,2,1.190000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,9.480000E+02,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,13:26:42,7,1,3,1.330000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.544000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,13:26:43,8,1,4,1.230000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,8.755000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,13:26:54,9,6,1,1.270000E+02,4,489,9.782000E+03,1.171900E+04,1.100000E+01,5.568700E+04,4.486900E+04,3.338800E+04,5.918500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,13:26:54,10,6,2,1.330000E+02,4,524,9.148000E+03,9.849000E+03,1.000000E+01,5.688900E+04,4.203100E+04,3.338800E+04,6.066700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,13:26:55,11,6,3,1.210000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.291900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,13:26:55,12,6,4,1.200000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.719300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,13:26:55,13,6,5,1.210000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.139200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,13:26:56,14,7,1,1.310000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.549600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,13:26:56,15,7,2,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.934900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,13:26:56,16,7,3,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.316000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,13:26:57,17,7,4,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.701800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,13:26:57,18,7,5,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.076200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,13:26:57,19,7,6,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.453800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,13:26:58,20,7,7,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.842000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,13:26:58,21,7,8,1.130000E+02,9,952,2.040000E+04,1.876400E+04,1.000000E+01,6.577000E+03,2.086700E+04,3.338800E+04,1.762600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,13:26:58,22,8,1,1.190000E+02,9,974,1.802900E+04,1.836300E+04,1.000000E+01,7.211000E+03,1.776200E+04,3.338800E+04,1.835600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,13:26:59,23,8,2,1.020000E+02,1,997,1.779500E+04,1.652700E+04,1.000000E+01,7.412000E+03,1.398900E+04,3.338800E+04,1.845100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,13:27:01,24,9,1,1.390000E+02,4,577,1.225300E+04,1.395600E+04,1.100000E+01,5.421800E+04,1.826300E+04,3.338800E+04,4.726500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,13:27:01,25,9,2,1.320000E+02,4,671,1.121800E+04,1.572500E+04,1.400000E+01,5.431800E+04,1.592600E+04,3.338800E+04,4.919700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,13:27:01,26,9,3,1.290000E+02,4,675,1.863000E+04,1.342100E+04,1.300000E+01,5.518600E+04,1.175200E+04,3.338800E+04,4.922300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,13:27:02,27,9,4,1.140000E+02,8,853,1.195200E+04,1.445700E+04,1.200000E+01,5.515300E+04,8.480000E+03,3.338800E+04,5.000800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,13:27:02,28,9,5,1.230000E+02,4,705,1.208600E+04,1.288700E+04,1.000000E+01,5.401800E+04,3.772000E+03,3.338800E+04,4.942800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,13:27:02,29,9,6,1.050000E+02,8,981,1.425600E+04,1.305400E+04,1.000000E+01,5.291600E+04,0.000000E+00,3.338800E+04,4.947300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,13:27:03,30,9,7,1.040000E+02,8,991,1.145200E+04,1.375500E+04,1.200000E+01,5.341700E+04,6.246500E+04,3.338800E+04,5.020700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,13:27:03,31,9,8,9.800000E+01,8,943,1.195200E+04,1.385600E+04,1.100000E+01,5.358400E+04,5.799100E+04,3.338800E+04,4.946400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,13:27:03,32,10,1,1.030000E+02,5,982,1.151800E+04,1.532500E+04,1.300000E+01,5.348300E+04,5.388400E+04,3.338800E+04,4.910200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
28,2025/12/17,13:27:04,33,10,2,1.080000E+02,8,948,1.285400E+04,1.348800E+04,1.000000E+01,5.348300E+04,5.044500E+04,3.338800E+04,4.951300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
29,2025/12/17,13:27:04,34,10,3,1.110000E+02,8,867,1.539100E+04,1.412300E+04,1.000000E+01,5.321600E+04,4.730700E+04,3.338800E+04,5.022800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
30,2025/12/17,13:27:04,35,10,4,1.070000E+02,4,443,1.502400E+04,1.636000E+04,1.000000E+01,5.398400E+04,4.306600E+04,3.338800E+04,4.986200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
31,2025/12/17,13:27:05,36,10,5,1.100000E+02,8,967,1.449000E+04,1.352200E+04,1.000000E+01,5.385100E+04,4.009500E+04,3.338800E+04,5.076700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
32,2025/12/17,13:27:05,37,10,6,1.160000E+02,5,944,1.489100E+04,8.814000E+03,1.600000E+01,5.398400E+04,3.789100E+04,3.338800E+04,5.243900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
33,2025/12/17,13:27:05,38,10,7,1.150000E+02,4,506,1.318800E+04,7.011000E+03,1.800000E+01,5.411800E+04,3.675600E+04,3.338800E+04,5.514400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
34,2025/12/17,13:27:06,39,11,1,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.514600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
35,2025/12/17,13:27:06,40,11,2,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.800000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.899500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
