"検出 左"
"DATA No","DATE","TIME","検出情報 左 撮像回数","検出情報 左 株番号","検出情報 左 撮像数","検出情報 左 処理時間[s]","検出情報 左 判定値","検出情報 左 スコア","検出情報 左 サイズＸ[mm]","検出情報 左 サイズＹ[mm]","検出情報 左 縦横比","検出情報 左 中心Ｘ[mm]","検出情報 左 中心Ｙ[mm]","検出情報 左 分解能","検出情報 左 積算位置[mm]","検出情報 左 車体昇降[mm]","検出情報 左 外葉押え[mm]","検出情報 左 スコア閾値","検出情報 左 サイズ閾値(小)[mm]","検出情報 左 サイズ閾値(大)[mm]","検出情報 左 縦横比閾値"
0,2025/12/15,16:21:04,45,1,1,1.260000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
1,2025/12/15,16:21:04,46,1,2,1.240000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
2,2025/12/15,16:21:05,47,1,3,1.210000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
3,2025/12/15,16:21:05,48,1,4,1.330000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
4,2025/12/15,16:21:06,49,1,5,1.240000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
5,2025/12/15,16:21:06,50,1,6,1.230000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
6,2025/12/15,16:21:06,51,1,7,1.310000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
7,2025/12/15,16:21:07,52,1,8,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
8,2025/12/15,16:21:07,53,1,9,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
9,2025/12/15,16:21:07,54,1,10,1.180000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
10,2025/12/15,16:21:07,55,1,11,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
11,2025/12/15,16:21:08,56,1,12,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
12,2025/12/15,16:21:08,57,1,13,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
13,2025/12/15,16:21:08,58,1,14,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
14,2025/12/15,16:21:09,59,1,15,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
15,2025/12/15,16:21:09,60,1,16,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,800,7.000000E+03,5.000000E+04,1.200000E+01
