"クローラ_ロギングデータ"
"DATA No","DATE","TIME","軸1_ｸﾛｰﾗ補正後座標","軸1 帰還ﾄﾙｸﾓﾆﾀ","軸1_ｱﾝﾌﾟ内温度","軸2_ｸﾛｰﾗ補正後座標","軸2 帰還ﾄﾙｸﾓﾆﾀ","軸2_ｱﾝﾌﾟ内温度"
0,2025/12/17,10:23:32,0,0,40,0,0,41
1,2025/12/17,10:23:32,0,0,40,0,0,41
2,2025/12/17,10:23:32,0,0,40,0,0,41
3,2025/12/17,10:23:32,0,0,40,0,0,41
4,2025/12/17,10:23:32,0,0,40,0,0,41
5,2025/12/17,10:23:33,0,0,40,0,0,41
6,2025/12/17,10:23:33,0,0,40,0,0,41
7,2025/12/17,10:23:33,0,0,40,0,0,41
8,2025/12/17,10:23:33,0,0,40,0,0,41
9,2025/12/17,10:23:33,0,0,40,0,0,41
10,2025/12/17,10:23:34,0,0,40,0,0,41
11,2025/12/17,10:23:34,0,0,40,0,0,41
12,2025/12/17,10:23:34,0,0,40,0,0,41
13,2025/12/17,10:23:34,0,0,40,0,0,41
14,2025/12/17,10:23:34,0,0,40,0,0,41
15,2025/12/17,10:23:35,0,0,40,0,0,41
16,2025/12/17,10:23:35,0,0,40,0,0,41
17,2025/12/17,10:23:35,0,0,40,0,0,41
18,2025/12/17,10:23:35,0,0,40,0,0,41
19,2025/12/17,10:23:35,0,0,40,0,0,41
20,2025/12/17,10:23:36,0,0,40,0,0,41
21,2025/12/17,10:23:36,0,0,40,0,0,41
22,2025/12/17,10:23:36,0,0,40,0,0,41
23,2025/12/17,10:23:36,0,0,40,0,0,41
24,2025/12/17,10:23:36,0,0,40,0,0,41
25,2025/12/17,10:23:37,0,0,40,0,0,41
26,2025/12/17,10:23:37,0,0,40,0,0,41
27,2025/12/17,10:23:37,0,0,40,0,0,41
28,2025/12/17,10:23:37,0,0,40,0,0,41
29,2025/12/17,10:23:37,0,0,40,0,0,41
30,2025/12/17,10:23:38,0,0,40,0,0,41
31,2025/12/17,10:23:38,0,0,40,0,0,41
32,2025/12/17,10:23:38,0,0,40,0,0,41
33,2025/12/17,10:23:38,0,0,40,0,0,41
34,2025/12/17,10:23:38,0,0,40,0,0,41
35,2025/12/17,10:23:39,0,0,40,0,0,41
36,2025/12/17,10:23:39,0,0,40,0,0,41
37,2025/12/17,10:23:39,0,0,40,0,0,41
38,2025/12/17,10:23:39,0,0,40,0,0,41
39,2025/12/17,10:23:39,0,0,40,0,0,41
