"クローラ_ロギングデータ"
"DATA No","DATE","TIME","軸1_ｸﾛｰﾗ補正後座標","軸1 帰還ﾄﾙｸﾓﾆﾀ","軸1_ｱﾝﾌﾟ内温度","軸2_ｸﾛｰﾗ補正後座標","軸2 帰還ﾄﾙｸﾓﾆﾀ","軸2_ｱﾝﾌﾟ内温度"
0,2025/12/17,12:59:19,0,0,25,0,0,24
1,2025/12/17,12:59:19,0,0,25,0,0,24
2,2025/12/17,12:59:19,0,0,25,0,0,24
3,2025/12/17,12:59:19,0,0,25,0,0,24
4,2025/12/17,12:59:19,0,0,25,0,0,24
5,2025/12/17,12:59:20,0,0,25,0,0,24
6,2025/12/17,12:59:20,0,0,25,0,0,24
7,2025/12/17,12:59:20,0,0,25,0,0,24
8,2025/12/17,12:59:20,0,0,25,0,0,24
9,2025/12/17,12:59:20,0,0,25,0,0,24
10,2025/12/17,12:59:21,0,0,25,0,0,24
11,2025/12/17,12:59:21,0,0,25,0,0,24
12,2025/12/17,12:59:21,0,0,25,0,0,24
13,2025/12/17,12:59:21,0,0,25,0,0,24
14,2025/12/17,12:59:21,0,0,25,0,0,24
15,2025/12/17,12:59:22,0,0,25,0,0,24
16,2025/12/17,12:59:22,0,0,25,0,0,24
17,2025/12/17,12:59:22,0,0,25,0,0,24
18,2025/12/17,12:59:22,0,0,25,0,0,24
19,2025/12/17,12:59:22,0,0,25,0,0,24
20,2025/12/17,12:59:23,0,0,25,0,0,24
21,2025/12/17,12:59:23,0,0,25,0,0,24
22,2025/12/17,12:59:23,0,0,25,0,0,24
23,2025/12/17,12:59:23,0,0,25,0,0,24
24,2025/12/17,12:59:23,0,0,25,0,0,24
25,2025/12/17,12:59:24,0,0,25,0,0,24
26,2025/12/17,12:59:24,0,0,25,0,0,24
27,2025/12/17,12:59:24,0,0,25,0,0,24
28,2025/12/17,12:59:24,0,0,25,0,0,24
29,2025/12/17,12:59:24,0,0,25,0,0,24
30,2025/12/17,12:59:25,0,0,25,0,0,24
31,2025/12/17,12:59:25,0,0,25,0,0,24
32,2025/12/17,12:59:25,0,0,25,0,0,24
33,2025/12/17,12:59:25,0,0,25,0,0,24
34,2025/12/17,12:59:25,0,0,25,0,0,24
35,2025/12/17,12:59:26,0,0,25,0,0,24
36,2025/12/17,12:59:26,0,0,25,0,0,24
37,2025/12/17,12:59:26,0,0,25,0,0,24
38,2025/12/17,12:59:26,0,0,25,0,0,24
39,2025/12/17,12:59:27,0,0,25,0,0,24
40,2025/12/17,12:59:27,0,0,25,0,0,24
41,2025/12/17,12:59:27,0,0,25,0,0,24
42,2025/12/17,12:59:27,0,0,25,0,0,24
43,2025/12/17,12:59:27,0,0,25,0,0,24
44,2025/12/17,12:59:28,0,0,25,0,0,24
45,2025/12/17,12:59:28,0,0,25,0,0,24
46,2025/12/17,12:59:28,0,0,25,0,0,24
47,2025/12/17,12:59:28,0,0,25,0,0,24
48,2025/12/17,12:59:28,0,0,25,0,0,24
49,2025/12/17,12:59:29,0,0,25,0,0,24
50,2025/12/17,12:59:29,0,0,25,0,0,24
51,2025/12/17,12:59:29,0,0,25,0,0,24
52,2025/12/17,12:59:29,0,0,25,0,0,24
53,2025/12/17,12:59:29,0,0,25,0,0,24
54,2025/12/17,12:59:30,0,0,25,0,0,24
55,2025/12/17,12:59:30,0,0,25,0,0,24
56,2025/12/17,12:59:30,0,0,25,-98,940,24
57,2025/12/17,12:59:30,0,0,25,-135,860,24
58,2025/12/17,12:59:30,0,0,25,-145,920,24
59,2025/12/17,12:59:31,0,0,25,-146,990,24
60,2025/12/17,12:59:31,0,0,25,-167,0,24
61,2025/12/17,12:59:31,0,0,25,-167,0,24
62,2025/12/17,12:59:31,0,0,25,-167,0,24
63,2025/12/17,12:59:31,0,0,25,-167,0,24
64,2025/12/17,12:59:32,0,0,25,-167,0,24
65,2025/12/17,12:59:32,0,0,25,-167,0,24
66,2025/12/17,12:59:32,0,0,25,-167,0,24
67,2025/12/17,12:59:32,0,0,25,-167,0,24
68,2025/12/17,12:59:32,0,0,25,-167,0,24
69,2025/12/17,12:59:33,0,0,25,-167,0,24
70,2025/12/17,12:59:33,0,0,25,-167,0,24
71,2025/12/17,12:59:33,0,0,25,-167,0,24
72,2025/12/17,12:59:33,0,0,25,-167,0,24
73,2025/12/17,12:59:33,0,0,25,-167,0,24
74,2025/12/17,12:59:34,0,0,25,-167,0,24
75,2025/12/17,12:59:34,0,0,25,-167,0,24
76,2025/12/17,12:59:34,0,0,25,-167,0,24
77,2025/12/17,12:59:34,0,0,25,-167,0,24
78,2025/12/17,12:59:34,0,0,25,-167,0,24
79,2025/12/17,12:59:35,0,0,25,-167,0,24
80,2025/12/17,12:59:35,0,0,25,-167,0,24
81,2025/12/17,12:59:35,0,0,25,-167,0,24
82,2025/12/17,12:59:35,0,0,25,-167,0,24
83,2025/12/17,12:59:35,0,0,25,-167,0,24
84,2025/12/17,12:59:36,0,0,25,-167,0,24
85,2025/12/17,12:59:36,0,0,25,-167,0,24
86,2025/12/17,12:59:36,0,0,25,-167,0,24
87,2025/12/17,12:59:36,0,0,25,-167,0,24
88,2025/12/17,12:59:37,0,0,25,-167,0,24
89,2025/12/17,12:59:37,0,0,25,-167,0,24
90,2025/12/17,12:59:37,0,0,25,-167,0,24
91,2025/12/17,12:59:37,0,0,25,-167,0,24
92,2025/12/17,12:59:37,0,0,25,-167,0,24
93,2025/12/17,12:59:38,0,0,25,-167,0,24
94,2025/12/17,12:59:38,0,0,25,-167,0,24
95,2025/12/17,12:59:38,0,0,25,-167,0,24
96,2025/12/17,12:59:38,0,0,25,-167,0,24
97,2025/12/17,12:59:38,0,0,25,-167,0,24
98,2025/12/17,12:59:39,0,0,25,-167,0,24
99,2025/12/17,12:59:39,0,0,25,-167,0,24
100,2025/12/17,12:59:39,0,0,25,-167,0,24
101,2025/12/17,12:59:39,0,0,25,-167,0,24
102,2025/12/17,12:59:39,0,0,25,-167,0,24
103,2025/12/17,12:59:40,0,0,25,-167,0,24
104,2025/12/17,12:59:40,0,0,25,-167,0,24
105,2025/12/17,12:59:40,0,0,25,-167,0,24
106,2025/12/17,12:59:40,0,0,25,-167,0,24
107,2025/12/17,12:59:40,0,0,25,-167,0,24
108,2025/12/17,12:59:41,0,0,25,-167,0,24
109,2025/12/17,12:59:41,0,0,25,-167,0,24
110,2025/12/17,12:59:41,0,0,25,-167,0,24
111,2025/12/17,12:59:41,0,0,25,-167,0,24
112,2025/12/17,12:59:41,0,0,25,-167,0,24
113,2025/12/17,12:59:42,0,0,25,-167,0,24
114,2025/12/17,12:59:42,0,0,25,-167,0,24
115,2025/12/17,12:59:42,0,0,25,-167,0,24
116,2025/12/17,12:59:42,0,0,25,-167,0,24
117,2025/12/17,12:59:42,0,0,25,-167,0,24
118,2025/12/17,12:59:43,0,0,25,-167,0,24
119,2025/12/17,12:59:43,0,0,25,-167,0,24
120,2025/12/17,12:59:43,0,0,25,-167,0,24
121,2025/12/17,12:59:43,0,0,25,-167,0,24
122,2025/12/17,12:59:43,0,0,25,-167,0,24
123,2025/12/17,12:59:44,0,0,25,-167,0,24
124,2025/12/17,12:59:44,0,0,25,-167,0,24
125,2025/12/17,12:59:44,0,0,25,-167,0,24
126,2025/12/17,12:59:44,0,0,25,-167,0,24
127,2025/12/17,12:59:44,0,0,25,-167,0,24
128,2025/12/17,12:59:45,0,0,25,-167,0,24
129,2025/12/17,12:59:45,0,0,25,-167,0,24
130,2025/12/17,12:59:45,0,0,25,-167,0,24
131,2025/12/17,12:59:45,0,0,25,-167,0,24
132,2025/12/17,12:59:45,0,0,25,-167,0,24
133,2025/12/17,12:59:46,0,0,25,-167,0,24
134,2025/12/17,12:59:46,0,0,25,-167,0,24
135,2025/12/17,12:59:46,0,0,25,-167,0,24
136,2025/12/17,12:59:46,0,0,25,-167,0,24
137,2025/12/17,12:59:46,0,0,25,-167,0,24
138,2025/12/17,12:59:47,0,0,25,-167,0,24
139,2025/12/17,12:59:47,0,0,25,-167,0,24
140,2025/12/17,12:59:47,0,0,25,-167,0,24
141,2025/12/17,12:59:47,0,0,25,-167,0,24
142,2025/12/17,12:59:47,0,0,25,-167,0,24
143,2025/12/17,12:59:48,0,0,25,-167,0,24
144,2025/12/17,12:59:48,0,0,25,-167,0,24
145,2025/12/17,12:59:48,0,0,25,-167,0,24
146,2025/12/17,12:59:48,0,0,25,-167,0,24
147,2025/12/17,12:59:48,0,0,25,-167,0,24
148,2025/12/17,12:59:49,0,0,25,-167,0,24
149,2025/12/17,12:59:49,0,0,25,-167,0,24
150,2025/12/17,12:59:49,0,0,25,-167,0,24
151,2025/12/17,12:59:49,0,0,25,-167,0,24
152,2025/12/17,12:59:49,0,0,25,-167,0,24
153,2025/12/17,12:59:50,0,0,25,-167,0,24
154,2025/12/17,12:59:50,0,0,25,-167,0,24
155,2025/12/17,12:59:50,0,0,25,-167,0,24
156,2025/12/17,12:59:50,0,0,25,-167,0,24
157,2025/12/17,12:59:50,0,0,25,-167,0,24
158,2025/12/17,12:59:51,0,0,25,-167,0,24
159,2025/12/17,12:59:51,0,0,25,-167,0,24
160,2025/12/17,12:59:51,0,0,25,-167,0,24
161,2025/12/17,12:59:51,0,0,25,-167,0,24
162,2025/12/17,12:59:51,0,0,25,-167,0,24
163,2025/12/17,12:59:52,0,0,25,-167,0,24
164,2025/12/17,12:59:52,0,0,25,-167,0,24
165,2025/12/17,12:59:52,0,0,25,-167,0,24
166,2025/12/17,12:59:52,0,0,25,-167,0,24
167,2025/12/17,12:59:52,0,0,25,-167,0,24
168,2025/12/17,12:59:53,0,0,25,-167,0,24
169,2025/12/17,12:59:53,0,0,25,-167,0,24
170,2025/12/17,12:59:53,0,0,25,-167,0,24
171,2025/12/17,12:59:53,0,0,25,-167,0,24
172,2025/12/17,12:59:53,0,0,25,-167,0,24
173,2025/12/17,12:59:54,0,0,25,-167,0,24
174,2025/12/17,12:59:54,0,0,25,-167,0,24
175,2025/12/17,12:59:54,0,0,25,-167,0,24
176,2025/12/17,12:59:54,0,0,25,-167,0,24
177,2025/12/17,12:59:54,0,0,25,-167,0,24
178,2025/12/17,12:59:55,0,0,25,-167,0,24
179,2025/12/17,12:59:55,0,0,25,-167,0,24
180,2025/12/17,12:59:55,0,0,25,-167,0,24
181,2025/12/17,12:59:55,0,0,25,-167,0,24
182,2025/12/17,12:59:55,0,0,25,-167,0,24
183,2025/12/17,12:59:56,0,0,25,-167,0,24
184,2025/12/17,12:59:56,0,0,25,-167,0,24
185,2025/12/17,12:59:56,0,0,25,-167,0,24
186,2025/12/17,12:59:56,0,0,25,-167,0,24
187,2025/12/17,12:59:56,0,0,25,-167,0,24
188,2025/12/17,12:59:57,0,0,25,-167,0,24
189,2025/12/17,12:59:57,0,0,25,-167,0,24
190,2025/12/17,12:59:57,0,0,25,-167,0,24
191,2025/12/17,12:59:57,0,0,25,-167,0,24
192,2025/12/17,12:59:57,0,0,25,-167,0,24
193,2025/12/17,12:59:58,0,0,25,-167,0,24
194,2025/12/17,12:59:58,0,0,25,-167,0,24
