"クローラ_ロギングデータ"
"DATA No","DATE","TIME","軸1_ｸﾛｰﾗ補正後座標","軸1 帰還ﾄﾙｸﾓﾆﾀ","軸1_ｱﾝﾌﾟ内温度","軸2_ｸﾛｰﾗ補正後座標","軸2 帰還ﾄﾙｸﾓﾆﾀ","軸2_ｱﾝﾌﾟ内温度"
112,2025/12/15,13:32:36,0,0,31,12,0,0
113,2025/12/15,13:32:36,0,0,31,12,0,0
114,2025/12/15,13:32:36,0,0,31,12,0,0
115,2025/12/15,13:32:36,0,0,31,12,0,0
116,2025/12/15,13:32:36,0,0,31,12,0,0
117,2025/12/15,13:32:37,0,0,31,12,0,0
118,2025/12/15,13:32:37,0,0,31,12,0,0
119,2025/12/15,13:32:37,0,0,31,12,0,0
120,2025/12/15,13:32:37,0,0,31,12,0,0
121,2025/12/15,13:32:37,0,0,31,12,0,0
122,2025/12/15,13:32:38,0,0,31,12,0,0
123,2025/12/15,13:32:38,0,0,31,12,0,0
124,2025/12/15,13:32:38,0,0,31,12,0,0
125,2025/12/15,13:32:38,0,0,31,12,0,0
126,2025/12/15,13:32:38,0,0,31,12,0,0
127,2025/12/15,13:32:39,0,0,31,12,0,0
128,2025/12/15,13:32:39,0,0,31,12,0,0
129,2025/12/15,13:32:39,0,0,31,12,0,0
130,2025/12/15,13:32:39,0,0,31,12,0,0
131,2025/12/15,13:32:39,0,0,31,12,0,0
132,2025/12/15,13:32:40,0,0,31,12,0,0
133,2025/12/15,13:32:40,0,0,31,12,0,0
134,2025/12/15,13:32:40,0,0,31,12,0,0
135,2025/12/15,13:32:40,0,0,31,12,0,0
136,2025/12/15,13:32:40,0,0,31,12,0,0
137,2025/12/15,13:32:41,0,0,31,12,0,0
138,2025/12/15,13:32:41,0,0,31,12,0,0
139,2025/12/15,13:32:41,0,0,31,12,0,0
140,2025/12/15,13:32:41,0,0,31,12,0,0
141,2025/12/15,13:32:41,0,0,31,12,0,0
142,2025/12/15,13:32:42,0,0,31,12,0,0
143,2025/12/15,13:32:42,0,0,31,12,0,0
144,2025/12/15,13:32:42,0,0,31,12,0,0
145,2025/12/15,13:32:42,0,0,31,12,0,0
146,2025/12/15,13:32:42,0,0,31,12,0,0
147,2025/12/15,13:32:43,0,0,31,12,0,0
148,2025/12/15,13:32:43,0,0,31,12,0,0
149,2025/12/15,13:32:43,0,0,31,12,0,0
150,2025/12/15,13:32:43,0,0,31,12,0,0
151,2025/12/15,13:32:43,0,0,31,12,0,0
152,2025/12/15,13:32:44,0,0,31,12,0,0
153,2025/12/15,13:32:44,0,0,31,12,0,0
154,2025/12/15,13:32:44,0,0,31,12,0,0
155,2025/12/15,13:32:44,0,0,31,12,0,0
156,2025/12/15,13:32:44,0,0,31,12,0,0
157,2025/12/15,13:32:45,0,0,31,12,0,0
158,2025/12/15,13:32:45,0,0,31,12,0,0
159,2025/12/15,13:32:45,0,0,31,12,0,0
160,2025/12/15,13:32:45,0,0,31,12,0,0
161,2025/12/15,13:32:45,0,0,31,12,0,0
162,2025/12/15,13:32:46,0,0,31,12,0,0
163,2025/12/15,13:32:46,0,0,31,12,0,0
164,2025/12/15,13:32:46,0,0,31,12,0,0
165,2025/12/15,13:32:46,0,0,31,12,0,0
166,2025/12/15,13:32:46,0,0,31,12,0,0
167,2025/12/15,13:32:47,0,0,31,12,0,0
168,2025/12/15,13:32:47,0,0,31,12,0,0
169,2025/12/15,13:32:47,0,0,31,12,0,0
170,2025/12/15,13:32:47,0,0,31,12,0,0
171,2025/12/15,13:32:47,0,0,31,12,0,0
172,2025/12/15,13:32:48,0,0,31,12,0,0
173,2025/12/15,13:32:48,0,0,31,12,0,0
174,2025/12/15,13:32:48,0,0,31,12,0,0
175,2025/12/15,13:32:48,0,0,31,12,0,0
176,2025/12/15,13:32:48,0,0,31,12,0,0
177,2025/12/15,13:32:49,0,0,31,12,0,0
178,2025/12/15,13:32:49,0,0,31,12,0,0
179,2025/12/15,13:32:49,0,0,31,12,0,0
180,2025/12/15,13:32:49,0,0,31,12,0,0
181,2025/12/15,13:32:49,0,0,31,12,0,0
182,2025/12/15,13:32:50,0,0,31,12,0,0
183,2025/12/15,13:32:50,0,0,31,12,0,0
184,2025/12/15,13:32:50,0,0,31,12,0,0
185,2025/12/15,13:32:50,0,0,31,12,0,0
186,2025/12/15,13:32:50,0,0,31,12,0,0
187,2025/12/15,13:32:51,0,0,31,12,0,0
188,2025/12/15,13:32:51,0,0,31,12,0,0
189,2025/12/15,13:32:51,0,0,31,12,0,0
190,2025/12/15,13:32:51,0,0,31,12,0,0
191,2025/12/15,13:32:51,0,0,31,12,0,0
192,2025/12/15,13:32:52,0,0,31,12,0,0
193,2025/12/15,13:32:52,0,0,31,12,0,0
194,2025/12/15,13:32:52,0,0,31,12,0,0
195,2025/12/15,13:32:52,0,0,31,12,0,0
196,2025/12/15,13:32:52,0,0,31,12,0,0
197,2025/12/15,13:32:53,0,0,31,12,0,0
198,2025/12/15,13:32:53,0,0,31,12,0,0
199,2025/12/15,13:32:53,0,0,31,12,0,0
200,2025/12/15,13:32:53,0,0,31,12,0,0
201,2025/12/15,13:32:53,0,0,31,12,0,0
202,2025/12/15,13:32:54,0,0,31,12,0,0
203,2025/12/15,13:32:54,0,0,31,12,0,0
