FILE_KBN:OperationTrace
[FileInfo]
Date,'2025/12/17 15:04:29'
SetupVer,'213.001'
DBVer,'059.001'
[AxisInfo]
'0x1','','05300005','GADSA05AH24','GAM1AA200H0','01.0.12','0002-0003-0103-0002-0000-0000-0000-0000','0','','0',''
[TraceConditionInfo]
TraceMode,'0x03','512ポイント'
TriggerMode,'0x00','AUTO'
ContinuousAutoMode,'1'
SamplingCycleTime,'40000','5000'
Analog-CH1,'0x1','0x00','VMON:速度ﾓﾆﾀ','','',''
Analog-CH2,'0x1','0x02','TMON:ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH3,'0x1','0x04','PMON:位置偏差ﾓﾆﾀ','','',''
Analog-CH5,'0x1','0x0D','TRMS:実効ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH6,'0x1','0x0C','RegR:回生抵抗動作率ﾓﾆﾀ','','',''
Digital-CH1,'0x1','0x13','TLIM:ﾄﾙｸ(推力)制限中','',''
Digital-CH2,'0x1','0x15','SACT:ﾓｰﾀ励磁中','',''
Digital-CH3,'0x1','0x10','INP:位置決め完了中','',''
Digital-CH4,'0x1','0x1C','ALM:ｱﾗｰﾑ状態中','',''
[WindowSettings]
WindowWidth,'900'
WindowHeight,'600'
ScaleWidth,'88'
GraphLocationX,'0'
GraphLocationY,'821.500000000025'
TimeRange,'2000'
ScaleCH,'1'
tCursorOn0,'1'
t1Point0,'0'
t2Point0,'0'
t1Color0,'FF00FF00'
t2Color0,'FFFFFF00'
vCursorOn0,'1'
v1Point0,'1104'
v2Point0,'1104'
v1Color0,'FFFF00FF'
v2Color0,'FFFFA500'
tCursorOn1,'1'
t1Point1,'0'
t2Point1,'0'
t1Color1,'FF00FF00'
t2Color1,'FFFFFF00'
vCursorOn1,'1'
v1Point1,'0'
v2Point1,'0'
v1Color1,'FFFF00FF'
v2Color1,'FFFFA500'
OverlapWaveform,'False'
ActiveTrace,'0'
Analog-CH1-RangeMode,'0'
Analog-CH1-Range,'200'
Analog-CH1-Offset,'106'
Analog-CH1-Visible,'1'
Analog-CH2-RangeMode,'0'
Analog-CH2-Range,'20'
Analog-CH2-Offset,'26.2'
Analog-CH2-Visible,'1'
Analog-CH3-RangeMode,'0'
Analog-CH3-Range,'5000000'
Analog-CH3-Offset,'-1389585'
Analog-CH3-Visible,'1'
Analog-CH5-RangeMode,'0'
Analog-CH5-Range,'1'
Analog-CH5-Offset,'0'
Analog-CH5-Visible,'1'
Analog-CH6-RangeMode,'0'
Analog-CH6-Range,'1'
Analog-CH6-Offset,'0'
Analog-CH6-Visible,'1'
Digital-CH1-Visible,'1'
Digital-CH2-Visible,'1'
Digital-CH3-Visible,'1'
Digital-CH4-Visible,'1'
[MeasureInfo]
'No-00','1','2025/12/17 15:03:26'
''
'No-01','0','2025/12/17 14:40:20'
''
'No-02','0','2025/12/17 14:39:55'
''
[BufferPointInfo]
'','No-00','','','','','','','','','No-01','','','','','','','','','No-02','','','','','','','',''
Point,'A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4','A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4','A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4'
'34','0','59.3','4859','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'35','0','59.3','-2092','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'36','0','59.3','-5548','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'37','0','59.2','-7755','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'38','0','36.3','-101','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'39','0','39','203','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'40','976','72','4557297','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'41','975','72.1','4564625','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'42','973','66.6','4549043','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'43','974','52.9','4509778','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'44','980','59.1','4517783','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'45','974','66.8','4539812','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'46','976','57.5','4552149','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'47','970','51.1','4534960','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'48','0','39','-83781','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'49','0','36.9','-146828','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'50','0','34.7','-147967','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'51','0','32.6','-147739','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'52','0','30.4','-147426','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'53','0','22.9','-155','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'54','0','21.7','-54','','34','0','0','1','1','0','','','','','','','','','','','','','','','','','','','',''
'55','974','48.5','4527588','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'56','978','48.8','4537018','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'57','974','42.3','4543914','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'58','974','36.4','4546841','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'59','971','47','4537524','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'60','974','58.2','4530319','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'61','970','54.6','4547490','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'62','976','54.1','4555373','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'63','971','47.7','4542584','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'64','972','54.6','4523041','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'65','974','47.6','4516539','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'66','977','62','4521919','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'67','979','61.5','4549311','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'68','972','43.5','4536327','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'69','971','63.2','4529939','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'70','1','40.9','108640','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'71','0','40.6','-28196','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'72','0','40','-47717','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'73','0','39.2','-52532','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'74','0','38.4','-54107','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'75','0','37.6','-54568','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'76','0','36.9','-54554','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'77','0','36.1','-54487','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'78','0','35.4','-54401','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'79','0','34.6','-54308','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'80','0','33.8','-54212','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'81','788','19.7','-4121433','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'82','780','10.2','-879128','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'83','800','4.4','794960','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'84','794','17.7','1576357','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'85','-1228','-91.5','-16441745','','34','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'86','-1185','-106.7','-188600','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'87','-1180','-127.3','-2554397','','39','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
